,F140,F153,F157,F159,F198,F200,F201,F21,F26,F272,F273,F292,F319,F32,F33,F334,F34,F345,F35,F39,F411,F426,F439,F470,F471,F474,F476,F495,F524,F550,F551,F553,F554,F556,F557,F578,F72
392,0.0995,0.0161,,237.0,0.573,20.83,5.83,-4929.5,1.9483,31.323,17.0475,,11.1439,85.4465,9.1855,0.1564,50.4666,9.2749,63.7996,118.579,1.9469,1.662,80.64,5.5031,8.3702,18.391,25.0945,5.3406,3.9778,16.49,1.19,7.9725,0.4538,4.137,1.4335,,161.1306
393,0.6225,0.014,,244.0,0.207,15.61,5.03,-6250.25,1.9108,47.3489,22.5539,,8.8415,85.5455,9.2655,0.0652,50.3358,5.7013,63.8677,117.4194,3.2967,1.4441,30.5496,1.9071,5.9061,30.884,6.3566,7.1023,4.696,21.71,1.42,10.2814,0.5877,5.2927,1.7168,0.0157,138.3665
394,0.2157,0.0187,,158.0,0.48,24.29,7.56,-6382.0,1.8867,47.2639,19.7183,,9.3598,86.4863,8.828,0.1615,50.2667,5.5885,63.9349,118.039,2.6606,1.934,47.5298,4.6039,11.557,36.6088,17.2182,6.1597,4.4623,23.46,1.49,10.3594,0.6724,5.7002,1.9571,,141.5548
395,0.1034,0.0061,,795.0,0.519,17.02,13.21,-5226.5,2.0223,70.473,18.201,,5.726,85.5361,8.536,0.1991,50.3421,3.4255,63.9167,118.4394,2.1713,0.6269,81.2321,4.992,5.1163,49.7623,10.7344,4.7424,4.7169,13.13,2.21,5.3617,0.8773,3.213,2.9274,,153.7899
396,0.2157,0.0121,0.027,358.0,0.29,19.83,5.36,-6411.75,1.8767,37.529,19.7183,0.0089,9.2864,84.5551,9.9964,0.0816,50.4757,6.4454,64.3827,118.022,2.6606,1.2486,27.6626,2.7126,7.9443,16.1315,15.8701,5.394,4.4721,16.1,2.03,6.4066,0.8038,4.0044,2.5151,0.012,140.9528
397,0.0594,0.005,,806.0,0.412,15.71,6.77,-5453.5,2.0213,21.1939,18.5853,,9.4832,85.3825,9.7324,0.1246,50.3716,,64.2442,118.0668,2.4348,0.5063,90.168,3.8868,7.8836,18.0148,23.3677,3.2295,3.4254,,,,,,,,
398,0.1974,0.0177,0.0318,667.0,0.488,17.16,4.88,-6487.25,1.8855,47.8976,17.7074,0.0102,9.9969,83.9167,9.4043,0.1342,50.4181,6.4134,64.4134,118.1592,2.3757,1.8404,48.959,4.6309,7.7206,19.1242,8.257,8.7495,6.2655,9.97,1.01,4.0971,0.3824,2.5041,1.3494,,154.3059
399,0.0667,0.0066,,365.0,0.252,10.74,4.52,-6465.0,1.8933,16.369,20.6032,,8.4149,84.0746,9.3335,0.0698,50.4357,,64.3729,118.0092,2.6883,0.6777,53.7415,2.3929,5.3573,33.3005,13.5791,9.6292,5.0358,15.22,1.04,7.2333,0.4777,3.751,1.2515,,
400,0.0667,0.006,,577.0,0.307,19.2,3.49,-5220.25,2.0088,58.421,20.6032,,9.1395,84.9715,8.6013,0.0947,50.3243,,64.0262,118.2548,2.6883,0.6183,79.4118,2.9161,6.5945,22.1153,9.7424,8.2562,4.7202,17.07,1.83,8.0912,0.7598,4.2638,2.2349,0.0219,
401,0.0594,0.0051,,379.0,0.348,22.54,5.2,-6400.25,1.898,45.5362,18.5853,,9.3846,85.5983,8.5232,0.1037,50.4559,,64.0577,118.5342,2.4348,0.5176,35.0,3.3251,6.2177,37.9388,39.3867,3.2231,6.8567,16.97,1.09,7.3824,0.4312,4.1728,1.4582,0.0061,
402,0.2631,0.0056,0.0237,456.0,0.357,20.17,4.9,-5566.75,2.006,41.2405,24.3718,0.0088,9.4701,84.7529,9.0622,0.1213,50.4373,9.3506,64.2906,118.1142,3.4346,0.5748,67.0662,3.4697,8.1441,23.3548,30.8985,4.9637,4.9058,10.51,1.8,4.9969,0.703,2.6195,2.2909,,155.566
403,0.0594,0.0048,,200.0,0.356,13.18,5.15,-5655.25,1.9845,40.6157,18.5853,,8.6033,85.5983,8.5232,0.115,50.4559,,64.0577,118.5342,2.4348,0.4907,93.8976,3.4144,7.7218,25.8792,28.6856,8.9686,4.9901,21.35,1.31,10.0809,0.5189,5.3104,1.6196,,
404,0.3963,0.006,,328.0,0.222,17.14,7.34,-6501.5,1.8662,41.1153,22.7433,,10.3572,84.7297,8.5177,0.0809,50.4695,5.8033,64.1615,118.2112,3.1785,0.6136,45.1327,2.1311,8.7742,34.5422,7.7197,6.6487,7.6137,13.21,1.02,6.6531,0.4484,3.2882,1.3088,,141.6094
405,0.3963,0.0091,,248.0,0.921,16.25,7.41,-5583.25,2.001,45.0507,22.7433,,9.6135,86.0209,9.2328,0.2748,50.3586,6.6693,63.7799,117.7358,3.1785,0.9256,37.2802,9.3434,8.4249,28.3784,41.9454,5.9749,4.4791,,,,,,,,165.5888
406,0.0594,0.0145,,789.0,0.471,23.96,10.75,-5633.25,2.008,44.287,18.5853,,9.2144,84.9715,8.6013,0.1515,50.3243,,64.0262,118.2548,2.4348,1.4978,67.3117,4.3938,12.3125,42.7445,7.2705,7.3532,4.43,15.49,0.89,7.4357,0.3757,3.8653,1.2278,,
407,0.5762,0.0098,,288.0,0.352,17.97,3.85,-6572.75,1.882,35.0263,18.3171,,10.9374,84.5743,9.396,0.108,50.3131,7.0075,63.9428,117.5134,2.7907,1.0161,58.526,3.3464,9.665,17.8406,10.3101,4.2482,4.0184,,,,,,,,156.5953
408,0.1974,0.0057,,324.0,0.942,18.35,8.39,-6271.0,1.9018,19.2768,17.7074,,4.9397,85.1712,8.5405,0.3025,50.2488,101.0863,64.1314,118.4904,2.3757,0.5832,40.7385,9.3245,5.6964,41.0679,42.2854,2.7682,6.7604,15.26,1.3,6.9021,0.4602,3.7609,1.6675,,133.4234
409,0.3963,0.0052,,431.0,0.376,22.14,7.4,-6259.5,1.896,51.7874,22.7433,,8.2932,86.3857,8.8513,0.125,50.1431,3.6293,63.7749,118.0906,3.1785,0.5311,62.7404,3.5742,8.4806,33.98,18.2926,8.6518,6.2757,18.08,0.85,8.6704,0.3034,4.6204,1.1606,,139.3696
410,0.1318,0.0194,,344.0,0.288,20.8,6.8,-6418.25,1.85,41.0165,19.3948,,10.3183,86.106,8.7879,0.0994,49.9276,4.3739,63.9266,117.7078,2.4188,2.0182,43.6795,2.7964,12.1679,38.3689,18.1478,107.6926,3.6187,18.78,1.26,8.3629,0.4652,4.5748,1.6949,0.0145,147.9911
411,0.5762,0.0051,,674.0,0.128,20.79,3.32,-5487.25,2.0015,28.6884,18.3171,,8.7938,85.5573,8.6915,0.0456,50.465,7.5669,64.1145,118.8908,2.7907,0.5238,76.3819,1.1975,7.1447,38.4662,7.1441,6.1887,5.1011,17.42,1.58,8.0693,0.5904,4.2515,2.1805,,135.0379
412,0.1974,0.0108,,298.0,0.273,19.04,6.39,-6282.5,1.888,13.2561,17.7074,,9.9524,85.1712,8.5405,0.0793,50.2488,4.757,64.1314,118.4904,2.3757,1.1136,46.0465,2.58,6.9416,24.4157,29.3085,4.1176,4.8218,13.71,0.78,7.1919,0.3351,3.3751,1.0141,,159.5051
413,0.0594,0.0119,,821.0,0.209,15.22,6.51,-5595.75,1.9627,65.0872,18.5853,,9.8113,85.5361,8.536,0.0625,50.3421,3.3271,63.9167,118.4394,2.4348,1.2252,65.2045,1.9868,6.3838,27.6349,19.6591,4.7424,4.2162,,,,,,,,137.0271
414,0.5762,0.0101,,250.0,1.262,18.42,5.53,-5349.75,2.0025,22.4369,18.3171,,11.6339,85.5265,8.659,0.3414,50.4068,10.9034,64.061,118.9532,2.7907,1.0352,125.2262,12.2791,10.6145,26.5847,48.4093,10.189,5.9177,16.17,2.22,7.8756,0.8342,3.9552,2.709,0.0433,155.9101
415,0.5461,0.0049,,446.0,0.305,18.7,3.5,-5679.0,2.022,15.7909,22.0973,,8.7948,85.5573,8.6915,0.095,50.465,6.6338,64.1145,118.8908,3.1389,0.5052,31.4452,2.9075,5.4137,45.6256,79.3758,8.4789,5.2778,14.0,2.3,6.5454,0.9398,3.4256,2.8371,0.0095,143.1203
416,0.3963,0.0141,,413.0,0.251,15.9,5.47,-6449.25,1.8815,13.172,22.7433,,8.6089,86.0209,9.2328,0.0741,50.3586,3.2793,63.7799,117.7358,3.1785,1.4611,37.7863,2.3922,5.0422,24.8691,14.8026,7.2563,6.3351,16.2,0.84,7.5576,0.333,3.8416,1.1252,0.0005,140.9811
417,0.0922,0.0225,,953.0,0.428,24.67,3.97,-5469.75,1.974,71.0775,19.3893,,9.8218,85.5983,8.5232,0.1226,50.4559,,64.0577,118.5342,2.555,2.3473,90.566,4.0673,9.0013,25.1472,39.3925,4.5781,5.685,20.46,1.32,9.412,0.5042,5.0808,1.7992,,
418,0.5762,0.0089,,721.0,0.418,21.59,4.05,-5532.25,1.9812,25.8673,18.3171,,10.0347,84.2999,8.6439,0.1234,50.5795,3.8147,64.4484,119.0822,2.7907,0.9138,101.487,3.9587,10.5908,14.5663,5.5333,6.6003,5.8177,14.89,0.93,6.2393,0.3869,3.6237,1.2705,,148.4991
419,0.2336,0.0088,,271.0,0.982,15.4,4.99,-6554.75,1.8817,65.1093,22.762,,11.5645,85.8823,8.7851,0.2834,50.1652,7.7037,63.8402,118.92,3.5113,0.9007,34.4726,9.7843,11.9966,34.9571,53.2762,4.7502,2.9644,17.02,1.19,7.7697,0.4692,4.1478,1.4577,,162.3491
420,0.2666,0.0142,,490.0,0.437,29.22,5.98,-6489.25,1.8862,49.5202,17.6657,,11.3756,84.5743,9.396,0.1202,50.3131,6.5841,63.9428,117.5134,2.4674,1.4777,64.4611,4.1646,8.3634,30.8174,22.4824,8.2939,5.0909,,,,,,,,154.1174
421,0.6225,0.0145,,472.0,0.986,19.33,9.06,-5563.5,1.9992,15.1335,22.5539,,10.8264,86.1197,9.043,0.2523,50.36,7.6563,63.8744,117.6784,3.2967,1.4959,97.5322,9.7473,8.0817,13.8324,26.1411,6.2682,6.1701,,,,,,,,159.9574
422,0.2336,0.0155,,352.0,0.281,19.38,4.26,-6506.75,1.8887,13.0071,22.762,,11.0891,85.8823,8.7851,0.0844,50.1652,15.3719,63.8402,118.92,3.5113,1.6145,51.7487,2.7347,9.0127,35.3669,57.5692,4.8092,6.6406,20.14,0.84,9.1887,0.3537,4.86,1.119,,156.9036
423,0.1974,0.0125,,731.0,0.531,19.63,4.23,-5142.25,1.9792,57.6295,17.7074,,10.7662,83.8879,9.1757,0.1339,50.4244,10.418,64.3159,118.2554,2.3757,1.2893,58.0645,4.9258,9.5783,16.8203,29.962,5.6979,6.0358,17.56,1.21,8.0739,0.4964,4.3313,1.5667,,158.3085
424,0.3963,0.0148,,470.0,0.349,17.81,6.17,-5282.75,1.9572,45.3903,22.7433,,10.0673,85.4465,9.1855,0.0968,50.4666,3.6792,63.7996,118.579,3.1785,1.5308,128.0576,3.23,8.5489,14.9316,14.7744,8.5713,6.3277,14.15,0.9,6.0911,0.3829,3.531,1.2101,,137.2265
425,0.3336,0.0097,0.0587,2525.0,0.663,26.86,5.08,-6047.0,2.0313,49.7806,18.5128,0.0151,11.2091,85.2296,8.4421,0.2211,50.2731,7.4494,64.0899,118.4058,2.7555,0.9968,154.7619,6.4369,8.6677,27.2031,8.5245,2.7299,4.0941,17.71,0.75,8.0567,0.3185,4.3519,0.9226,0.0234,162.9708
426,0.5461,0.0111,,432.0,0.639,10.13,6.14,-6336.0,1.892,16.3136,22.0973,,11.0611,86.931,8.8384,0.1777,50.3353,138.8172,64.0776,118.7636,3.1389,1.1405,52.4076,6.2226,7.7899,23.3695,27.1455,7.6338,4.2412,,,,,,,,22.8309
427,0.5762,0.0112,,2085.0,0.527,19.68,8.31,-5932.0,2.0377,18.3598,18.3171,,11.6452,84.6614,8.7994,0.1858,50.3964,10.7472,64.1107,118.921,2.7907,1.1539,98.4645,5.134,9.9092,34.0058,36.306,6.8313,5.3472,,,,,,,0.0142,155.6917
428,0.6121,0.0114,,800.0,0.427,19.86,6.44,-5427.75,1.986,37.3464,18.9628,,11.0799,84.6614,8.7994,0.157,50.3964,6.5381,64.1107,118.921,2.5408,1.1766,28.0228,4.154,6.929,28.0864,38.9198,6.7995,4.974,14.53,1.59,6.6478,0.5923,3.5464,1.956,,157.5557
429,0.5548,0.0134,,216.0,0.828,11.38,7.19,-6467.25,1.8962,43.4806,27.9554,,11.525,85.8823,8.7851,0.1973,50.1652,8.652,63.8402,118.92,4.0927,1.3839,61.5871,8.1833,8.5163,34.0384,37.7123,6.4037,7.8463,17.95,0.55,8.2961,0.2273,4.4698,0.7282,,164.6196
430,0.3336,0.01,,449.0,0.364,23.12,5.92,-6313.25,1.8935,27.0901,18.5128,,11.7629,84.2999,8.6439,0.1199,50.5795,4.8456,64.4484,119.0822,2.7555,1.0274,39.9788,3.4468,9.9344,26.2992,9.8059,6.5148,3.9275,14.36,0.3,6.3259,0.1207,3.5107,0.3862,,154.9037
431,0.6121,0.0205,0.0243,243.0,0.112,16.34,6.39,-5471.25,1.9777,31.062,18.9628,0.0088,9.0891,86.4465,8.6527,0.0378,50.215,,63.9211,118.102,2.5408,2.1387,76.9321,1.0246,4.0863,18.6696,14.0055,8.9716,4.6972,16.15,1.11,7.725,0.4097,4.0129,1.4791,,
432,0.5762,0.0119,,853.0,0.463,24.79,3.63,-5493.25,1.985,10.3116,18.3171,,10.9764,86.3849,8.7897,0.1484,50.1812,6.1398,63.8901,118.5984,2.7907,1.2304,138.6609,4.3911,9.2942,17.7996,16.6927,5.1171,6.5615,,,,,,,,165.527
433,0.6121,0.0172,,417.0,0.317,26.81,4.34,-6374.75,1.8958,8.3989,18.9628,,9.4417,84.0746,9.3335,0.0921,50.4357,,64.3729,118.0092,2.5408,1.7746,31.5451,3.0028,8.4927,27.7469,9.6957,1.8322,10.1801,13.43,2.82,5.9567,1.121,3.3251,3.5113,0.0116,
434,0.3336,0.017,,549.0,0.366,20.18,7.34,-6381.5,1.8905,54.0241,18.5128,,10.7618,86.1197,9.043,0.1137,50.36,6.4853,63.8744,117.6784,2.7555,1.7536,36.0791,3.4408,7.5465,44.5635,12.4853,6.4379,8.305,19.14,1.09,8.3013,0.5016,4.7138,1.4929,0.0091,155.6844
435,0.0594,0.006,0.0295,508.0,0.316,24.42,3.51,-5313.5,2.0235,41.1893,18.5853,0.009,10.4099,83.9167,9.4043,0.0973,50.4181,6.4897,64.4134,118.1592,2.4348,0.6164,60.6742,2.9044,7.9464,17.69,15.1983,7.1488,4.6137,,,,,,,0.0254,145.3537
436,0.3336,0.0192,,993.0,0.186,19.07,9.29,-5474.25,2.0275,34.4929,18.5128,,8.9437,86.0209,9.2328,0.0595,50.3586,4.4603,63.7799,117.7358,2.7555,1.9967,42.1937,1.7062,7.7469,25.903,15.3576,2.1711,4.583,25.71,0.68,11.9517,0.3052,6.5602,0.9261,0.0329,134.8744
437,0.1305,0.0619,,640.0,0.73,16.12,11.04,-5587.25,2.0122,46.33,20.8465,,11.8,85.2764,8.7219,0.198,50.1373,,63.8842,118.534,2.8592,6.4771,68.9053,7.1203,8.4617,46.521,34.7905,5.6251,7.5127,19.56,1.12,9.8408,0.4653,4.8473,1.3676,,
438,0.1702,0.0151,,258.0,0.975,12.19,8.29,-5421.5,1.9963,33.0817,21.8255,,11.8497,84.2999,8.6439,0.2805,50.5795,125.8211,64.4484,119.0822,2.6957,1.5732,61.4391,9.5721,11.2103,33.9002,47.8971,6.5148,4.1916,16.66,1.37,7.0444,0.582,4.1161,1.8636,,-25.2473
439,0.5548,0.0187,,381.0,0.377,14.08,5.06,-6256.5,1.889,11.9484,27.9554,,10.4232,85.1059,8.5987,0.1145,50.5025,119.9884,64.3081,119.1156,4.0927,1.9578,38.9586,3.6735,8.6654,21.9121,17.7634,6.6003,5.1035,13.03,2.14,6.2063,0.8589,3.1853,2.6268,,-54.622
440,0.5548,0.018,,202.0,0.359,14.04,4.85,-6370.75,1.9007,37.46,27.9554,,10.543,85.2296,8.4421,0.1213,50.2731,7.8592,64.0899,118.4058,4.0927,1.8707,59.1495,3.4913,7.0534,22.7775,30.059,5.0435,5.0397,20.74,1.42,9.5257,0.553,5.1446,1.7575,,166.5316
441,0.1702,0.0155,,485.0,0.388,27.32,6.18,-5311.5,1.9535,13.7278,21.8255,,10.4452,85.1059,8.5987,0.1305,50.5025,5.0152,64.3081,119.1156,2.6957,1.6072,94.8319,3.7426,6.8514,22.7792,40.5725,6.6003,3.7197,,,,,,,,149.6372
442,0.3844,0.0134,,713.0,0.206,11.45,5.1,-6264.0,1.8932,43.7547,20.8235,,8.5549,86.8866,8.8505,0.0611,50.4036,6.0466,64.0557,118.808,2.5305,1.3776,70.1641,1.8883,5.9176,19.1584,25.4847,4.3143,5.9978,14.2,1.19,6.1041,0.4992,3.4707,1.4501,,130.3642
443,0.1339,0.0127,,1454.0,0.345,14.68,10.46,-4750.75,1.992,22.2761,19.946,,11.0518,85.5573,8.6915,0.099,50.465,111.1325,64.1145,118.8908,2.4694,1.3155,32.3586,3.3282,7.9976,43.623,18.6817,10.189,6.3493,,,,,,,0.0282,-33.8247
444,0.1339,0.0133,,1216.0,1.063,19.6,16.76,-5879.75,1.9888,11.501,19.946,,10.8794,85.5265,8.659,0.3029,50.4068,8.3999,64.061,118.9532,2.4694,1.375,68.998,10.3728,15.0743,79.365,79.8723,4.7185,6.7555,15.25,1.24,6.4181,0.4508,3.7336,1.5436,,153.1918
445,0.1305,0.0129,0.049,295.0,1.126,11.94,7.7,-5433.25,2.025,39.7677,20.8465,0.0145,10.9643,85.2296,8.4421,0.4506,50.2731,10.8052,64.0899,118.4058,2.8592,1.332,100.4292,11.3534,8.7683,30.3533,57.3869,5.9162,5.6271,16.56,0.43,6.9391,0.1686,4.072,0.5912,,169.7726
446,0.1414,0.023,0.1503,286.0,1.11,11.37,6.49,-6443.5,1.882,20.3036,18.0687,0.0445,9.4743,84.7228,9.5689,0.3627,50.4579,7.1648,64.0806,117.4208,2.2106,2.3988,27.4201,11.0249,7.9218,18.7045,22.8082,4.5146,3.5583,24.07,0.79,10.7594,0.2878,5.9878,1.0887,0.0283,160.0726
447,0.1339,0.0143,,634.0,0.412,20.55,6.26,-5468.75,2.0068,22.7575,19.946,,11.4061,86.3849,8.7897,0.1204,50.1812,4.0353,63.8901,118.5984,2.4694,1.4735,45.7798,3.9681,8.5093,17.5474,16.8649,6.1887,4.3127,16.98,1.3,7.7989,0.4972,4.2103,1.6766,0.0235,158.2149
448,0.1339,0.0194,,909.0,0.555,23.83,13.33,-5410.5,1.9875,23.0253,19.946,,9.9818,86.4541,8.5687,0.1501,50.2843,,64.0072,118.2032,2.4694,2.02,74.6725,5.2234,13.4643,34.5324,13.8483,11.9391,4.6364,16.95,1.47,8.0126,0.667,4.161,1.799,,
449,0.6121,0.0065,,742.0,0.341,18.9,5.82,-6375.75,1.8735,16.6014,18.9628,,9.6326,85.5573,8.6915,0.0981,50.465,3.9892,64.1145,118.8908,2.5408,0.6628,42.7852,3.167,6.9517,19.2828,16.4183,6.3106,8.7281,,,,,,,,137.1635
450,0.3278,0.0165,,384.0,1.107,13.26,9.11,-6421.0,1.8915,24.6068,16.5381,,9.255,84.0746,9.3335,0.4516,50.4357,,64.3729,118.0092,2.6604,1.6959,60.8108,11.2605,8.9114,24.1289,61.3449,5.1717,4.6602,,,,,,,,
451,0.1972,0.0122,,347.0,0.462,18.22,5.78,-6507.5,1.8755,33.5442,18.7418,,11.8933,85.7103,8.5251,0.1536,50.3808,6.9814,64.2481,118.1552,2.4155,1.267,56.9032,4.5312,10.7752,36.2756,15.4905,4.931,3.2022,19.75,1.39,8.8722,0.5158,4.8823,1.879,,156.8305
452,0.6545,0.0137,,132.0,0.564,17.33,4.16,-6461.0,1.8702,45.3123,14.404,,10.6789,85.7103,8.5251,0.1762,50.3808,8.0719,64.2481,118.1552,2.0026,1.4277,38.485,5.4293,8.9522,19.7171,8.7525,6.4037,5.6383,20.92,1.15,9.4824,0.4773,5.0986,1.5399,,154.3952
453,0.6545,0.0132,,574.0,0.257,21.01,6.24,-5411.5,2.0008,13.9232,14.404,,10.3068,85.7103,8.5251,0.0788,50.3808,5.6864,64.2481,118.1552,2.0026,1.3733,89.2826,2.4835,7.2873,45.8916,15.1578,6.9165,5.6531,19.71,1.57,8.6046,0.6454,4.8384,1.9135,,154.2754
454,0.3053,0.0148,,400.0,0.528,10.66,5.7,-6409.5,1.8835,34.5064,14.1669,,4.4974,85.7103,8.5251,0.157,50.3808,4.1291,64.2481,118.1552,2.1649,1.5321,51.043,5.0458,9.25,33.6622,11.2202,5.6501,3.2633,,,,,,,,157.9462
455,0.2324,0.0083,,790.0,1.132,18.05,5.16,-5546.5,1.9945,26.1955,18.9786,,5.2507,85.7103,8.5251,0.3428,50.3808,5.8257,64.2481,118.1552,2.0957,0.8588,64.8305,11.0913,9.2295,35.6821,14.751,4.8092,3.5852,19.89,1.13,9.402,0.5245,4.865,1.5145,0.0262,166.7124
456,0.2207,0.0078,,347.0,0.483,12.79,4.95,-6466.25,1.883,27.8613,17.7368,,4.5995,85.4112,8.6005,0.1506,50.4016,4.0718,64.0546,119.239,2.4868,0.7993,59.0539,4.6231,8.8766,37.684,17.3173,6.8265,6.1555,,,,,,,0.005,160.1229
457,0.3053,0.0109,,816.0,6.541,21.63,5.02,-5430.0,2.0072,31.8812,14.1669,,12.2044,84.6614,8.7994,2.6566,50.3964,257.0106,64.1107,118.921,2.1649,1.1257,78.8363,62.5666,135.8589,354.4169,137.4644,6.1887,27.6461,,,,,,,,121.8282
458,0.1532,0.0105,,318.0,0.386,15.21,4.32,-5183.0,1.9852,72.4735,20.1353,,11.522,84.2212,9.2047,0.109,50.1936,,64.0841,118.034,2.5366,1.079,96.6076,3.6918,8.1291,18.7253,25.0665,3.9992,5.6743,20.78,1.27,9.7909,0.5422,5.1217,1.5806,,
459,0.0928,0.0108,,414.0,0.486,17.94,4.86,-5353.25,1.9955,19.1771,17.5117,,10.8304,,,0.1429,,,,,2.3579,1.1093,93.469,4.6948,7.8786,21.1431,40.7848,7.3478,5.4265,15.28,1.22,7.3129,0.4603,3.7593,1.6767,0.0232,
460,0.4527,0.0076,,2414.0,0.179,16.89,3.43,-5763.75,1.9805,62.8526,17.6557,,8.9392,85.3825,9.7324,0.0543,50.3716,,64.2442,118.0668,2.6565,0.7851,44.4664,1.6892,7.0856,25.5242,10.7672,6.5816,5.4855,17.04,0.59,7.366,0.2308,4.1674,0.7936,,
461,0.3835,0.0069,,414.0,0.289,22.4,4.63,-5474.75,1.995,51.423,19.5999,,9.1491,85.0066,9.6938,0.1042,50.366,,64.2263,118.0446,2.6299,0.7087,81.4353,2.7762,9.4397,26.6396,53.5583,6.9149,5.8273,13.11,2.62,5.7351,1.0954,3.2173,3.2061,,
462,0.0854,0.011,,1905.0,0.725,13.87,7.42,-6211.25,2.017,13.1939,21.9104,,9.1067,85.822,9.0776,0.245,50.4667,,64.059,118.0494,2.8677,1.1351,89.0909,7.4264,7.8432,47.0085,24.8971,5.4815,3.3208,14.49,0.63,7.1791,0.2343,3.5456,0.8132,0.0155,
463,0.3835,0.0042,,299.0,0.187,11.6,7.55,-6252.75,1.909,13.8394,19.5999,,9.6858,85.5528,8.9546,0.0604,50.458,,64.1864,118.6376,2.6299,0.4251,20.5128,1.7969,7.0155,29.476,10.2286,4.1025,3.2241,,,,,,,,
464,0.1199,0.0172,,354.0,0.403,20.65,6.03,-5288.5,2.0053,15.2961,22.5716,,11.7492,85.4112,8.6005,0.13,50.4016,4.451,64.0546,119.239,2.9742,1.7897,78.8845,3.8111,8.816,28.1088,19.5574,4.3254,3.6737,,,,,,,,152.7361
465,0.2879,0.0072,,867.0,0.223,21.16,8.13,-5328.0,1.982,63.3864,16.5502,,9.0432,85.1669,8.3324,0.0686,50.4421,,64.154,118.4616,2.3445,0.737,55.6051,2.1412,9.2581,35.0248,16.4067,7.3362,6.6056,,,,,,,0.0193,
466,0.3053,0.0131,,588.0,4.985,37.98,9.41,-6334.5,1.8918,27.5703,14.1669,,9.1266,86.8866,8.8505,1.6184,50.4036,152.9228,64.0557,118.808,2.1649,1.3557,72.4647,42.584,78.762,189.7559,274.8871,4.3143,4.1001,,,,,,,,76.3739
467,0.2879,0.0144,,424.0,0.347,21.12,5.91,-5711.0,2.0275,58.5933,16.5502,,11.7333,83.7263,8.7867,0.1218,50.198,5.5542,64.0159,118.6914,2.3445,1.4885,131.9149,3.3442,9.529,29.1922,12.6899,7.7438,5.45,15.41,1.02,7.2286,0.4317,3.9077,1.4209,,156.1709
468,0.1339,0.0162,,822.0,0.556,14.77,5.81,-5662.25,1.9898,17.9155,18.8776,,4.4308,85.7103,8.5251,0.1508,50.3808,3.4785,64.2481,118.1552,2.3923,1.6923,122.4443,5.1796,12.7829,22.1588,10.0895,4.9688,3.2251,,,,,,,,153.6761
469,0.66,0.0055,,415.0,0.334,17.92,10.61,-6310.25,1.885,23.3149,20.209,,11.3511,85.1059,8.5987,0.1157,50.5025,7.0804,64.3081,119.1156,2.8537,0.5648,66.6475,3.1697,9.5734,42.2937,49.0902,10.189,3.5402,,,,,,,,151.0025
470,0.4527,0.0138,,1308.0,1.261,18.48,5.99,-5686.75,2.0177,16.7792,17.6557,,11.5257,86.3849,8.7897,0.3459,50.1812,11.8128,63.8901,118.5984,2.6565,1.4319,98.6577,12.3123,8.2315,32.5054,19.8304,4.8443,5.5395,14.68,1.45,7.3434,0.5258,3.584,1.7652,,160.1019
471,0.2879,0.0047,,904.0,0.245,19.72,3.57,-5402.5,2.0198,34.7201,16.5502,,8.7621,85.1669,8.3324,0.0767,50.4421,,64.154,118.4616,2.3445,0.4759,78.499,2.309,5.0131,41.1788,17.638,2.9871,3.3698,23.28,0.62,10.3258,0.2293,5.7017,0.842,0.0189,
472,0.2084,0.0137,,427.0,0.923,19.42,3.86,-6539.75,1.8845,26.4016,20.9075,,10.9334,84.8892,8.7418,0.2918,50.2052,6.7728,63.9238,118.7802,2.6798,1.4171,35.8121,9.1424,9.4625,17.4105,10.3621,4.3254,4.2402,13.04,1.79,6.109,0.6731,3.1903,2.3703,,159.2319
473,0.1186,0.0039,,403.0,0.505,17.91,4.04,-6389.5,1.8922,53.9665,21.8728,,11.0326,83.6359,9.7836,0.1562,50.2716,,64.1163,117.9252,2.7668,0.3971,79.0348,4.8246,8.8586,24.274,14.1404,6.6079,3.7611,13.84,1.48,5.9653,0.5939,3.4037,1.811,,
474,0.0928,0.0052,0.0209,581.0,0.914,17.06,3.23,-6468.0,1.885,17.5041,17.5117,0.0069,9.9152,85.822,9.0776,0.325,50.4667,,64.059,118.0494,2.3579,0.527,40.747,9.3948,7.4637,13.0001,17.3346,4.9788,3.978,16.28,1.38,7.9147,0.5793,4.0096,1.6796,,
475,0.1797,0.0164,,1261.0,0.939,15.07,3.99,-5649.5,2.0092,19.6538,19.0958,,11.5907,83.7738,8.6427,0.3026,50.1799,6.3766,64.2704,118.5748,2.4981,1.705,79.815,9.3775,9.291,28.7879,9.1007,4.2097,3.5288,,,,,,,0.0114,159.8475
476,0.5671,0.0194,,444.0,0.247,19.17,4.79,-6505.5,1.886,23.0311,14.9241,,9.4666,86.4541,8.5687,0.0775,50.2843,,64.0072,118.2032,1.854,2.0235,36.0,2.248,10.8129,13.3967,10.1443,5.7708,4.8349,,,,,,,0.0208,
477,0.2879,0.012,,2987.0,0.976,21.5,10.03,-4599.25,2.0095,54.2415,16.5502,,11.1626,84.7226,8.9635,0.2798,50.5609,,64.2798,118.5886,2.3445,1.2322,39.6985,9.3102,7.238,28.0334,20.0185,6.1173,3.436,21.23,2.24,9.6673,0.9727,5.2853,2.7783,,
