,F152,F153,F157,F159,F16,F185,F187,F198,F200,F201,F206,F209,F21,F244,F245,F246,F252,F26,F273,F287,F292,F319,F32,F321,F33,F334,F337,F34,F342,F345,F347,F35,F382,F383,F384,F39,F4,F407,F411,F413,F425,F426,F457,F459,F46,F470,F471,F474,F476,F478,F516,F517,F518,F524,F525,F550,F551,F553,F554,F556,F557,F569,F572,F573,F574,F576,F577,F578,F72,F74
119,0.3267,0.0131,,210.0,9.1952,6.91,12.8,1.06,16.87,12.58,0.0,0.0,-5474.25,,,,2.3293,1.9945,13.1989,0.1116,,6.1812,84.1874,2.143,10.6376,0.2818,3.6673,50.6882,0.0,3.0375,0.0,64.7132,,,,118.8356,1.3811,1.1828,2.0627,29.0909,3.553,1.3431,5.1031,1.9841,756.1597,10.5896,4.4555,39.241,17.5016,0.0,,,,3.9418,6.7515,21.84,2.55,9.3309,1.1332,5.4045,3.1086,79.4174,5.95,0.4257,1.9688,1.1157,17.5068,0.0254,157.7365,0.0
120,0.2312,0.0128,,460.0,10.3346,5.23,12.28,0.241,7.39,4.07,0.0,0.0,-5600.5,,,,4.9052,1.977,23.9769,0.0786,,5.5903,85.324,1.5603,9.6272,0.072,1.4479,50.4945,0.0,3.1753,0.0,64.1596,,,,117.796,1.1048,1.0516,2.9815,54.0784,2.2371,1.3188,3.7424,1.9577,723.9348,2.2036,6.5655,13.3864,8.8177,0.0,,,,8.788,5.882,19.88,1.18,8.4922,0.5261,4.9527,1.4517,10.3422,10.2401,0.2349,3.7078,1.9369,10.1049,0.0216,134.9161,0.0
121,0.326,0.0115,,2481.0,10.2041,5.29,12.16,0.747,16.06,9.03,0.0,0.0,-6068.75,,,,2.899,1.779,13.1989,0.0916,,6.0191,85.2487,1.6546,10.0686,0.251,2.4399,50.6755,0.0,3.3212,0.0,64.3085,,,,117.7568,1.3811,1.2596,2.0627,29.0909,3.1943,1.1821,3.9654,1.8894,757.4636,7.5481,6.3718,26.5827,14.1933,0.0,,,,5.0099,5.2434,16.86,0.3,7.1917,0.1241,4.0981,0.411,22.3384,8.98,0.1733,2.7725,1.684,8.6565,0.022,156.5006,0.0
122,0.8435,0.0096,,492.0,10.786,5.13,15.0,0.497,12.08,3.08,0.0,0.0,-5306.5,,,,5.1939,1.9827,18.7645,0.2397,,5.1878,85.324,1.559,9.6272,0.1447,0.9455,50.4945,0.0,3.3868,0.0,64.1596,,,,117.796,1.5099,0.8687,2.3759,21.371,7.8207,0.9888,3.7329,2.3685,734.619,4.7223,7.2693,13.5553,13.2963,0.0,,,,9.026,3.8422,18.94,1.51,9.2137,0.5761,4.7254,1.8271,20.7532,10.89,0.3306,3.1054,2.0369,15.2143,0.0241,154.3806,0.0
123,0.4253,0.0206,,1909.0,10.3635,5.93,14.27,0.541,15.66,5.36,0.0,0.0,-6030.25,,,,4.9091,1.9933,19.2335,0.1218,,5.4207,85.8965,2.0332,9.2405,0.159,1.3822,50.157,0.0,3.4932,0.0,64.0502,,,,119.2274,1.315,0.8531,2.3669,39.0401,4.1033,2.1512,4.217,2.243,734.6738,5.0648,6.2567,15.135,10.9189,0.0,,,,8.8862,5.6565,14.96,1.37,6.5567,0.5793,3.6778,1.6806,13.908,9.61,0.1815,3.3143,1.7913,8.6062,,147.0577,0.0
124,4.2943,0.0058,,206.0,9.5521,9.31,24.98,0.433,19.74,7.01,0.0,0.0,-5653.75,,,,1.8931,2.0232,21.1544,1.3493,,10.8187,84.8178,2.8645,8.7947,0.1232,1.6351,50.2004,0.0,,0.0,63.9947,,,,118.7708,1.5397,1.0148,2.7105,59.7459,44.9567,0.5947,6.6792,3.8958,745.7312,4.2677,7.4153,36.5861,37.4184,0.0,,,,3.3146,6.9899,14.44,1.12,6.9594,0.4481,3.6414,1.4843,22.5185,8.46,0.4406,2.9183,1.5902,18.6118,,,0.0
125,0.3601,0.0056,,1132.0,10.1442,6.9,14.72,0.32,8.19,5.39,0.0,0.0,-5418.25,,,,2.9052,1.9705,22.5106,0.1198,,4.632,85.7375,2.0871,9.0998,0.0987,1.8701,50.1482,0.0,6.1584,0.0,64.0107,,,,119.5608,1.2188,0.8687,2.9181,10.6427,3.5503,0.5697,4.904,2.3392,724.8805,2.9341,6.3355,17.1764,42.497,0.0,,,,4.9266,4.5661,17.07,0.87,7.6483,0.3395,4.2018,1.2031,60.273,10.21,0.3855,3.6026,1.9128,15.4743,0.0201,137.1395,0.0
126,0.321,0.014,,266.0,9.1855,7.04,11.85,0.82,8.66,3.18,0.0,0.0,-5641.25,,,,5.2692,1.9843,23.0757,0.1051,,5.9099,85.8965,1.962,9.2405,0.2488,0.8625,50.157,0.0,3.2323,0.0,64.0502,,,,119.2274,1.5291,0.9721,3.2848,34.8193,3.4952,1.4389,5.4787,1.8562,755.7444,8.2316,5.7812,15.2055,12.4782,0.0,,,,9.1305,4.5031,22.77,0.49,9.7263,0.1878,5.5788,0.6065,9.0351,9.05,0.3143,3.3063,1.692,13.0895,,151.8301,0.0
127,0.3355,0.0122,,293.0,10.5682,10.9,23.6,1.071,18.87,5.61,0.0,0.0,-5538.5,,,,1.9704,2.0003,21.1544,0.1249,,10.8403,84.8178,3.3941,8.7947,0.302,1.7883,50.2004,0.0,,0.0,63.9947,,,,118.7708,1.5397,1.4085,2.7105,59.7459,3.1751,1.2541,7.7698,3.6757,746.4299,10.5989,8.6332,33.4762,50.911,0.0,,,,3.3972,9.7749,16.65,1.44,7.1179,0.6424,4.0078,1.9166,17.6666,8.6801,0.3008,2.8702,1.6306,11.7957,,,0.0
128,0.3854,0.0111,,347.0,9.6527,6.6,22.27,0.338,18.71,6.35,0.0,0.0,-5261.75,,,,2.1781,1.993,19.5188,0.1116,,10.5065,84.3324,2.1069,8.9336,0.0819,1.8931,50.5527,0.0,2.7931,0.0,64.2529,,,,116.7828,1.67,0.8531,2.7099,30.8039,3.993,1.1415,4.6926,3.5788,721.5494,3.1538,5.2618,21.0039,11.6177,0.0,,,,3.6522,9.7437,28.35,6.84,12.0019,2.8545,6.9347,9.3791,,8.52,0.3505,3.0246,1.6184,14.5906,0.0153,141.0587,0.0
129,1.4245,0.0152,,878.0,9.6506,6.1,11.53,0.346,10.93,4.47,0.0,0.0,-5587.75,,,,2.1255,1.9705,17.799,0.4261,,5.4333,83.8746,2.1435,9.2658,0.1258,1.2882,50.2261,0.0,2.9138,0.0,64.3328,,,,119.104,1.368,0.8531,2.4139,33.3981,14.7607,1.5756,4.2694,1.8018,735.1052,3.2434,6.7547,13.0755,17.0474,0.0,,,,3.8037,12.1704,15.36,1.63,7.138,0.6653,3.7552,2.0042,25.3161,9.57,0.3005,3.1047,1.7921,12.1324,0.0338,147.7535,0.0
130,0.3826,0.021,,579.0,10.3046,3.99,12.28,0.52,11.28,6.29,0.0,0.0,-5531.5,,,,4.8794,2.0303,23.9769,0.1125,,5.4041,84.3585,1.3364,8.7495,0.1529,1.7625,50.4362,0.0,4.0659,0.0,64.2234,,,,117.7078,1.1048,0.8531,2.9815,54.0784,3.7126,2.1936,2.8684,1.953,725.6008,4.7927,9.8023,15.1588,14.4191,0.0,,,,8.8842,80.0406,13.91,0.67,5.4206,0.2568,3.4843,0.8181,25.9372,8.3,0.2815,2.7495,1.5612,12.1582,0.0208,138.7609,0.0
131,0.9728,0.0121,,556.0,9.7109,4.65,11.76,0.342,16.45,6.45,0.0,0.0,-5456.25,,,,2.2887,1.9972,13.1989,0.2771,,5.1967,85.324,1.6364,9.6272,0.1054,1.9027,50.4945,0.0,8.9551,0.0,64.1596,,,,117.796,1.3811,1.0643,2.0627,29.0909,10.0179,1.2438,3.2576,1.8644,725.3678,3.1205,7.8415,15.0065,46.8326,0.0,,,,3.8883,4.6823,15.93,1.44,6.6333,0.5656,3.9831,1.7869,17.9238,11.21,0.562,3.6972,2.1264,23.5428,0.0058,138.132,0.0
132,0.7696,0.0166,,591.0,10.4655,6.24,16.99,0.371,17.84,14.45,0.0,0.0,-5683.75,,,,3.4781,2.0173,22.5106,0.2227,,5.9225,85.6626,1.712,9.1502,0.0988,3.8281,50.2288,0.0,4.2468,0.0,64.1871,,,,119.3708,1.2188,0.8687,2.9181,10.6427,7.3534,1.7284,4.4107,2.6595,736.3145,3.4419,7.863,39.885,17.7485,0.0,,,,5.8874,7.9816,19.05,1.61,9.1163,0.6061,4.7381,1.9693,,11.39,0.8681,3.8566,2.1383,39.8075,,148.8897,0.0
133,0.7521,0.0095,,2366.0,9.3766,4.22,12.8,0.256,9.09,10.84,0.0,0.0,-6563.75,,,,2.2393,1.8005,17.6337,0.2147,,4.788,84.7166,1.5372,8.8388,0.0861,3.625,50.3916,0.0,1.9152,0.0,64.1968,,,,111.7128,1.3622,,2.7712,31.4696,8.0213,0.9767,2.9597,2.028,725.8835,2.3036,12.0888,22.162,20.1396,0.0,,,,3.7615,8.3412,12.26,0.69,5.612,0.2811,3.097,0.9176,17.8027,6.43,0.2673,2.3013,1.2283,14.6817,,135.5007,0.0
134,0.8045,0.0101,,180.0,9.7499,6.08,9.27,0.69,11.41,5.35,0.0,0.0,-5559.0,,,,1.9131,1.9682,25.5822,0.2369,,6.2297,83.8746,1.8983,9.2658,0.1918,1.6577,50.2261,0.0,,0.0,64.3328,,,,119.104,1.4215,1.2374,3.6303,91.1645,8.2509,1.0448,4.374,1.4571,734.1486,6.6944,7.2761,21.7077,15.2394,0.0,,,,3.2332,6.3557,,,,,,,22.6166,283.03,0.4809,104.372,60.6656,19.3194,,,0.0
135,0.2028,0.0199,,570.0,9.7481,5.09,8.96,0.182,11.2,4.2,0.0,0.0,-5499.75,,,,5.3078,1.9685,18.7645,0.0686,,6.3071,83.8746,1.4489,9.2658,0.0559,1.3482,50.2261,0.0,,0.0,64.3328,,,,119.104,1.5099,1.4085,2.3759,21.371,2.0802,2.0754,3.4276,1.4098,725.7848,1.7165,4.9059,34.4751,38.862,0.0,,,,9.2788,3.5526,,,,,,,13.3978,11.32,0.2306,3.9875,2.1135,11.2782,,,0.0
136,0.6257,0.0147,,131.0,10.7572,6.97,8.38,0.573,11.49,5.08,0.0,0.0,-6353.5,,,,2.296,1.8835,21.3466,0.183,,4.571,85.4579,2.0312,8.6667,0.1774,1.3659,50.2987,0.0,,0.0,64.2122,,,,117.955,1.226,1.4085,2.8235,6.4988,5.8167,1.5155,4.7837,1.3339,719.4866,5.5117,6.2466,31.2189,11.8576,0.0,,,,3.9133,4.2778,19.48,1.57,8.5329,0.7366,4.8644,1.929,10.8972,6.29,0.3894,2.1771,1.1838,15.9735,,,0.0
137,0.3967,0.0051,,691.0,9.9339,2.78,14.04,0.271,18.53,6.0,0.0,0.0,-6599.25,,,,2.3168,1.8888,21.3466,0.1158,,6.3297,84.5407,1.0163,9.1638,0.0841,1.9873,50.1709,0.0,,0.0,64.2232,,,,119.7114,1.226,1.0148,2.8235,6.4988,3.9936,0.5256,1.9417,2.2125,729.7445,2.6218,5.4252,30.1203,12.9853,0.0,,,,3.9287,4.1014,,,,,,,16.9639,11.73,0.3447,4.2207,2.2064,15.0908,,,0.0
138,0.5702,0.0139,,484.0,9.712,4.45,14.15,0.838,12.51,6.77,0.0,0.0,-6413.5,,,,2.3795,1.8873,13.1989,0.1633,,5.5001,85.4138,1.4323,10.9634,0.2764,2.1155,50.3803,0.0,,0.0,64.2949,,,,118.8972,1.3811,1.4085,2.0627,29.0909,5.8709,1.4308,3.256,2.2676,721.4682,8.1072,8.4777,47.578,46.6331,0.0,,,,4.0385,5.8451,19.16,1.82,9.1432,0.7867,4.7722,2.2326,17.565,7.95,0.4383,2.9281,1.4949,20.9802,,,0.0
139,0.4961,0.0094,,367.0,9.4602,5.84,12.72,0.574,14.14,6.61,0.0,0.0,-6569.5,,,,2.8937,1.8785,22.599,0.1523,,6.6792,84.5407,1.6582,9.1638,0.1443,2.0671,50.1709,0.0,,0.0,64.2232,,,,119.7114,0.9454,0.8687,2.9113,27.5014,5.2436,0.9691,4.167,2.0087,729.8999,5.5635,7.2308,33.7427,18.9352,0.0,,,,4.8901,2.9868,20.08,0.9,10.0572,0.343,4.9624,1.2315,23.0494,9.84,0.3066,3.4939,1.8387,12.4093,,,0.0
140,0.3871,0.0167,,415.0,10.0681,9.12,25.58,0.339,22.45,10.29,0.0,0.0,-6480.5,,,,2.7883,1.8815,27.1972,0.1142,,10.8672,86.1197,2.6862,9.043,0.1307,2.5349,50.36,0.0,6.0756,0.0,63.8744,,,,117.6784,1.2834,1.5012,3.1423,11.2533,3.8452,1.7361,6.6195,4.003,743.6618,3.2102,5.1581,26.8791,26.9478,0.0,,,,4.6578,5.6057,,,,,,,15.691,10.13,0.2431,3.5979,1.8952,10.039,,155.1363,0.0
141,0.2606,0.0157,,330.0,10.1625,5.4,23.99,0.137,21.2,6.23,0.0,0.0,-6364.25,,,,2.2746,1.888,27.1972,0.0862,,10.3165,86.1197,1.6865,9.043,0.0465,1.6856,50.36,0.0,8.5552,0.0,63.8744,,,,117.6784,1.2834,1.5012,3.1423,11.2533,2.5644,1.6353,3.9038,3.7612,742.4229,1.2488,6.4458,12.4185,29.3084,0.0,,,,3.7986,4.7049,13.13,0.41,5.8409,0.1491,3.2704,0.553,20.1018,10.13,0.2431,3.5979,1.8952,10.039,,145.0518,0.0
142,0.4609,0.0155,,497.0,10.4762,4.0,12.48,0.37,10.63,6.04,0.0,0.0,-6473.25,,,,2.3197,1.8873,22.5106,0.1338,,5.8079,84.5407,1.1426,9.1638,0.1213,1.8819,50.1709,0.0,,0.0,64.2232,,,,119.7114,1.2188,0.6652,2.9181,10.6427,4.3994,1.5945,2.7962,1.9677,729.4859,3.5731,8.3787,29.3435,14.2926,0.0,,,,3.9321,3.2202,,,,,,,30.0429,8.84,0.5306,2.7997,1.64,20.8257,0.0348,,0.0
143,0.3807,0.0118,,7669.0,10.1297,3.54,24.98,0.261,20.65,9.0,0.0,0.0,-3293.5,,,,2.2562,0.893,18.7645,0.1234,,10.4239,84.0432,1.1828,8.7487,0.087,2.9389,50.2849,0.0,6.8163,0.0,64.3732,,,,118.7784,1.5099,0.6652,2.3759,21.371,3.7578,1.2177,2.5079,4.0253,718.6354,2.3343,12.7009,16.3701,55.4851,0.0,,,,3.7779,5.1006,21.06,2.23,9.1664,0.9337,5.2051,2.7656,24.2987,11.94,0.2735,4.3037,2.2473,11.8756,0.0135,119.6337,0.0
144,1.4114,0.0119,,7673.0,10.6526,9.19,18.95,0.17,21.28,7.14,0.0,0.0,-1918.25,,,,2.984,0.4445,22.5106,0.4506,,10.6706,85.1197,2.6989,9.1784,0.0531,2.2569,50.2165,0.0,6.5408,0.0,64.229,,,,118.771,1.2188,1.2374,2.9181,10.6427,13.249,1.2224,6.3766,3.0109,727.1951,1.5612,9.1746,21.4995,37.145,0.0,,,,5.0598,79.8006,22.16,1.53,11.2193,0.6714,5.4714,1.9071,11.4038,12.21,0.4722,4.1053,2.2977,20.6127,0.0055,137.0732,0.0
145,0.3474,0.0052,,602.0,10.098,6.11,17.0,0.343,16.32,6.95,0.0,0.0,-5478.25,,,,2.9045,1.964,22.5106,0.113,,5.1773,85.7375,1.786,9.0998,0.1126,2.0142,50.1482,0.0,6.3595,0.0,64.0107,,,,119.5608,1.2188,0.8687,2.9181,10.6427,3.4408,0.5262,4.2397,2.6695,732.6516,3.3201,2.4026,31.8914,21.5174,0.0,,,,4.9249,5.6109,,,,,,,18.3453,8.74,0.4067,3.1845,1.6299,16.7075,,152.0177,0.0
146,0.2094,0.0204,,241.0,9.7663,3.1,8.13,0.326,13.87,7.79,0.0,0.0,-6472.5,,,,5.1503,1.8952,18.7645,0.0734,,4.3737,85.4579,0.9241,8.6667,0.0897,2.3076,50.2987,0.0,,0.0,64.2122,,,,117.955,1.5099,1.4085,2.3759,21.371,2.1438,2.1221,2.101,1.3013,712.9419,3.1011,3.1932,50.6639,34.5203,0.0,,,,9.0482,5.6323,21.59,1.42,9.387,0.5751,5.3402,1.9122,18.457,7.11,0.3043,2.3687,1.3334,13.1074,,,0.0
147,0.7921,0.0208,,3027.0,10.5235,12.85,14.46,0.757,12.48,3.82,0.0,0.0,-6235.25,,,,2.123,1.993,25.5822,0.2225,,4.8677,85.8965,3.4751,9.2405,0.2106,1.3938,50.157,0.0,2.7491,0.0,64.0502,,,,119.2274,1.4215,1.3055,3.6303,91.1645,7.5268,2.1742,9.1531,2.2892,729.5724,7.1548,6.0239,18.1015,12.3028,0.0,,,,3.6354,14.1562,20.73,1.1,9.3027,0.4169,5.1476,1.3187,18.9165,8.27,0.1878,2.9437,1.5389,9.2038,,148.8751,0.0
148,0.4443,0.0074,,473.0,10.54,7.74,27.09,1.145,17.21,5.42,0.0,0.0,-6449.75,,,,4.7228,1.8915,27.1972,0.1284,,11.3583,84.8178,2.2266,8.7947,0.2927,1.8092,50.2004,0.0,,0.0,63.9947,,,,118.7708,1.2834,1.4348,3.1423,11.2533,4.2151,0.7613,5.4963,4.216,747.241,11.343,8.7255,37.4136,15.3855,0.0,,,,8.1736,7.4708,19.64,1.66,9.2579,0.708,4.8715,2.0447,35.0315,11.47,0.3232,3.7981,2.1591,13.3699,,,0.0
149,0.7133,0.0202,,2029.0,10.4996,4.73,10.49,0.243,11.04,11.18,0.0,0.0,-6169.5,,,,2.3059,1.7675,18.9433,0.2101,,5.0914,84.8723,1.5471,8.755,0.0821,3.415,50.3957,0.0,4.2708,0.0,64.0838,,,,117.326,1.3555,0.6652,2.3807,34.7666,6.7938,2.1065,3.3396,1.6659,726.0428,2.1872,13.4782,23.8455,17.0593,0.0,,,,3.8659,4.255,17.2,1.33,7.1189,0.5761,4.2435,1.6337,14.6457,8.29,0.2435,2.9696,1.5497,13.5286,0.0182,129.6917,0.0
150,0.5644,0.0127,,495.0,10.1964,4.12,21.73,0.361,21.54,5.51,0.0,0.0,-5550.5,,,,1.5538,2.013,28.2839,0.1677,,10.5846,86.1197,1.374,9.043,0.1208,1.4943,50.36,0.0,5.567,0.0,63.8744,,,,117.6784,1.2795,1.4348,3.3742,9.6657,5.5351,1.3085,2.9114,3.414,738.4955,3.4545,4.5464,14.6781,11.7522,0.0,,,,2.7699,2.5666,17.63,0.93,7.9136,0.3677,4.4111,1.1206,18.6258,10.13,0.2431,3.5979,1.8952,10.039,,152.5719,0.0
151,0.4971,0.0125,,422.0,10.5284,7.79,23.25,0.323,12.01,9.4,0.0,0.0,-5448.5,,,,2.5006,1.975,16.3972,0.1445,,10.1559,85.1594,2.4006,8.8741,0.1081,2.2766,50.2518,0.0,,0.0,64.1363,,,,120.883,1.2579,0.8531,2.3943,136.3601,4.7212,1.2833,5.4522,3.736,719.3697,2.9768,10.1743,54.05,9.5139,0.0,,,,4.3512,5.7994,,,,,,,,11.18,0.2652,3.933,2.1088,12.4612,,,0.0
152,0.3774,0.0127,,599.0,9.9372,4.98,10.54,0.74,17.21,5.98,0.0,0.0,-6352.0,,,,2.1983,1.9033,18.7645,0.1125,,4.8101,85.4138,1.6633,10.9634,0.248,1.8159,50.3803,0.0,,0.0,64.2949,,,,118.8972,1.5099,0.8687,2.3759,21.371,3.7977,1.3212,3.5213,1.681,722.1884,7.2844,4.2592,39.8156,31.7482,0.0,,,,3.796,14.0334,20.59,1.55,9.5606,0.7115,5.0669,1.9007,18.5945,8.7,0.2955,3.0409,1.6335,14.338,0.0336,,0.0
153,0.2897,0.0152,,1863.0,9.6793,7.15,12.64,0.291,10.48,4.49,0.0,0.0,-5098.25,,,,1.7951,2.0083,25.5822,0.084,,6.0981,85.794,2.1513,8.7599,0.0817,1.4581,50.3802,0.0,2.9408,0.0,63.9715,,,,117.6882,1.4215,1.3055,3.6303,91.1645,2.9927,1.5639,4.9515,2.0068,724.3986,2.7169,5.8846,18.4579,14.9377,0.0,,,,3.2141,4.3131,18.45,1.66,8.8969,0.7195,4.512,2.0713,15.0223,9.08,0.1497,3.0504,1.6996,7.6104,0.0199,141.6228,0.0
154,0.8158,0.0123,,145.0,10.7177,6.32,9.41,0.284,13.62,9.01,0.0,0.0,-6362.5,,,,2.9093,1.9012,22.5106,0.2329,,4.8639,85.4579,1.7369,8.6667,0.091,2.4717,50.2987,0.0,,0.0,64.2122,,,,117.955,1.2188,0.8687,2.9181,10.6427,7.6113,1.261,4.277,1.4895,721.505,2.7312,3.4713,64.0186,40.9515,0.0,,,,5.0191,4.5816,21.84,1.53,10.2357,0.7361,5.4453,1.9029,8.6607,8.1,0.1188,2.8442,1.5138,5.1798,,,0.0
155,0.8296,0.0111,,198.0,10.7668,6.1,20.96,0.738,16.08,3.72,0.0,0.0,-6290.25,,,,2.9933,1.8942,23.8911,0.239,,7.346,84.818,1.6726,8.6309,0.2028,1.0653,50.2512,0.0,7.9617,0.0,64.2144,,,,117.4996,1.2723,0.6652,2.9731,10.6183,7.7053,1.1404,4.5354,3.2551,755.7826,7.4474,3.4222,19.265,60.914,0.0,,,,5.0791,6.1265,17.61,0.83,8.7864,0.346,4.3273,1.1286,11.9065,9.08,0.2787,3.1635,1.7099,12.3326,0.0228,169.2684,0.0
156,3.4012,0.0111,,565.0,10.5142,5.05,15.51,0.533,14.93,6.54,0.0,0.0,-5389.25,,,,2.9372,1.9718,22.1896,1.0531,,6.1246,85.6626,1.7496,9.1502,0.1441,2.1771,50.2288,0.0,4.5094,0.0,64.1871,,,,119.3708,1.2484,0.8687,2.897,8.2656,32.3491,1.143,3.5037,2.4588,724.4406,4.9753,8.8288,22.8149,14.8656,0.0,,,,4.9197,4.0794,16.66,1.01,8.4877,0.4212,4.0639,1.3778,18.6842,6.99,0.3379,2.4866,1.3075,15.382,,145.5469,0.0
157,1.6223,0.0055,,574.0,8.0711,3.84,15.5,0.322,17.84,3.55,0.0,0.0,-6538.75,,,,4.5096,1.8808,16.5258,0.5074,,6.6825,84.5407,1.0947,9.1638,0.0963,1.0708,50.1709,0.0,,0.0,64.2232,,,,119.7114,1.5714,1.2374,2.3415,179.3389,20.0998,0.5658,2.7262,2.4189,740.0988,3.1732,4.7764,25.4997,7.2331,0.0,,,,7.6318,4.1329,18.15,1.68,8.3114,0.7505,4.487,2.066,33.1318,10.45,0.3497,3.559,1.9517,14.5937,0.014,,0.0
158,0.4411,0.0081,,582.0,9.8767,6.48,20.22,0.824,15.99,6.63,0.0,0.0,-6349.5,,,,2.9257,1.8818,21.3122,0.1331,,7.5104,84.818,1.6939,8.6309,0.241,1.7701,50.2512,0.0,4.3927,0.0,64.2144,,,,117.4996,1.3012,1.1126,2.7779,6.9466,4.4661,0.8327,4.7363,3.1239,757.5634,8.2543,3.6321,19.3947,22.4486,0.0,,,,4.961,4.6202,21.11,1.44,9.2421,0.6358,5.2717,1.77,10.4638,6.11,0.3094,1.9061,1.1399,14.0347,,159.4074,0.0
159,0.367,0.0177,,481.0,9.4522,7.1,23.69,0.273,21.99,9.73,0.0,0.0,-5599.5,,,,2.4838,1.9922,25.2959,0.1125,,10.915,85.2804,2.2704,9.2436,0.0736,2.9778,50.4371,0.0,6.089,0.0,64.2175,,,,118.3534,1.016,1.2397,3.5105,43.3916,3.8829,1.843,4.9119,3.6962,743.6965,2.4663,7.1904,18.2594,11.1184,0.0,,,,4.3427,5.0499,19.17,1.01,8.0983,0.3733,4.7003,1.3805,40.9011,11.58,0.5262,3.8397,2.1825,23.0452,0.0082,141.2612,0.0
160,0.9568,0.021,,1020.0,9.6394,9.23,15.04,0.353,20.83,4.66,0.0,0.0,-5645.25,,,,2.7749,2.008,25.2959,0.2807,,10.0971,84.9798,2.8984,8.3754,0.1159,1.5036,50.2413,0.0,6.9522,0.0,63.8874,,,,118.0962,1.016,0.7013,3.5105,43.3916,9.9254,2.1942,6.3666,2.3659,733.5702,3.3993,5.2239,19.0785,47.9589,0.0,,,,4.8268,4.1597,9.8,0.21,4.2509,0.0856,2.3773,0.2886,24.2088,5.7,0.3433,2.0622,1.0653,15.0191,0.0195,151.5935,0.0
161,0.2031,0.0106,,550.0,9.9547,5.64,26.08,0.276,20.44,11.47,0.0,0.0,-5447.75,,,,2.6468,1.9783,18.4097,0.0721,,11.256,85.7375,1.5751,9.0998,0.0845,3.3819,50.1482,0.0,4.5273,0.0,64.0107,,,,119.5608,1.5296,1.2397,2.6778,19.8827,2.0407,1.0869,3.9926,4.0702,745.329,2.5585,9.9289,30.4472,6.3848,0.0,,,,4.3621,4.3997,19.33,0.82,8.9693,0.3875,4.7555,1.1109,14.3717,8.01,0.423,2.9007,1.491,17.4104,0.0075,148.2239,0.0
162,0.4145,0.022,,608.0,9.7123,5.49,16.69,0.37,18.27,5.84,0.0,0.0,-5501.0,,,,1.7796,1.9903,25.2959,0.1231,,10.0639,84.9798,1.5571,8.3754,0.109,1.6645,50.2413,0.0,9.1698,0.0,63.8874,,,,118.0962,1.016,0.7013,3.5105,43.3916,4.2676,2.3008,3.7774,2.6121,738.3333,3.5528,4.5064,18.5792,53.2734,0.0,,,,2.9491,4.6931,15.76,1.2,8.19,0.5571,3.9262,1.4882,22.8057,5.72,0.435,1.8879,1.0688,19.0155,0.0215,145.3263,0.0
163,0.7895,0.0117,,5921.0,10.2585,3.6,10.13,0.793,12.96,7.08,0.0,0.0,-4228.0,,,,2.2528,1.326,22.1896,0.2295,,4.8046,84.8723,1.3365,8.755,0.2342,2.1704,50.3957,0.0,4.9729,0.0,64.0838,,,,117.326,1.2484,1.0148,2.897,8.2656,7.6957,1.2075,2.564,1.613,724.4843,7.3013,14.7729,18.6838,11.1627,0.0,,,,3.785,3.1144,15.67,1.01,6.9765,0.4145,3.8871,1.2725,,439.05,1.2098,137.833,85.9341,69.196,0.0337,138.54,0.0
164,0.4782,0.0146,,1238.0,10.5147,10.94,16.82,0.331,15.19,6.33,0.0,0.0,-5645.5,,,,1.3286,2.009,19.9788,0.1376,,10.0686,86.1197,3.5747,9.043,0.1005,1.7559,50.36,0.0,3.9321,0.0,63.8744,,,,117.6784,1.2793,0.7013,2.8813,59.41,4.5476,1.5056,7.7327,2.6417,736.8024,3.1142,4.9924,16.1988,8.253,0.0,,,,2.384,5.0091,10.85,1.01,4.9646,0.4172,2.624,1.366,12.1581,10.13,0.2431,3.5979,1.8952,10.039,0.0078,149.1817,0.0
165,0.8593,0.0064,,1322.0,9.4018,8.74,18.97,1.005,10.44,5.33,0.0,0.0,-5596.5,,,,4.7034,2.0055,18.4097,0.2345,,7.0678,85.794,2.8096,8.7599,0.3681,1.7375,50.3802,0.0,4.5664,0.0,63.9715,,,,117.6882,1.5296,0.7013,2.6778,19.8827,9.14,0.6586,6.5657,2.9737,748.9484,10.1642,4.1484,15.668,35.5113,0.0,,,,7.9756,5.1202,,,,,,,33.001,6.58,0.3535,2.1365,1.234,14.6325,,160.7911,0.0
166,0.3765,0.0209,,894.0,9.6762,9.04,16.12,0.185,14.07,6.07,0.0,0.0,-5750.0,,,,1.7372,2.0215,23.2195,0.1104,,10.3256,84.9798,2.7623,8.3754,0.0609,2.0137,50.2413,0.0,6.147,0.0,63.8874,,,,118.0962,1.2043,1.2482,2.9881,68.4284,3.8914,2.1797,6.2623,2.5263,736.7293,1.7627,5.3322,28.2725,38.1575,0.0,,,,3.0947,5.6383,10.48,1.67,4.4968,0.714,2.5441,2.2984,21.8333,6.01,0.3576,2.0467,1.1234,15.2689,0.0419,147.4891,0.0
