,F152,F16,F185,F187,F252,F287,F321,F425,F457,F459,F46,F524,F572,F573,F574,F576,F577
385,0.632,10.5391,9.32,14.21,2.6078,0.1849,3.0155,5.9967,6.8777,2.1963,756.8635,4.5219,9.7,0.4004,3.2524,1.8193,17.7998
386,0.418,9.2405,9.54,15.47,3.4845,0.1282,2.9612,4.5236,6.7784,2.5036,712.6131,5.8134,10.74,0.2621,3.4272,2.0111,11.9752
387,0.5458,8.2969,6.44,11.21,2.9092,0.1979,2.5536,6.5781,4.4873,1.7338,747.3434,4.9785,7.73,0.4608,2.3152,1.4418,19.8705
388,0.5109,9.7802,9.09,22.16,3.7848,0.1583,2.2486,5.2233,6.5027,3.5048,731.454,6.3078,8.52,0.2294,3.1416,1.5898,12.803
389,0.3492,9.861,10.13,11.27,2.8456,0.1105,2.9364,3.5414,7.6164,1.7477,757.8088,4.8771,9.14,0.2281,3.364,1.7273,9.0279
390,0.4849,9.5523,13.42,20.57,3.4724,0.1391,4.218,5.0762,10.2374,3.2923,732.7356,5.8652,8.36,0.3706,2.9893,1.5654,15.3151
391,0.5697,10.4399,10.66,16.89,2.8911,0.1656,3.417,5.4572,7.8915,2.702,726.2583,4.9762,7.46,0.4854,2.6763,1.3973,20.5636
392,0.758,10.5503,8.59,23.74,2.2984,0.2207,2.2591,7.1851,6.2624,3.7473,732.2325,3.9778,10.46,0.1936,3.7087,1.9636,8.2046
393,0.4735,9.276,6.15,17.12,2.7296,0.1428,2.0459,5.1048,4.1058,2.7735,703.8551,4.696,150.77,1.2515,61.4165,44.7825,55.1208
394,0.5065,9.9788,7.94,20.39,2.5626,0.1455,2.2171,5.0758,5.8592,3.251,731.6507,4.4623,10.38,0.407,3.5665,1.9479,17.1974
395,0.8525,10.384,10.05,12.02,2.7428,0.2493,3.5217,8.21,7.4725,1.8739,750.3185,4.7169,9.66,0.3695,3.5314,1.8119,15.2177
396,0.5006,9.9879,14.15,23.09,2.592,0.1459,4.3056,5.0122,10.2797,3.7451,717.7661,4.4721,9.33,0.1854,3.3165,1.7457,7.612
397,0.5745,10.5411,8.51,19.15,2.057,0.1661,2.3776,5.45,6.0888,3.0887,715.6491,3.4254,7.85,0.1803,2.2968,1.4674,11.0551
398,0.36,10.7439,7.68,20.96,3.7472,0.1101,2.0561,3.3511,5.4318,3.3065,732.1782,6.2655,8.38,0.3953,2.6942,1.5742,15.984
399,0.8351,10.2893,10.41,17.79,2.8665,0.2417,3.3374,8.1167,7.4433,2.8926,710.5124,5.0358,8.47,0.192,3.0029,1.5901,8.303
400,1.3767,9.9111,7.93,14.18,2.7499,0.3973,2.2134,13.8906,5.6103,2.2723,720.912,4.7202,7.47,0.1043,2.5493,1.4036,4.582
401,1.5312,9.7814,8.16,15.85,3.9713,0.5304,2.1445,15.6547,5.6991,2.5316,723.1437,6.8567,9.35,0.3596,3.2619,1.7512,15.2351
402,0.9549,10.34,7.06,19.9,2.8137,0.2844,2.4808,9.2349,4.8581,3.1229,732.401,4.9058,7.55,0.44,2.7336,1.4129,18.5733
403,1.5763,10.7026,9.98,22.72,2.9653,0.5338,2.758,14.7279,7.3228,3.6741,718.7948,4.9901,7.67,0.2679,2.6886,1.4324,11.4305
404,0.523,10.4516,9.5,21.41,4.3026,0.1465,2.7991,5.0038,7.1201,3.448,725.9134,7.6137,8.9,0.3756,3.0585,1.6629,22.1989
405,0.5104,10.5645,8.42,23.41,2.6287,0.1464,2.8128,4.8312,6.6933,3.7108,748.9077,4.4791,7.55,0.44,2.7336,1.4129,18.5733
406,0.7665,10.3872,6.64,17.14,2.591,0.2199,2.1414,7.3788,4.8298,2.7239,732.7662,4.43,8.37,0.2784,2.5383,1.5567,12.5829
407,0.3749,10.4463,11.13,28.36,2.3426,0.1156,3.1012,3.5893,8.0623,4.5061,731.9843,4.0184,6.88,0.2227,2.4837,1.2816,10.4728
408,0.582,9.9927,13.72,12.32,3.8663,0.1984,5.1158,5.8242,10.1486,1.9273,745.4757,6.7604,6.21,0.2724,2.0911,1.1612,11.9761
409,0.5347,9.9603,6.84,20.35,3.7315,0.1565,2.0118,5.3679,5.011,3.2605,725.9413,6.2757,9.83,0.3354,3.4139,1.8451,13.9088
410,0.7317,10.4817,7.68,22.56,2.1651,0.2168,2.271,6.9807,5.4195,3.5875,727.6713,3.6187,10.36,0.4019,3.5141,1.9536,17.8738
411,0.2281,10.5155,3.45,20.89,2.9297,0.0814,1.2767,2.1693,2.3891,3.3863,709.3307,5.1011,9.48,0.629,3.2468,1.7766,27.4837
412,0.487,10.3602,5.91,19.88,2.8092,0.1396,2.024,4.7009,4.0889,3.091,740.813,4.8218,11.18,0.1966,3.9678,2.1067,8.6672
413,0.7087,10.1609,12.85,12.16,2.4636,0.2064,4.5094,6.9746,9.4183,1.9595,721.3643,4.2162,7.96,0.2694,2.5273,1.4765,14.992
414,0.3649,10.5082,13.58,23.17,3.3645,0.1102,3.9719,3.4726,9.7957,3.6552,737.856,5.9177,8.77,0.2098,3.1343,1.6362,10.3254
415,0.3783,10.4823,6.3,16.47,3.1248,0.1114,1.7033,3.6085,4.2595,2.6502,711.0501,5.2778,10.82,0.2019,3.8083,2.0239,8.647
416,0.426,9.2114,8.14,20.18,3.7652,0.1297,2.7055,4.6245,5.9193,3.2978,710.9674,6.3351,7.69,0.2934,2.595,1.447,12.4442
417,1.4613,8.9543,4.13,19.15,3.3803,0.4668,1.1904,16.3198,2.8299,3.0181,727.6565,5.685,7.79,0.1621,2.5563,1.465,7.0084
418,0.3034,10.5012,10.17,18.31,3.3075,0.0947,3.3301,2.8895,7.0843,2.8968,730.801,5.8177,8.5699,0.3475,2.9698,1.6097,14.6612
419,0.8152,9.8559,6.54,25.95,1.7009,0.2206,1.9174,8.2713,4.8217,4.1123,735.9405,2.9644,9.14,0.4976,3.3294,1.71,20.2424
420,0.8846,9.4607,9.15,22.81,3.0349,0.2396,2.7354,9.3504,6.5181,3.6078,734.2715,5.0909,8.58,0.197,2.9163,1.6105,11.7398
421,0.7792,10.1707,5.64,23.6,3.6633,0.2274,1.4222,7.6615,4.0816,3.5853,774.8085,6.1701,7.35,0.3948,2.5268,1.3826,19.5847
422,0.8092,9.8012,14.66,20.41,3.9419,0.218,4.9592,8.2564,10.5827,3.2325,734.0813,6.6406,7.84,0.181,2.8553,1.4711,7.2419
423,0.2843,11.109,4.95,22.89,3.6249,0.0925,1.7326,2.5593,3.2924,3.5678,732.904,6.0358,5.96,0.3922,2.1771,1.1219,16.3758
424,0.4452,11.0543,10.59,18.17,3.7525,0.1301,2.8903,4.0274,7.7071,2.932,717.8685,6.3277,7.11,0.2709,2.3928,1.34,11.3021
425,0.636,10.2912,5.97,26.25,2.3805,0.1827,2.0798,6.1796,4.2209,4.0458,752.3565,4.0941,9.36,0.2135,3.1597,1.7579,9.344
426,0.9974,10.0264,5.54,22.49,2.468,0.2661,1.6607,9.9477,4.1848,3.5083,750.4528,4.2412,59.58,0.8335,21.2391,14.5232,33.7554
427,0.9635,10.1473,11.43,25.29,3.0568,0.2578,3.7201,9.495,8.4069,3.9915,739.1288,5.3472,6.04,0.3553,1.9273,1.1219,18.1001
428,0.8914,10.0805,10.09,24.02,2.9376,0.2372,3.2037,8.8425,7.3174,3.7821,739.6701,4.974,8.2,0.2814,2.9624,1.534,11.7989
429,0.4317,10.0922,13.33,23.56,4.6301,0.1285,4.8537,4.2779,9.8615,3.725,739.0993,7.8463,7.84,0.181,2.8553,1.4711,7.2419
430,0.3316,10.1026,7.36,23.35,2.2713,0.1169,2.1742,3.2828,4.946,3.643,736.0881,3.9275,8.45,0.4582,2.8896,1.5796,19.1907
431,0.7014,10.277,9.25,19.04,2.7285,0.2045,2.4436,6.8251,6.5184,3.0727,712.387,4.6972,280,0.3316,83.8355,54.8787,13.4312
432,1.0495,10.0758,11.54,18.3,3.8137,0.2808,3.4294,10.4157,7.7788,2.8292,742.7082,6.5615,9.5,0.3502,3.3719,1.7876,14.0796
433,0.9454,9.9255,6.12,19.33,5.9458,0.2773,1.9408,9.5249,4.2873,3.0777,725.2512,10.1801,6.5699,0.2508,2.4693,1.2283,10.923
434,1.0628,9.8439,6.11,22.17,4.8692,0.2852,1.7,10.7967,4.4027,3.5171,728.7132,8.305,9.02,0.1652,2.9018,1.6825,7.9513
435,1.0358,10.0491,5.09,23.04,2.6777,0.2791,1.5147,10.3075,3.5681,3.6225,734.4347,4.6137,6.89,0.3821,2.5136,1.2951,16.6149
436,0.5489,9.4565,9.04,25.81,2.6635,0.16,2.9751,5.8047,6.6677,4.1741,718.692,4.583,7.11,0.2709,2.3928,1.34,11.3021
437,0.904,9.542,7.71,26.23,4.4547,0.2504,2.1505,9.4736,5.5148,4.1457,736.7406,7.5127,6.88,0.2227,2.4837,1.2816,10.4728
438,0.7642,9.288,9.86,23.44,2.4545,0.2273,2.9057,8.2279,7.3423,3.6955,739.5462,4.1916,137.85,0.6967,51.2299,37.7277,27.1393
439,0.3943,10.4521,6.95,22.4,2.9894,0.1194,1.8413,3.7728,5.2818,3.5039,748.5121,5.1035,287.19,0.5534,64.8263,74.662,21.9288
440,0.4114,10.4982,6.29,22.65,2.9685,0.1236,2.3015,3.9191,4.7113,3.5369,747.2044,5.0397,454.56,0.7211,170.0204,80.5172,34.5557
441,0.9093,9.2908,6.17,21.56,2.1427,0.2691,1.7958,9.7875,4.3011,3.4133,731.3372,3.7197,9.11,0.3075,3.1309,1.7118,13.705
442,0.5666,9.9916,7.88,13.63,3.5446,0.1758,2.6896,5.6705,5.58,2.2118,711.0016,5.9978,7.59,0.2296,2.5651,1.4133,15.757
443,0.2848,9.859,10.94,20.17,3.763,0.091,3.7011,2.8888,8.0709,3.1454,747.2317,6.3493,125.66,0.6456,60.9374,37.4436,24.5741
444,0.3958,10.1277,4.03,21.63,3.931,0.1208,1.5056,3.9086,2.8325,3.4072,736.5464,6.7555,10.19,0.1742,3.5751,1.9176,7.5069
445,0.9616,9.9845,4.63,22.62,3.227,0.2864,1.5437,9.6309,3.5263,3.5164,755.9185,5.6271,9.41,0.3022,3.3051,1.7551,15.9553
446,0.4063,10.4275,7.2,18.49,2.1072,0.1201,2.7656,3.8964,5.6395,2.9409,742.5695,3.5583,7.76,0.3774,2.4528,1.4656,15.6642
447,0.5129,10.0688,12.04,22.01,2.5676,0.1513,3.1241,5.0943,8.5935,3.4382,743.8126,4.3127,10.4,0.2327,3.4848,1.9615,10.1625
448,0.8118,9.778,9.75,18.34,2.6655,0.2159,3.4266,8.302,7.5815,2.921,742.6692,4.6364,8.73,0.227,2.9771,1.6322,10.3402
449,0.7159,10.532,11.72,17.71,5.0419,0.2054,3.7993,6.7978,8.3566,2.8536,714.8273,8.7281,8.33,0.3351,2.7261,1.5528,22.631
450,0.3381,10.1079,11.33,21.81,2.7155,0.116,3.537,3.3453,8.9788,3.4795,742.7219,4.6602,9.96,0.3503,3.4423,1.8772,14.1572
451,0.4551,9.5075,7.92,24.53,1.835,0.122,2.6425,4.7866,5.5931,3.8421,741.8324,3.2022,10.4301,0.3025,3.4041,1.9568,14.5051
452,0.2435,9.4069,11.07,20.11,3.3584,0.0855,2.8252,2.5886,7.9349,3.1878,733.1962,5.6383,10.4301,0.3025,3.4041,1.9568,14.5051
453,0.3706,9.2677,6.83,20.56,3.3492,0.122,2.1423,3.9985,4.7524,3.2352,735.9456,5.6531,10.4301,0.3025,3.4041,1.9568,14.5051
454,1.1587,10.0467,5.15,11.05,1.9135,0.3113,1.7031,11.5328,3.6343,1.7009,746.7126,3.2633,7.14,0.1887,2.5516,1.3412,9.6225
455,0.4688,9.8138,6.87,9.47,2.0987,0.143,1.8294,4.7767,4.8254,1.4514,750.1098,3.5852,7.19,0.2556,2.2021,1.3435,12.1875
456,0.4447,9.9318,3.91,13.1,3.5694,0.1383,1.2469,4.4776,2.8164,2.0355,741.2695,6.1555,7.18,0.1639,2.6016,1.3483,8.4114
457,0.3003,10.4634,8.93,25.52,15.5844,0.083,2.9714,2.8696,6.3443,4.0013,739.2924,27.6461,9.17,0.2759,2.996,1.7161,13.4998
458,0.6134,9.7259,14.11,24.44,3.32,0.176,4.0662,6.3072,9.7662,3.8103,741.4598,5.6743,9.16,0.3915,3.1515,1.7176,16.5814
459,0.9152,10.1349,10.7,18.77,3.2089,0.2465,3.3213,9.0303,7.8454,2.9281,746.5214,5.4265,8.95,0.3061,3.2663,1.684,12.8679
460,0.8448,9.2549,8.9,17.56,3.1319,0.2442,3.0577,9.1278,6.4327,2.8377,717.1312,5.4855,7.99,0.4764,2.8107,1.4934,19.2371
461,0.3521,10.251,4.44,22.33,3.3127,0.1015,1.5705,3.4353,3.0997,3.583,720.4484,5.8273,6.45,0.2708,2.1987,1.2064,16.5701
462,0.7764,9.7727,4.85,21.38,1.9426,0.2093,1.4472,7.9444,3.6609,3.3048,758.3295,3.3208,10.15,0.3351,3.3373,1.9217,16.2126
463,0.6129,10.2384,8.84,13.49,1.8929,0.1741,3.4492,5.9859,6.3671,2.1659,720.952,3.2241,10.37,0.2855,3.5425,1.9445,12.6092
464,0.313,10.2079,6.71,22.82,2.1877,0.0973,2.2605,3.0664,4.7132,3.5951,736.4035,3.6737,8.1,0.2015,2.7255,1.5158,8.5096
465,0.8348,9.538,7.2,18.88,3.8667,0.2532,2.1517,8.7526,5.1216,3.0005,726.9874,6.6056,9.02,0.2129,3.2322,1.6873,9.0532
466,1.1107,9.8881,6.69,17.03,2.3711,0.2972,1.94,11.2328,4.6113,2.726,717.9318,4.1001,234.78,0.6288,53.3553,43.6081,27.5549
467,0.6743,9.9073,10.24,19.76,3.0673,0.191,3.1769,6.8062,7.2189,3.1012,739.1271,5.45,7.9901,0.1517,2.8686,1.4997,7.7724
468,0.3432,9.852,7.61,11.38,1.8846,0.1135,2.0437,3.4835,5.473,1.7966,731.2435,3.2251,8.39,0.3697,2.7962,1.5849,18.6404
469,0.7914,10.7136,6.46,21.22,2.0792,0.223,2.2739,7.3867,4.5184,3.3425,734.2988,3.5402,5.32,0.1315,1.8645,0.9874,7.3798
470,0.695,9.8767,7.47,26.67,3.1682,0.1986,2.3592,7.037,5.2538,4.1664,742.4191,5.5395,11.11,0.1383,3.9453,2.0907,6.5821
471,0.4084,10.0046,6.96,20.67,1.8845,0.1277,2.2476,4.0825,4.7777,3.3493,707.851,3.3698,7.68,0.317,2.5429,1.4313,20.4894
472,1.0999,9.9017,8.31,23.24,2.4454,0.2935,2.8928,11.1077,6.0575,3.6749,739.1848,4.2402,7.3,0.2424,2.582,1.3668,11.5667
473,0.4311,10.0153,11,21.74,2.2045,0.1344,3.0961,4.3045,7.784,3.4085,739.7508,3.7611,8.46,0.2936,2.9117,1.587,11.9922
474,0.8817,10.0885,4.09,20.53,2.3135,0.2369,1.3899,8.7395,3.1625,3.1838,761.1023,3.978,5.55,0.1796,1.819,1.0448,8.7807
475,0.3669,10.1556,11.35,22.05,2.0635,0.1079,3.4833,3.6124,8.3309,3.5013,733.6077,3.5288,5.41,0.2516,1.8131,1.0036,12.5296
476,0.4669,10.3881,8.17,19.4,2.8427,0.1728,2.4471,4.4948,5.8037,3.1231,715.4136,4.8349,7.57,0.5457,2.7239,1.4177,24.3991
477,0.439,9.9923,10.9,24.4,1.924,0.134,3.6646,4.3935,7.9743,3.7929,751.9074,3.436,9.23,0.4078,3.2464,1.7303,17.944
478,0.6715,8.4191,4.6,9.59,1.94,0.242,1.2733,7.9762,3.2014,1.54,718.9673,3.3583,7.18,0.1639,2.6016,1.3483,8.4114
479,0.2132,9.8446,4.52,24.13,3.242,0.0722,1.3022,2.166,3.0785,3.7871,734.4658,5.8047,9.37,0.3066,3.4013,1.7503,14.6788
480,0.7334,10.5397,7.01,22.33,3.5568,0.2118,2.2212,6.9587,5.287,3.4872,749.1055,6.0027,9.75,0.4187,3.3423,1.828,17.6233
481,0.5877,10.77,8.91,13.64,2.8201,0.1712,2.2886,5.4565,6.1553,2.1871,716.0284,4.77,7.69,0.2934,2.595,1.447,12.4442
482,1.1505,9.4631,5.7,20.16,2.7152,0.3083,1.885,12.1576,3.9724,3.2332,716.7356,4.5993,10.17,0.4995,3.6555,1.9163,19.7595
483,0.9731,9.5747,5.85,19.27,2.684,0.2935,1.8255,10.163,4.1845,3.135,710.4946,4.6823,7.8,0.4831,2.719,1.4603,19.3415
484,0.6595,10.7242,5.32,19.41,2.9246,0.1886,1.7046,6.1497,3.8706,3.0824,733.9512,5.1981,7.93,0.1733,2.7238,1.4752,9.7715
485,0.3596,10.5826,4.21,20.34,2.2366,0.1083,1.4734,3.3984,2.9831,3.2033,735.8546,3.8063,5.41,0.2516,1.8131,1.0036,12.5296
486,0.4304,9.6075,6.36,24.18,2.5814,0.1273,2.1216,4.4795,4.4032,3.8215,730.3696,4.4259,8.4,0.3064,2.8915,1.5684,14.6131
487,1.769,8.1845,12.29,19.98,2.6523,0.528,3.4496,21.6137,8.6403,3.1379,737.3184,4.4996,7.19,0.2556,2.2021,1.3435,12.1875
488,0.3914,10.2926,7.47,21.12,2.1781,0.113,2.4346,3.8024,5.1782,3.2983,739.4909,3.7036,6.71,0.3428,2.4428,1.2537,15.4641
489,0.3922,10.0541,8.33,22.39,2.9576,0.1201,2.4303,3.9013,6.1984,3.4823,750.8916,5.1246,9.14,0.314,3.1437,1.7123,13.5534
490,0.4805,10.6099,9.31,23.79,2.1159,0.1392,2.69,4.5288,6.6283,3.7195,743.5159,3.5461,6.55,0.3665,2.252,1.2227,16.3481
491,0.5905,9.9689,8.88,21.71,2.9572,0.1703,3.4231,5.9238,6.6487,3.5045,721.7287,5.1265,8.65,0.1435,3.1242,1.614,7.508
492,0.8679,10.0466,6.25,12.34,3.3558,0.2329,1.906,8.6391,4.4883,1.9835,722.4101,5.7379,9.43,0.2236,3.2845,1.7688,10.3164
493,0.5002,10.7541,4.91,28.76,3.1132,0.1446,1.346,4.6511,3.4811,4.4998,742.265,5.2575,7.27,0.1347,2.598,1.356,7.3227
494,0.592,9.9788,9.24,22.03,2.6836,0.1825,3.5934,5.9326,6.6189,3.4468,746.5588,4.6227,7.64,0.2605,2.6151,1.434,10.8753
495,0.7404,10.3503,14.78,26.84,3.23,0.2134,3.9978,7.1533,11.3419,4.3247,726.0147,5.4859,8.18,0.389,2.8777,1.5304,16.256
496,0.4689,10.7654,8.83,21.82,2.0688,0.1356,3.1759,4.3559,6.4083,3.4609,732.0241,3.5334,7.74,0.327,2.8605,1.4458,15.6692
497,0.8672,10.3951,9.06,23.63,1.9166,0.2531,3.1264,8.3425,6.8078,3.7288,743.4575,3.256,127.51,0.6676,64.0858,38.8198,24.8325
498,0.935,10.0947,3.55,20.24,2.0056,0.2527,1.1065,9.2619,2.3644,3.115,753.6276,3.4512,8.82,0.4281,3.0053,1.665,21.2626
499,0.5252,10.6895,7.63,14.06,2.1807,0.1522,2.3,4.9135,5.2304,2.244,720.4526,3.7857,10.37,0.2324,3.535,1.9477,9.856
500,0.4729,9.453,7.1,18.81,3.0294,0.147,2.1902,5.0026,4.9739,2.9351,749.3116,5.2285,8.39,0.3697,2.7962,1.5849,18.6404
501,1.1073,9.4808,7.08,16.68,2.0013,0.2963,2.2299,11.6792,5.1201,2.6585,729.2869,3.3906,8.08,0.2548,2.8935,1.5141,11.3379
502,0.3293,10.5452,9.99,25.66,2.5707,0.0971,3.1238,3.1225,7.1138,4.0227,740.3739,4.4038,9.82,0.3374,3.4983,1.848,15.4378
503,0.4761,9.9673,9.11,25.61,1.8662,0.139,2.9794,4.7763,6.697,4.0343,740.3028,3.2506,7.05,0.2706,2.5286,1.3133,12.141
504,0.924,9.7435,10.12,24.69,3.1386,0.2473,2.7633,9.4831,6.9968,3.8681,738.2344,5.5407,7.19,0.2556,2.2021,1.3435,12.1875
505,0.8078,9.7049,12.53,12.02,3.092,0.2415,3.3506,8.3238,8.5336,1.9214,718.9254,5.2774,8.24,0.2728,2.9214,1.548,13.3898
506,0.5996,10.2754,4.45,15.16,3.2044,0.1627,1.5853,5.8358,3.0531,2.4323,713.6885,5.5786,7.21,0.2176,2.374,1.3446,10.0838
507,0.4909,9.4663,3.23,23.75,2.8664,0.1556,1.1252,5.1863,2.3508,3.7105,747.3419,4.9448,6.81,0.5466,2.4323,1.2686,23.6473
508,0.4309,10.832,7.85,25.56,2.5332,0.1281,2.4408,3.9779,5.7251,4.0662,732.486,4.4883,7.09,0.1496,2.454,1.3158,6.5829
509,0.9315,9.7917,7.2,13.57,3.6124,0.2497,2.1536,9.5132,5.1527,2.1803,722.4444,6.2907,9.43,0.2236,3.2845,1.7688,10.3164
510,0.3587,10.5389,21.85,15.11,2.9193,0.1067,6.251,3.404,15.2096,2.412,718.7985,5.1972,426.69,1.1093,134.9539,83.1669,60.4003
511,0.6332,10.7989,7.312971695,17.93812456,3.6073,0.1844,2.252170711,5.8639,5.26487059,2.838441515,733.4385154,6.1678,9.11,0.2586,3.2019,1.7075,12.5749
512,0.872,10.3544,5.32,24.88,2.3569,0.2345,1.8491,8.4214,3.7657,3.8752,744.8642,4.0286,10.18,0.188,3.5736,1.9039,7.8488
513,0.3288,10.3867,11.75,21.54,2.6951,0.0965,3.2645,3.166,8.5086,3.3561,749.0273,4.6332,8.58,0.3274,3.0626,1.6022,16.3329
514,0.6363,10.1611,6.84,20.43,2.8328,0.1793,2.2357,6.2625,4.9767,3.2401,733.8885,4.9629,7.74,0.327,2.8605,1.4458,15.6692
515,0.8914,9.8812,6.39,25.18,2.4348,0.2399,1.905,9.021,4.4239,3.9731,731.2592,4.0689,10.4301,0.3025,3.4041,1.9568,14.5051
516,0.5164,9.7843,9.32,24.32,2.6382,0.1588,2.4849,5.2783,6.764,3.7981,747.3086,4.5123,8.74,0.2103,2.9644,1.6371,10.5253
517,0.4243,10.7928,6.75,19.57,3.079,0.1253,1.9625,3.9311,4.8357,3.0939,733.5246,5.2218,7.09,0.1496,2.454,1.3158,6.5829
518,0.3947,10.708,5.74,22.8,2.3441,0.1154,2.0262,3.6861,3.9959,3.57,739.2181,4.1367,9.14,0.1252,3.1241,1.7019,6.244
519,0.7497,10.7402,6.13,17.16,2.331,0.2114,1.6744,6.9803,4.2394,2.7843,708.1765,3.9834,8.88,0.3358,2.8346,1.6607,13.6247
520,0.4724,10.7671,9.27,19.11,3.1358,0.1369,2.3539,4.387,6.4269,3.0616,718.0677,5.2825,10.3,0.2068,3.6885,1.927,13.7536
521,1.1824,9.993,8.08,24.84,2.1698,0.3614,2.3529,11.8327,5.6405,3.8666,745.8256,3.7028,5.41,0.2516,1.8131,1.0036,12.5296
522,1.0522,10.3256,11.82,19.82,2.0116,0.2818,3.8727,10.1898,8.3525,3.1167,736.8254,3.4351,7.19,0.2556,2.2021,1.3435,12.1875
523,0.3921,10.4771,6.05,11.98,2.9742,0.1129,1.6906,3.7425,4.1857,1.9184,720.2874,5.0751,9.21,0.2491,3.3191,1.7333,11.9961
524,0.5017,10.7747,8.67,21.08,3.1379,0.1443,2.9255,4.6565,6.3575,3.3111,743.1414,5.3626,445.32,1.1669,129.3101,77.9946,55.411
525,0.8834,9.8333,7.48,24.14,3.469,0.2361,2.2036,8.9842,5.2847,3.7898,738.2106,5.9027,9.17,0.2759,2.996,1.7161,13.4998
526,0.4277,10.6564,5.82,17.76,2.3482,0.1252,1.6001,4.0132,4.4826,2.8038,742.8336,4.0499,8.05,0.3213,2.8487,1.5148,15.9361
527,0.7819,9.9029,2.82,11.04,1.8041,0.211,0.9138,7.8961,1.9644,1.7702,719.9956,3.0987,7.84,0.258,2.5328,1.4707,12.8264
528,0.2998,10.5586,4.64,12.73,1.9836,0.0907,1.6266,2.8396,3.3051,2.0564,717.1955,3.47,8.2,0.229,2.8334,1.537,11.7118
529,0.3991,9.9475,4.69,24.93,2.3912,0.1294,1.482,4.0123,3.2527,3.9311,733.9389,4.0219,6.93,0.399,2.2109,1.2962,19.6191
530,0.2741,10.3272,11.15,17.64,1.715,0.0846,3.2176,2.6543,7.918,2.7826,734.2707,2.9382,8.28,0.2158,2.8321,1.5528,9.5549
531,0.2823,10.5044,5.75,20.11,1.9568,0.0863,1.6638,2.6878,3.9949,3.1764,730.6197,3.2743,7.99,0.2536,2.9131,1.5021,11.2721
532,0.8803,10.121,8.16,21.34,3.9506,0.2367,2.7227,8.6974,5.7478,3.3534,738.5474,6.8932,5.17,0.1427,1.7648,0.962,6.6571
533,0.3276,9.4989,7.48,22.84,1.785,0.1137,1.9217,3.4492,5.5474,3.578,747.4086,3.0884,9.85,0.4535,3.4587,1.8554,19.5919
534,0.8477,10.1357,9.5,20.42,1.8307,0.2279,2.514,8.3635,6.6489,3.2112,735.7722,3.1491,6.37,0.2423,2.0838,1.1888,10.8826
535,0.3778,10.1271,5.19,23.15,1.9069,0.1411,1.7425,3.7306,3.6496,3.6516,734.9422,3.2834,8.15,0.3154,2.8597,1.5231,14.4164
536,0.4636,9.9107,6.49,12.97,2.5585,0.1415,1.7251,4.6775,4.5036,2.075,721.8424,4.3123,7.24,0.2395,2.4668,1.353,12.2576
537,0.3905,10.5609,9.93,23.3,2.354,0.1129,3.1016,3.698,7.1296,3.6457,741.8922,4.0911,451.69,0.8108,138.3722,76.9601,37.5154
538,0.4535,10.1332,5.35,20.95,2.8977,0.1287,1.6299,4.4754,3.8677,3.3421,729.3797,4.9067,8.42,0.4246,3.1736,1.5797,17.7272
539,924.378,102.8677,11.29,22.25,2.8385,292.2274,3.328,898.6085,8.5297,3.5263,737.5687,4.7861,8.09,0.4433,2.9186,1.5169,21.8124
540,0.275,9.8532,8.55,20.85,3.1192,0.0984,2.6844,2.7908,5.928,3.2575,741.1233,5.3462,10.56,0.3699,3.7221,1.9803,16.3015
541,0.6597,10.7758,9.52,25.43,2.2874,0.1915,2.9032,6.1217,6.9208,4.0331,733.9755,3.8237,8.4,0.1958,3.0002,1.5768,10.3628
542,0.312,10.5185,5.81,19.39,2.09,0.0942,2.0045,2.9659,4.2992,3.0606,743.6734,3.5596,9.13,0.2724,3.2479,1.7138,11.6508
543,0.4943,10.1975,4.47,16.46,1.7915,0.1455,1.4256,4.8471,3.0599,2.6567,710.7553,3.0594,426.85,1.0685,134.1202,83.2942,70.2474
544,0.4896,10.6887,4.7,15.4,3.8859,0.1412,1.5966,4.5804,3.1635,2.4,743.7398,6.6008,8.87,0.2525,2.883,1.6657,12.2428
545,0.807,9.7257,8.86,21.19,3.7947,0.2377,2.702,8.2976,6.104,3.329,735.1128,6.4432,7.48,0.2969,2.5692,1.3917,13.9238
546,0.4706,9.6056,7.89,24.75,3.333,0.1335,2.6019,4.899,5.7003,3.9282,733.0152,5.7048,6.36,0.2646,2.3244,1.1886,12.6428
547,0.9159,9.7107,6.26,18.42,2.0524,0.2726,1.5441,9.4317,4.8091,2.8678,754.132,3.4266,5.6201,0.2812,1.9278,1.0529,14.2593
548,0.4541,10.6137,4.7,20.25,2.4326,0.1289,1.433,4.2781,3.4394,3.1448,750.0185,4.1895,9.93,0.2932,3.3856,1.8698,14.1723
549,0.2972,9.8139,10.03,23.53,2.2199,0.0928,2.737,3.0283,7.2641,3.7396,730.478,3.7897,10.66,0.3671,3.649,2.0132,17.9606
550,0.3872,10.5934,6,19,1.9674,0.115,2.233,3.6552,4.4524,3.0596,726.5601,3.4543,9.14,0.3106,3.2821,1.7112,13.4839
551,0.4508,9.629,9.99,24.1,1.8825,0.131,2.6384,4.6822,7.1628,3.8084,735.8355,3.2413,9.43,0.2236,3.2845,1.7688,10.3164
552,0.2577,9.8077,4.09,20.8,1.6562,0.0924,1.1161,2.6276,2.97,3.27,734.215,2.8943,6.66,0.2881,2.4182,1.2477,14.1331
553,0.2945,9.8026,7.01,23.14,3.3249,0.0988,2.2935,3.0046,5.0332,3.6736,731.9724,5.6866,10.21,0.3167,3.4322,1.9135,14.7511
