,F152,F153,F159,F16,F185,F187,F198,F200,F201,F21,F252,F26,F273,F287,F319,F32,F321,F33,F334,F337,F34,F35,F39,F4,F407,F411,F413,F425,F426,F457,F459,F46,F470,F471,F474,F476,F524,F572,F573,F574,F576,F577
226,0.931,0.0049,311,10.3261,6.42,19.38,0.275,16.19,5.31,-6401.75,3.8117,1.896,22.953,0.2712,9.5968,85.0841,2.0535,8.6406,0.0947,1.4828,50.0757,63.7959,118.563,0.7865,1.1,2.7803,10.785,9.0162,0.499,4.4484,3.0721,724.0532,2.5872,6.2814,28.9363,18.7597,6.374,9.1,0.2041,3.25,1.7167,7.9639
227,0.9475,0.0046,738,10.3431,10.63,11.64,0.815,20.72,9.13,-5076.25,3.207,1.984,22.953,0.2755,5.3155,85.9034,3.0696,9.2171,0.2255,2.9824,50.4176,64.0491,117.3928,0.7865,1.1,2.7803,10.785,9.1604,0.4656,8.2152,1.8119,759.1936,7.9619,4.6363,30.6825,19.5795,5.495,6.14,0.3933,1.9025,1.1597,15.6949
228,0.915,0.0163,578,9.9873,6.71,18.48,0.305,21.94,4.75,-5518,2.2808,2.0115,14.1672,0.2662,9.1161,86.106,1.8033,8.7879,0.0781,1.4427,49.9276,63.9266,117.7078,1.5552,0.7521,2.1064,24.8743,9.1616,1.6916,5.1931,2.9383,744.4897,2.8805,7.9274,11.3953,40.5024,3.9637,9.11,0.3237,3.0365,1.7225,14.4103
229,0.8858,0.0166,484,10.1897,6.95,17.1,0.899,10.09,7.6,-6308.5,4.137,1.893,18.8948,0.2397,9.4958,86.4478,1.9937,8.8287,0.3523,2.1546,50.254,63.9006,117.974,1.629,0.7521,2.7585,26.6905,8.6933,1.7144,5.3082,2.6991,745.0116,9.0955,10.4706,55.4168,27.7069,7.1387,7.79,0.4943,2.8158,1.4652,21.885
230,1.6368,0.0163,1994,10.005,10.62,17.26,0.256,20.3,6.98,-6153.5,2.1745,2.0038,18.8948,0.4897,9.6832,85.597,2.8061,8.5155,0.0886,1.8921,50.0426,64.004,117.9506,1.629,1.1,2.7585,26.6905,16.3595,1.6824,7.5875,2.7403,730.9825,2.4676,8.7458,18.5387,30.4911,3.6433,9.77,0.2093,3.6041,1.8237,12.2194
231,0.966,0.0044,958,10.3643,7.02,7.74,0.611,13.27,7.26,-5511.75,2.4242,1.9835,18.3432,0.2832,4.5966,86.3416,1.7857,9.219,0.2056,2.2152,50.5347,64.0969,117.4196,1.3772,1.1,2.1951,12.9901,9.3205,0.451,4.953,1.1979,747.4044,5.9576,6.6776,36.9142,7.5369,4.1501,6.89,0.5791,2.3555,1.3023,23.3076
232,0.491,0.0195,592,9.5037,6.64,24.55,0.288,20.55,11.03,-6417.25,2.2988,1.894,18.471,0.1607,9.3517,84.7297,2.1902,8.5177,0.0856,3.3689,50.4695,64.1615,118.2112,1.5138,0.7521,2.3584,36.5967,5.1666,2.0226,5.1014,3.8814,745.1489,2.7788,8.8738,31.3075,21.5559,3.9876,7.77,0.1599,2.6848,1.4512,10.2845
233,0.9891,0.0184,455,9.9361,9.28,24.19,0.306,24.46,9.71,-6483.25,2.8546,1.8878,18.5474,0.3049,9.2051,84.7297,2.7463,8.5177,0.0811,2.7426,50.4695,64.1615,118.2112,1.0208,0.7521,2.3298,67.5472,9.9543,1.9028,6.6394,3.8555,727.7956,2.8412,9.5868,35.3691,23.5374,5.1163,6.68,0.1023,2.3302,1.2492,6.3989
234,1.4658,0.0053,497,10.0345,5.65,18.13,0.447,23.89,4.2,-6480.25,3.686,1.8758,18.4995,0.4344,9.7091,85.9034,1.6031,9.2171,0.1297,1.3268,50.4176,64.0491,117.3928,1.3101,1.3342,2.1311,14.8011,14.6081,0.5357,4.0406,2.9022,723.0295,4.3388,8.4643,21.9751,26.6228,6.2323,8.07,0.1564,2.3093,1.525,7.362
235,0.883,0.0065,1197,10.1341,4.87,16.46,0.776,18.75,10.39,-5426.25,2.3528,2.004,22.953,0.2661,6.1837,85.9034,1.4886,9.2171,0.2095,3.0308,50.4176,64.0491,117.3928,0.7865,1.3342,2.7803,10.785,8.7132,0.6629,3.7021,2.5448,761.8176,7.5323,5.1924,41.1767,9.7649,4.0794,5.03,0.2034,1.7479,0.9477,9.2608
236,0.414,0.0194,320,10.3911,3.97,19.45,0.519,20.94,14.45,-5505.5,2.8429,1.9985,20.8219,0.1224,9.4088,84.9715,1.2177,8.6013,0.129,3.9506,50.3243,64.0262,118.2548,1.5739,1.2963,2.9058,9.7087,3.9838,2.0087,2.8411,3.0825,731.2024,4.784,14.6485,35.3139,9.1251,4.8491,6.27,0.2085,2.2679,1.1652,9.5646
237,0.6673,0.0206,814,10.4202,10.02,14.31,0.764,21.25,4.86,-5584.5,2.4249,1.9885,18.8948,0.1968,8.9992,84.9715,3.0962,8.6013,0.2324,1.3015,50.3243,64.0262,118.2548,1.629,1.3983,2.7585,26.6905,6.4037,2.1505,6.9797,2.2603,729.381,7.3667,6.079,19.2672,51.7772,4.0958,9.32,0.2223,3.2399,1.7429,14.9904
238,0.2873,0.0254,507,9.1874,6.35,19.98,0.408,22.33,11.34,-6375,2.2538,1.893,20.8219,0.0987,8.8834,84.9715,2.3199,8.6013,0.1096,3.3168,50.3243,64.0262,118.2548,1.5739,1.0632,2.9058,9.7087,3.1275,2.6585,4.5094,3.1598,731.0404,3.7515,11.038,35.4246,12.3034,3.7796,5.84,0.3228,2.1568,1.0889,14.037
239,0.429,0.0179,1084,10.7158,9.77,21.68,0.292,19.07,5.73,-5465,4.9013,2.033,18.1602,0.1285,9.2844,85.9034,2.7021,9.2171,0.093,1.7288,50.4176,64.0491,117.3928,1.3257,1.3366,2.2073,14.8775,4.0033,1.8486,7.337,3.4994,721.107,2.8122,7.6438,31.8046,11.6596,8.359,6.34,0.3004,2.1203,1.1991,12.3428
240,0.9305,0.0036,3042,10.297,9.62,21.78,0.305,15.94,6.39,-4970.75,3.2323,1.9963,19.6394,0.2792,9.8181,84.1154,2.6669,9.2281,0.0953,1.9109,50.273,64.081,118.1176,0.9366,2.0668,3.0487,31.4154,9.037,0.3697,7.1851,3.5147,724.2693,2.9525,7.8469,29.2593,18.8937,5.6124,8.65,0.1435,3.1242,1.614,7.508
241,1.3051,0.0192,1022,10.1733,8.25,21.54,0.624,23.37,8.88,-5181.5,2.5557,2.0023,18.8948,0.3559,10.221,84.9715,2.4198,8.6013,0.1617,3.2601,50.3243,64.0262,118.2548,1.629,1.1,2.7585,26.6905,12.8291,1.9899,6.1165,3.4388,730.1885,5.7962,11.171,37.2077,16.1603,4.2644,7.65,0.2636,2.4762,1.4278,11.9444
242,0.7172,0.018,310,10.3713,5.59,21.65,0.322,16.78,4.15,-6351.5,2.1821,1.8893,18.8848,0.2163,9.3991,84.9715,1.5481,8.6013,0.1003,1.2584,50.3243,64.0262,118.2548,1.3711,1.3983,2.1869,8.0582,6.9151,1.867,4.1596,3.421,740.613,3.0852,6.7985,15.6023,15.3663,3.6595,8.07,0.2545,2.6667,1.511,17.7352
243,0.4207,0.0183,1395,10.3906,10.27,17.1,0.403,19.51,6.43,-5230.25,2.6639,1.988,18.471,0.1257,9.3697,86.4478,2.9828,8.8287,0.1146,1.7986,50.254,63.9006,117.974,1.5138,0.7521,2.3584,36.5967,4.0488,1.9104,7.5802,2.7155,735.2533,3.7665,6.7696,34.2659,14.0681,4.5122,10.53,0.1619,3.8958,1.9785,10.7299
244,0.2996,0.0228,504,9.6259,5.8,18.11,0.35,25.46,4.44,-6393.25,4.7025,1.8902,17.0619,0.0954,9.5984,85.4451,1.7789,8.5788,0.1073,1.3675,50.2484,63.9261,118.3794,0.6815,0.7521,2.1615,18.76,3.1123,2.3927,4.091,2.8982,722.4329,3.3014,7.1946,15.1522,19.1863,7.8877,8.16,0.1799,2.8813,1.5305,10.4454
245,0.2925,0.0153,922,9.6167,11.18,20.37,0.427,22.45,7.94,-5367.75,2.8511,1.9832,18.4995,0.0993,10.129,85.5361,3.2763,8.536,0.1091,1.936,50.3421,63.9167,118.4394,1.3101,1.3342,2.1311,14.8011,3.0411,1.5816,7.6531,3.2178,725.4843,4.0566,5.8884,36.963,26.6885,4.8749,10.24,0.1243,3.5111,1.9228,5.7281
246,0.4392,0.0227,750,10.2655,10.92,8.01,0.59,17.46,7.06,-6356,2.9754,1.8805,18.4995,0.129,5.7179,85.3625,3.2181,8.5952,0.1582,1.8986,50.3491,64.0145,118.227,1.3101,1.2059,2.1311,14.8011,4.2787,2.3757,8.01,1.248,745.7112,5.6474,5.7933,28.0062,15.764,5.3005,8.42,0.4071,2.7845,1.5783,17.2084
247,0.417,0.0142,507,10.6221,4.71,24.67,0.268,14.8,4.69,-5175.5,4.8269,1.9988,19.8161,0.1204,9.1907,86.4465,1.6982,8.6527,0.0691,1.4403,50.215,63.9211,118.102,1.3663,1.3366,2.4684,7.4051,3.9253,1.4633,3.37,4.0135,710.1216,2.4405,7.9831,12.3388,10.5212,8.1084,9.15,0.3949,3.4328,1.717,17.2918
248,1.3921,0.0215,1280,9.8232,8.69,15.06,0.129,17.62,4.44,-4992,3.5311,1.999,19.8161,0.4154,9.0712,87.4809,2.6427,8.6829,0.0421,1.266,59.7711,79.2786,133.3898,1.3663,1.3366,2.4684,7.4051,14.1719,2.2488,6.1028,2.4597,704.5502,1.1757,8.769,18.7329,14.4431,5.9537,177.93,0.6125,50.4615,45.4394,27.35
249,0.4452,0.0196,1827,10.2697,11.55,11,0.888,13.59,12.08,-6834.5,3.9961,1.8952,19.2121,0.1308,4.6512,83.8879,3.9842,9.1757,0.3098,3.3922,50.4244,64.3159,118.2554,1.3714,1.2059,2.3881,7.4461,4.3351,2.0394,8.2945,1.7131,745.0176,8.7604,4.8903,59.8602,21.7304,7.0707,282.47,0.6511,117.7337,70.3627,26.782
250,0.3426,0.0235,384,9.4318,8.3,19.35,0.252,20.28,11.54,-6353.75,2.2751,1.9037,17.9394,0.1038,10.0646,85.9034,2.6784,9.2171,0.0765,3.1612,50.4176,64.0491,117.3928,0.7367,1.2353,2.1618,13.0099,3.6329,2.4515,6.0893,3.1272,718.7252,2.4153,6.8865,36.853,12.0823,3.8223,7.54,0.2747,2.663,1.4186,14.8499
251,0.4513,0.0153,410,10.6404,8.04,20.86,0.232,18.04,6.31,-6425.5,4.0322,1.892,19.2121,0.1313,10.471,87.4809,2.5518,8.6829,0.0685,1.7039,59.7711,79.2786,133.3898,1.3714,1.3366,2.3881,7.4461,4.2418,1.5751,5.4892,3.2549,734.9184,2.1448,6.4506,20.2712,9.7511,6.7783,7.62,0.2654,2.4419,1.4305,11.3765
252,0.2942,0.0235,230,9.3713,6.62,18.28,0.296,14.76,4.62,-6565.5,2.689,1.8785,18.1602,0.1047,9.8302,85.0841,2.0159,8.6406,0.0984,1.6328,50.0757,63.7959,118.563,1.3257,1.2353,2.2073,14.8775,3.139,2.4481,4.7329,2.9198,726.1268,2.8349,7.2358,20.3752,15.3363,4.6253,8.77,0.2088,3.0605,1.6446,11.1645
253,1.3355,0.0162,505,9.9445,7.85,21.42,0.225,16,5.41,-5291.5,2.1237,2.0232,18.6341,0.3639,9.0699,85.1817,2.1349,8.6211,0.0665,1.5936,50.2667,63.9846,118.4106,0.9197,1.2353,2.4197,32.3291,13.4293,1.6729,5.4737,3.5265,699.8139,2.064,5.149,22.7111,16.8278,3.5603,280.79,0.8314,81.0097,77.1097,36.3183
254,1.6821,0.0148,432,9.9514,10.13,17.43,0.728,21.39,7.75,-5521.25,3.6444,2.0152,22.953,0.5069,9.7953,85.5455,3.2322,9.2655,0.2043,2.3909,50.3358,63.8677,117.4194,0.7865,1.3342,2.7803,10.785,16.9031,1.5329,7.4469,2.7824,730.1293,7.2153,9.8384,42.5281,15.0582,6.0988,8.71,0.1703,2.8026,1.6346,10.0828
255,1.4777,0.021,373,9.8004,8.61,13.08,0.975,28.95,10.73,-6346,2.9924,1.8978,18.6341,0.4426,5.4954,86.4863,2.8454,8.828,0.2757,3.1707,50.2667,63.9349,118.039,0.9197,1.3366,2.4197,32.3291,15.0775,2.19,6.0956,2.0127,754.2983,9.6639,7.4091,48.3416,36.8804,5.1399,7.49,0.2494,2.691,1.3981,11.6249
256,0.8287,0.0186,1266,9.9935,5.57,15.82,0.497,19.08,6.12,-5213.75,3.9059,2.035,18.6341,0.249,9.3999,85.597,1.7547,8.5155,0.1352,1.7786,50.0426,64.004,117.9506,0.9197,1.2353,2.4197,32.3291,8.2923,1.9286,3.875,2.5472,716.5169,4.7369,9.1172,33.3851,13.548,6.5437,9.23,0.1145,3.3318,1.7259,7.1019
257,0.3346,0.0179,313,9.4325,7.52,18.23,0.262,12.03,5.89,-6454.5,2.8317,1.8835,23.3716,0.1128,8.5952,85.482,2.6668,9.3998,0.0665,1.7255,50.4069,64.2033,118.3028,1.816,0.848,3.3069,25.8517,3.5469,1.8677,5.5333,2.9501,719.3159,2.5278,6.1538,23.9243,16.2813,4.8428,9.98,0.4337,3.6685,1.8795,17.6843
258,1.3846,0.0131,808,10.071,12.6,17.09,0.762,16.5,11.12,-5532.5,4.7311,1.9755,18.2669,0.4135,5.0614,85.5361,3.8098,8.536,0.244,3.3343,50.3421,63.9167,118.4394,1.3828,1.2059,2.1363,8.9068,13.7485,1.3414,9.4616,2.6651,750.7487,7.453,4.8512,43.7385,13.5632,8.1584,10.19,0.5441,3.3573,1.9143,23.9171
259,0.3341,0.0076,2178,9.4449,13.78,19.07,0.352,15.78,6.2,-5064,3.0006,1.996,18.1602,0.107,9.6137,85.6608,4.202,9.5713,0.1024,2.0268,50.3999,64.1016,118.0156,1.3257,0.848,2.2073,14.8775,3.5371,0.7827,10.3875,3.087,720.2424,3.4158,7.5625,27.9864,11.7581,5.113,10.03,0.1762,3.3391,1.8749,9.3484
260,0.4615,0.0073,375,10.3359,7.91,29.28,0.496,22.9,6.74,-6273.5,3.7111,1.8878,18.2669,0.1345,9.4685,85.6608,2.4559,9.5713,0.1535,2.1723,50.3999,64.1016,118.0156,1.3828,1.2059,2.1363,8.9068,4.4649,0.7485,5.7043,4.6678,726.8645,4.7156,8.0296,15.3667,12.6001,6.2378,8.92,0.3104,3.0908,1.6664,17.177
261,1.3558,0.0188,598,9.8972,8.26,26.31,0.24,14.74,5.31,-6267.75,2.9236,1.883,23.3716,0.3705,9.3726,84.3575,2.3972,8.531,0.0708,1.5608,50.4338,64.2467,117.9108,1.816,1.2353,3.3069,25.8517,13.699,1.944,5.9756,4.2476,719.8077,2.2081,7.7837,12.8517,10.8627,5.0312,5.93,0.17,2.0174,1.1019,9.911
262,0.3115,0.0146,373,9.6315,3.77,18.86,0.286,25.56,3.75,-6426.5,4.3748,1.8797,18.4995,0.0989,9.3192,84.87,1.2023,9.4832,0.0942,1.2045,50.381,64.23,118.205,1.3101,1.6095,2.1311,14.8011,3.234,1.507,2.6584,3.0288,720.3716,2.7196,7.0277,22.7306,23.7724,7.6854,11.1,0.3658,4.1178,2.0979,15.6336
263,0.7029,0.0185,273,9.987,12.29,27.06,0.285,19.38,3.63,-5284.75,3.8124,1.9868,23.3716,0.2168,9.212,92.072,4.0691,8.9416,0.0814,1.1178,59.3488,78.254,132.5378,1.816,1.2353,3.3069,25.8517,7.0377,1.9099,9.0791,4.3567,723.0823,2.7503,5.1175,22.5448,31.2571,6.3324,8.94,0.2924,3.0447,1.6835,12.1846
264,1.7696,0.015,96,10.0371,9.13,18.97,0.237,14.66,4.19,-6267.75,3.7485,1.9053,18.4995,0.53,10.1893,85.2666,2.6285,9.2433,0.0796,1.3427,50.4042,64.0385,117.422,1.3101,1.2059,2.1311,14.8011,17.6305,1.5398,6.4374,3.0207,727.191,2.2934,7.2062,24.1462,23.7884,6.2791,7.82,0.2678,2.7988,1.4856,11.3698
265,0.3201,0.0209,513,9.4302,10.73,11.66,0.302,15.56,9.31,-6452.5,2.7598,1.8895,23.3716,0.1122,5.3515,84.87,3.7921,9.4832,0.1064,2.9501,50.381,64.23,118.205,1.816,0.848,3.3069,25.8517,3.3943,2.1837,7.9416,1.832,739.7588,2.8913,6.4812,38.7142,18.0649,4.7464,8.62,0.2862,2.9736,1.6169,11.3894
266,0.296,0.0065,531,9.4152,8.4,17.06,0.637,15.22,6.76,-5423,2.8127,1.998,18.1602,0.104,5.9678,84.3232,2.38,8.5218,0.192,1.9613,50.3583,64.2803,118.102,1.3257,0.848,2.2073,14.8775,3.1433,0.666,6.329,2.6368,762.4385,6.1687,6.7791,19.1305,18.4236,4.819,6.99,0.3557,2.4631,1.3079,15.2681
267,0.903,0.0189,426,9.6162,8.98,14.52,0.246,17.82,3.62,-6198.5,4.2127,1.916,19.2121,0.2406,8.802,85.5455,2.6892,9.2655,0.0855,1.0987,50.3358,63.8677,117.4194,1.3714,1.846,2.3881,7.4461,9.3907,1.9672,6.3907,2.3361,718.4028,2.3268,7.8646,19.1289,20.631,7.1717,6.97,0.2079,2.5969,1.3122,12.0001
268,0.2888,0.0219,571,9.4102,12.88,11.91,0.397,11.79,4.1,-5711,2.2021,2.0155,23.3716,0.098,5.5373,85.3625,3.9683,8.5952,0.1223,1.4096,50.3491,64.0145,118.227,1.816,0.848,3.3069,25.8517,3.0691,2.2858,9.3953,1.8628,745.0489,3.8056,6.578,18.436,18.2185,3.6776,10.5,0.2966,3.3302,1.9756,12.5144
269,0.7588,0.0196,3548,10.0212,10.05,25.87,0.385,9.73,5.08,-5657.5,3.5587,1.886,23.3716,0.2328,9.3644,86.3239,3.1706,9.5642,0.1107,1.6887,50.3645,63.9038,117.5064,1.816,1.2353,3.3069,25.8517,7.5721,2.0383,7.3648,4.1691,720.8821,3.7205,5.5856,33.0555,24.781,5.9348,7.43,0.1953,2.6491,1.4021,9.0446
270,0.95,0.0189,891,9.6388,7.07,17.46,0.348,15.09,3.78,-6528.5,3.1377,1.8877,20.3003,0.252,9.5249,85.1712,1.8941,8.5405,0.0878,1.2686,50.2488,64.1314,118.4904,1.705,1.846,2.8119,14.2577,9.8561,1.9653,5.0188,2.7993,721.6987,3.3271,7.7537,18.0509,11.3249,5.2567,9.88,0.3116,3.4917,1.8497,18.4482
271,1.5097,0.0153,345,10.0634,14.21,16.32,0.302,17.87,7.67,-6363,2.1236,1.8893,18.6341,0.4532,10.0419,86.3239,4.6574,9.5642,0.1079,2.3942,50.3645,63.9038,117.5064,0.9197,0.848,2.4197,32.3291,15.0022,1.5739,10.5933,2.6244,726.1773,2.8367,6.4999,22.4783,8.3401,3.5512,10.32,0.169,3.1342,1.9471,9.641
272,1.0538,0.0058,292,9.6426,10.2,22,0.306,19.64,6.77,-6334.25,5.1109,1.8987,17.9394,0.2806,9.2067,85.6608,3.5008,9.5713,0.0981,2.0387,50.3999,64.1016,118.0156,0.7367,1.846,2.1618,13.0099,10.929,0.5936,7.5924,3.5669,717.1376,2.9461,11.6649,41.7428,46.3167,8.7043,8.85,0.2376,3.2846,1.6608,12.8166
273,1.0919,0.0175,524,9.6205,8.47,10.72,0.503,17.66,6.91,-6431.75,5.2912,1.8763,23.3716,0.2926,5.3233,83.9167,2.9203,9.4043,0.1547,2.1899,50.4181,64.4134,118.1592,1.816,1.846,3.3069,25.8517,11.35,1.8196,6.1217,1.676,741.5104,4.7822,6.9188,24.9371,48.6252,9.566,8.02,0.3561,2.5928,1.5093,14.7868
274,0.8123,0.0199,921,9.6936,10.1,27.14,0.59,14.11,4.85,-5410,3.8183,1.9998,18.6341,0.219,10.0918,85.6608,3.5392,9.5713,0.1617,1.3225,50.3999,64.1016,118.0156,0.9197,1.846,2.4197,32.3291,8.3799,2.073,7.5738,4.4153,714.4361,5.7151,7.2805,24.2123,40.2102,6.55,8.88,0.3556,3.1318,1.6669,14.7426
275,1.2615,0.0188,833,10.0207,10.36,7.3,10.017,199.62,25.06,-5677.5,4.0329,2.0337,18.6341,0.3774,4.9342,83.8879,2.7442,9.1757,3.4125,11.1972,50.4244,64.3159,118.2554,0.9197,0.848,2.4197,32.3291,12.5894,1.9481,7.3146,1.1277,748.8992,87.1347,125.2604,211.5006,157.1088,6.8403,274.87,1.6228,82.0528,53.5396,69.1042
276,1.4879,0.0049,1065,10.0621,6.61,23.24,0.375,22.85,8.02,-5848.5,2.9022,2.0257,23.3716,0.4382,9.5452,86.4863,2.2333,8.828,0.1018,2.3183,50.2667,63.9349,118.039,1.816,0.848,3.3069,25.8517,14.7869,0.5011,4.88,3.7048,730.4007,3.6411,10.5566,42.1613,16.5601,5.0111,10.41,0.2227,3.8819,1.9533,9.6884
277,0.962,0.007,1310,9.6715,6.54,11.88,0.878,22.45,9.83,-5392.25,3.507,2.0088,17.9394,0.2565,5.3055,85.1817,2.27,8.6211,0.2415,2.9479,50.2667,63.9846,118.4106,0.7367,1.846,2.1618,13.0099,9.9464,0.723,4.8729,1.8369,757.5096,8.6354,5.9733,27.4153,17.4445,5.9792,9.79,0.4351,3.3984,1.8407,18.3443
278,1.2277,0.0226,522,9.5853,7.31,20.2,0.138,16.4,5.26,-6350.5,4.0213,1.9058,19.2121,0.3679,10.8329,85.4451,2.1998,8.5788,0.0481,1.5955,50.2484,63.9261,118.3794,1.3714,1.3798,2.3881,7.4461,12.808,2.3585,5.0618,3.1671,734.9502,1.2743,6.884,20.5682,24.5359,6.8468,6.5,0.3882,2.2132,1.2196,18.1731
279,1.2909,0.0163,379,9.871,8.95,10,0.89,18.2,9.15,-6277.75,2.7778,1.9095,23.3716,0.3858,5.0657,85.4451,2.4289,8.5788,0.2646,2.6557,50.2484,63.9261,118.3794,1.816,1.6097,3.3069,25.8517,13.0778,1.687,6.5095,1.557,745.2515,8.6517,6.0802,33.3307,23.2068,4.7706,7.51,0.3486,2.5478,1.4116,15.1177
280,1.0513,0.0211,882,9.5534,7.24,22.22,0.382,17.7,7.7,-5421.5,4.7457,2.0107,19.0836,0.3138,9.672,85.5455,2.5624,9.2655,0.1051,2.2509,50.3358,63.8677,117.4194,0.7679,1.3798,2.4482,8.4061,11.0048,2.1957,5.4873,3.5671,726.7303,3.5591,10.9907,20.3493,5.3981,8.1316,6.96,0.1517,2.2284,1.3034,8.6327
281,1.1279,0.0073,5081,9.6391,12.34,13.62,0.241,20.15,4.13,-5316.75,3.1628,1.9845,23.3716,0.3364,8.8665,92.072,3.1965,8.9416,0.0815,1.053,59.3488,78.254,132.5378,1.816,1.3798,3.3069,25.8517,11.7011,0.7516,8.6985,2.1906,717.9285,2.3262,8.2999,18.5361,31.0719,5.403,9.81,0.2603,3.3548,1.8438,12.2762
282,1.1118,0.018,839,9.8653,5.31,16.43,0.332,15.96,4.13,-5242.25,3.7027,2.0135,18.4995,0.3318,8.8703,83.8879,1.8127,9.1757,0.0939,1.0836,50.4244,64.3159,118.2554,1.3101,1.6097,2.1311,14.8011,11.2693,1.8575,3.6679,2.6408,714.0061,3.1624,7.6164,15.9242,18.1271,6.3146,7.07,0.3547,2.5411,1.3309,14.2779
283,1.4139,0.0067,712,9.5915,9.45,15.24,0.229,17.75,6.21,-5751.5,2.246,1.9952,17.221,0.419,9.4802,84.533,2.6176,8.872,0.0823,1.7197,50.3074,64.1215,118.0124,1.3259,0.8411,2.1461,10.4371,14.7411,0.6843,6.5529,2.4451,717.4818,2.1824,7.7102,29.5798,11.4557,3.779,7.83,0.1777,2.7747,1.4621,10.4357
284,0.9968,0.0206,178,9.4896,4.11,20.1,0.38,24.79,3.16,-6459.75,2.6251,1.9085,29.201,0.2926,9.5494,85.0841,1.2673,8.6406,0.1116,1.1073,50.0757,63.7959,118.563,1.5899,1.5939,4.294,24.0366,10.5043,2.1467,2.8006,3.1708,726.7197,3.6306,7.0134,27.9264,20.2733,4.5736,9.62,0.3258,3.3909,1.8116,13.3242
285,1.3179,0.0197,572,9.4396,9.06,21.04,0.386,18.73,4.73,-5328.25,3.4839,2.0165,17.221,0.3915,9.3081,86.3416,2.6908,9.219,0.1187,1.5726,50.5347,64.0969,117.4196,1.3259,1.5939,2.1461,10.4371,13.9615,2.0481,6.5525,3.4071,713.722,3.6119,6.894,22.5961,10.1554,5.8831,5.8,0.2288,2.0103,1.0859,11.8492
286,0.3863,0.0159,326,10.5814,6.82,9.02,0.783,17.37,7.07,-6345,3.5082,1.9065,17.221,0.1135,5.0149,85.9034,2.2453,9.2171,0.2788,2.2355,50.4176,64.0491,117.3928,1.3259,0.8411,2.1461,10.4371,3.6506,1.6454,5.0047,1.3906,758.3345,7.6548,5.5653,24.9638,13.5788,5.8658,7.56,0.3092,2.698,1.4322,13.7811
287,1.0609,0.0092,635,10.2944,9.1,16.11,0.273,17.65,4.14,-5302.75,2.8157,1.993,29.201,0.3061,9.0653,86.106,2.6272,8.7879,0.0857,1.3982,49.9276,63.9266,117.7078,1.5899,1.5939,4.294,24.0366,10.3054,0.948,6.3047,2.5901,715.0969,2.5911,6.8168,20.0985,12.1741,4.8389,8.88,0.2485,2.9245,1.665,15.0265
288,0.7616,0.0174,439,10.5663,8.23,11.73,0.186,20.6,3.46,-5413,5.422,2.0245,29.201,0.225,8.7029,84.533,2.3458,8.872,0.0616,1.0201,50.3074,64.1215,118.0124,1.5899,0.8411,4.294,24.0366,7.2079,1.7945,5.7151,1.885,715.6175,1.7587,7.0406,18.5526,16.4223,9.265,7.91,0.2073,2.7512,1.4842,9.3645
289,0.3496,0.0065,899,10.0986,2.07,20.91,0.31,22.02,2.81,-5228.25,3.1678,2.0128,24.3718,0.1085,9.8143,84.3232,0.6148,8.5218,0.0894,0.8894,50.3583,64.2803,118.102,0.8396,1.3597,3.4346,31.3378,3.4622,0.6689,1.4933,3.3507,723.0861,2.9721,6.2387,15.7615,52.8998,5.6917,11.68,0.3384,3.8123,2.2042,14.6828
290,0.9268,0.0194,456,10.0514,7.37,10.07,0.555,11.34,10.42,-6322,2.7246,1.898,17.9394,0.2756,5.0896,85.0856,2.1196,8.6324,0.1639,2.633,50.0906,64.1658,117.802,0.7367,0.8411,2.1618,13.0099,9.2202,2.0058,5.1838,1.5519,751.4525,5.4037,4.2993,38.3401,24.5866,4.6581,7.18,0.3771,2.3806,1.3412,18.1169
291,1.2337,0.018,570,9.8987,4.76,21.48,0.22,18.45,6.67,-6278.5,2.356,1.8873,18.6341,0.3663,10.4152,85.5455,1.4433,9.2655,0.0564,1.8195,50.3358,63.8677,117.4194,0.9197,1.6097,2.4197,32.3291,12.4628,1.8646,3.4472,3.3438,752.5447,2.1038,6.446,16.6801,10.1597,4.0663,6.98,0.164,2.2646,1.3077,9.1778
292,0.5641,0.0062,524,10.614,7.21,24.92,0.314,17.3,6.1,-5485.25,2.8052,1.98,29.201,0.1691,9.3399,86.4465,2.3972,8.6527,0.1041,1.9011,50.215,63.9211,118.102,1.5899,0.8411,4.294,24.0366,5.3148,0.6342,5.2497,4.0175,720.1415,3.0034,7.4855,32.3435,18.0981,4.8111,6.8,0.2055,2.3023,1.2656,9.8177
293,1.2675,0.0239,1172,9.3864,9.35,26.36,0.413,21.47,8.86,-5429,4.0598,2.018,17.221,0.3756,10.6709,83.8879,2.9758,9.1757,0.1391,2.554,50.4244,64.3159,118.2554,1.3259,0.9231,2.1461,10.4371,13.5032,2.4973,6.7738,4.1744,732.3429,3.899,8.6154,31.1119,9.7245,7.0929,9.2,0.2181,3.1703,1.7305,8.5168
294,1.1013,0.0171,238,9.8806,8.17,18.15,0.276,14.95,3.84,-5278,2.0267,2.002,19.0836,0.3281,9.2578,84.3232,2.2267,8.5218,0.073,1.1382,50.3583,64.2803,118.102,0.7679,1.6097,2.4482,8.4061,11.1459,1.7694,5.8149,2.9007,724.5407,2.6705,8.0663,41.3896,6.1709,3.4086,5.32,0.1566,1.9197,0.9929,9.2356
