,F153,F159,F198,F200,F201,F21,F26,F319,F32,F33,F334,F337,F34,F35,F39,F407,F426,F470,F474,F476,F572,F573
405,0.0091,248,0.921,16.25,7.41,-5583.25,2.001,9.6135,86.0209,9.2328,0.2748,2.3736,50.3586,63.7799,117.7358,1.5465,0.9256,9.3434,28.3784,41.9454,7.55,0.44
406,0.0145,789,0.471,23.96,10.75,-5633.25,2.008,9.2144,84.9715,8.6013,0.1515,3.4743,50.3243,64.0262,118.2548,1.6404,1.4978,4.3938,42.7445,7.2705,8.37,0.2784
407,0.0098,288,0.352,17.97,3.85,-6572.75,1.882,10.9374,84.5743,9.396,0.108,1.3714,50.3131,63.9428,117.5134,1.4396,1.0161,3.3464,17.8406,10.3101,6.88,0.2227
408,0.0057,324,0.942,18.35,8.39,-6271,1.9018,4.9397,85.1712,8.5405,0.3025,2.6131,50.2488,64.1314,118.4904,1.6678,0.5832,9.3245,41.0679,42.2854,6.21,0.2724
409,0.0052,431,0.376,22.14,7.4,-6259.5,1.896,8.2932,86.3857,8.8513,0.125,2.4632,50.1431,63.7749,118.0906,1.1348,0.5311,3.5742,33.98,18.2926,9.83,0.3354
410,0.0194,344,0.288,20.8,6.8,-6418.25,1.85,10.3183,86.106,8.7879,0.0994,2.0553,49.9276,63.9266,117.7078,1.5465,2.0182,2.7964,38.3689,18.1478,10.36,0.4019
411,0.0051,674,0.128,20.79,3.32,-5487.25,2.0015,8.7938,85.5573,8.6915,0.0456,0.999,50.465,64.1145,118.8908,1.4396,0.5238,1.1975,38.4662,7.1441,9.48,0.629
412,0.0108,298,0.273,19.04,6.39,-6282.5,1.888,9.9524,85.1712,8.5405,0.0793,1.7837,50.2488,64.1314,118.4904,1.6678,1.1136,2.58,24.4157,29.3085,11.18,0.1966
413,0.0119,821,0.209,15.22,6.51,-5595.75,1.9627,9.8113,85.5361,8.536,0.0625,1.8189,50.3421,63.9167,118.4394,1.5465,1.2252,1.9868,27.6349,19.6591,7.96,0.2694
414,0.0101,250,1.262,18.42,5.53,-5349.75,2.0025,11.6339,85.5265,8.659,0.3414,1.8445,50.4068,64.061,118.9532,1.4396,1.0352,12.2791,26.5847,48.4093,8.77,0.2098
415,0.0049,446,0.305,18.7,3.5,-5679,2.022,8.7948,85.5573,8.6915,0.095,1.2565,50.465,64.1145,118.8908,1.4396,0.5052,2.9075,45.6256,79.3758,10.82,0.2019
416,0.0141,413,0.251,15.9,5.47,-6449.25,1.8815,8.6089,86.0209,9.2328,0.0741,1.7222,50.3586,63.7799,117.7358,1.6404,1.4611,2.3922,24.8691,14.8026,7.69,0.2934
417,0.0225,953,0.428,24.67,3.97,-5469.75,1.974,9.8218,85.5983,8.5232,0.1226,1.1538,50.4559,64.0577,118.5342,1.4396,2.3473,4.0673,25.1472,39.3925,7.79,0.1621
418,0.0089,721,0.418,21.59,4.05,-5532.25,1.9812,10.0347,84.2999,8.6439,0.1234,1.3531,50.5795,64.4484,119.0822,1.4396,0.9138,3.9587,14.5663,5.5333,8.5699,0.3475
419,0.0088,271,0.982,15.4,4.99,-6554.75,1.8817,11.5645,85.8823,8.7851,0.2834,1.4964,50.1652,63.8402,118.92,1.5147,0.9007,9.7843,34.9571,53.2762,9.14,0.4976
420,0.0142,490,0.437,29.22,5.98,-6489.25,1.8862,11.3756,84.5743,9.396,0.1202,1.6174,50.3131,63.9428,117.5134,1.4396,1.4777,4.1646,30.8174,22.4824,8.58,0.197
421,0.0145,472,0.986,19.33,9.06,-5563.5,1.9992,10.8264,86.1197,9.043,0.2523,2.5246,50.36,63.8744,117.6784,1.6404,1.4959,9.7473,13.8324,26.1411,7.35,0.3948
422,0.0155,352,0.281,19.38,4.26,-6506.75,1.8887,11.0891,85.8823,8.7851,0.0844,1.2754,50.1652,63.8402,118.92,1.5147,1.6145,2.7347,35.3669,57.5692,7.84,0.181
423,0.0125,731,0.531,19.63,4.23,-5142.25,1.9792,10.7662,83.8879,9.1757,0.1339,1.09,50.4244,64.3159,118.2554,1.5147,1.2893,4.9258,16.8203,29.962,5.96,0.3922
424,0.0148,470,0.349,17.81,6.17,-5282.75,1.9572,10.0673,85.4465,9.1855,0.0968,1.8397,50.4666,63.7996,118.579,1.4396,1.5308,3.23,14.9316,14.7744,7.11,0.2709
425,0.0097,2525,0.663,26.86,5.08,-6047,2.0313,11.2091,85.2296,8.4421,0.2211,1.7799,50.2731,64.0899,118.4058,1.0391,0.9968,6.4369,27.2031,8.5245,9.36,0.2135
426,0.0111,432,0.639,10.13,6.14,-6336,1.892,11.0611,86.931,8.8384,0.1777,1.7026,50.3353,64.0776,118.7636,1.0391,1.1405,6.2226,23.3695,27.1455,59.58,0.8335
427,0.0112,2085,0.527,19.68,8.31,-5932,2.0377,11.6452,84.6614,8.7994,0.1858,2.1294,50.3964,64.1107,118.921,1.0391,1.1539,5.134,34.0058,36.306,6.04,0.3553
428,0.0114,800,0.427,19.86,6.44,-5427.75,1.986,11.0799,84.6614,8.7994,0.157,1.892,50.3964,64.1107,118.921,1.0391,1.1766,4.154,28.0864,38.9198,8.2,0.2814
429,0.0134,216,0.828,11.38,7.19,-6467.25,1.8962,11.525,85.8823,8.7851,0.1973,1.8525,50.1652,63.8402,118.92,1.5016,1.3839,8.1833,34.0384,37.7123,7.84,0.181
430,0.01,449,0.364,23.12,5.92,-6313.25,1.8935,11.7629,84.2999,8.6439,0.1199,1.7662,50.5795,64.4484,119.0822,1.0391,1.0274,3.4468,26.2992,9.8059,8.45,0.4582
431,0.0205,243,0.112,16.34,6.39,-5471.25,1.9777,9.0891,86.4465,8.6527,0.0378,1.891,50.215,63.9211,118.102,1.0391,2.1387,1.0246,18.6696,14.0055,280,0.3316
432,0.0119,853,0.463,24.79,3.63,-5493.25,1.985,10.9764,86.3849,8.7897,0.1484,1.2292,50.1812,63.8901,118.5984,1.5016,1.2304,4.3911,17.7996,16.6927,9.5,0.3502
433,0.0172,417,0.317,26.81,4.34,-6374.75,1.8958,9.4417,84.0746,9.3335,0.0921,1.53,50.4357,64.3729,118.0092,1.5016,1.7746,3.0028,27.7469,9.6957,6.5699,0.2508
434,0.017,549,0.366,20.18,7.34,-6381.5,1.8905,10.7618,86.1197,9.043,0.1137,2.0011,50.36,63.8744,117.6784,1.5016,1.7536,3.4408,44.5635,12.4853,9.02,0.1652
435,0.006,508,0.316,24.42,3.51,-5313.5,2.0235,10.4099,83.9167,9.4043,0.0973,1.1628,50.4181,64.4134,118.1592,1.5016,0.6164,2.9044,17.69,15.1983,6.89,0.3821
436,0.0192,993,0.186,19.07,9.29,-5474.25,2.0275,8.9437,86.0209,9.2328,0.0595,2.8432,50.3586,63.7799,117.7358,1.5016,1.9967,1.7062,25.903,15.3576,7.11,0.2709
437,0.0619,640,0.73,16.12,11.04,-5587.25,2.0122,11.8,85.2764,8.7219,0.198,2.868,50.1373,63.8842,118.534,1.2918,6.4771,7.1203,46.521,34.7905,6.88,0.2227
438,0.0151,258,0.975,12.19,8.29,-5421.5,1.9963,11.8497,84.2999,8.6439,0.2805,2.318,50.5795,64.4484,119.0822,1.2918,1.5732,9.5721,33.9002,47.8971,137.85,0.6967
439,0.0187,381,0.377,14.08,5.06,-6256.5,1.889,10.4232,85.1059,8.5987,0.1145,1.3336,50.5025,64.3081,119.1156,1.2918,1.9578,3.6735,21.9121,17.7634,287.19,0.5534
440,0.018,202,0.359,14.04,4.85,-6370.75,1.9007,10.543,85.2296,8.4421,0.1213,1.407,50.2731,64.0899,118.4058,1.2918,1.8707,3.4913,22.7775,30.059,454.56,0.7211
441,0.0155,485,0.388,27.32,6.18,-5311.5,1.9535,10.4452,85.1059,8.5987,0.1305,1.6383,50.5025,64.3081,119.1156,1.2918,1.6072,3.7426,22.7792,40.5725,9.11,0.3075
442,0.0134,713,0.206,11.45,5.1,-6264,1.8932,8.5549,86.8866,8.8505,0.0611,1.6102,50.4036,64.0557,118.808,1.2479,1.3776,1.8883,19.1584,25.4847,7.59,0.2296
443,0.0127,1454,0.345,14.68,10.46,-4750.75,1.992,11.0518,85.5573,8.6915,0.099,2.7133,50.465,64.1145,118.8908,0.9471,1.3155,3.3282,43.623,18.6817,125.66,0.6456
444,0.0133,1216,1.063,19.6,16.76,-5879.75,1.9888,10.8794,85.5265,8.659,0.3029,4.5975,50.4068,64.061,118.9532,1.2479,1.375,10.3728,79.365,79.8723,10.19,0.1742
445,0.0129,295,1.126,11.94,7.7,-5433.25,2.025,10.9643,85.2296,8.4421,0.4506,2.0545,50.2731,64.0899,118.4058,1.2479,1.332,11.3534,30.3533,57.3869,9.41,0.3022
446,0.023,286,1.11,11.37,6.49,-6443.5,1.882,9.4743,84.7228,9.5689,0.3627,1.9975,50.4579,64.0806,117.4208,1.2918,2.3988,11.0249,18.7045,22.8082,7.76,0.3774
447,0.0143,634,0.412,20.55,6.26,-5468.75,2.0068,11.4061,86.3849,8.7897,0.1204,1.679,50.1812,63.8901,118.5984,0.9471,1.4735,3.9681,17.5474,16.8649,10.4,0.2327
448,0.0194,909,0.555,23.83,13.33,-5410.5,1.9875,9.9818,86.4541,8.5687,0.1501,3.7717,50.2843,64.0072,118.2032,1.2479,2.02,5.2234,34.5324,13.8483,8.73,0.227
449,0.0065,742,0.341,18.9,5.82,-6375.75,1.8735,9.6326,85.5573,8.6915,0.0981,1.8927,50.465,64.1145,118.8908,1.2479,0.6628,3.167,19.2828,16.4183,8.33,0.3351
450,0.0165,384,1.107,13.26,9.11,-6421,1.8915,9.255,84.0746,9.3335,0.4516,3.2391,50.4357,64.3729,118.0092,1.0391,1.6959,11.2605,24.1289,61.3449,9.96,0.3503
451,0.0122,347,0.462,18.22,5.78,-6507.5,1.8755,11.8933,85.7103,8.5251,0.1536,1.9001,50.3808,64.2481,118.1552,1.6323,1.267,4.5312,36.2756,15.4905,10.4301,0.3025
452,0.0137,132,0.564,17.33,4.16,-6461,1.8702,10.6789,85.7103,8.5251,0.1762,1.4154,50.3808,64.2481,118.1552,1.6323,1.4277,5.4293,19.7171,8.7525,10.4301,0.3025
453,0.0132,574,0.257,21.01,6.24,-5411.5,2.0008,10.3068,85.7103,8.5251,0.0788,2.0649,50.3808,64.2481,118.1552,1.6323,1.3733,2.4835,45.8916,15.1578,10.4301,0.3025
454,0.0148,400,0.528,10.66,5.7,-6409.5,1.8835,4.4974,85.7103,8.5251,0.157,1.5172,50.3808,64.2481,118.1552,1.6323,1.5321,5.0458,33.6622,11.2202,7.14,0.1887
455,0.0083,790,1.132,18.05,5.16,-5546.5,1.9945,5.2507,85.7103,8.5251,0.3428,1.8296,50.3808,64.2481,118.1552,1.7398,0.8588,11.0913,35.6821,14.751,7.19,0.2556
456,0.0078,347,0.483,12.79,4.95,-6466.25,1.883,4.5995,85.4112,8.6005,0.1506,1.6785,50.4016,64.0546,119.239,0.8402,0.7993,4.6231,37.684,17.3173,7.18,0.1639
457,0.0109,816,6.541,21.63,5.02,-5430,2.0072,12.2044,84.6614,8.7994,2.6566,2.7301,50.3964,64.1107,118.921,0.8402,1.1257,62.5666,354.4169,137.4644,9.17,0.2759
458,0.0105,318,0.386,15.21,4.32,-5183,1.9852,11.522,84.2212,9.2047,0.109,1.1668,50.1936,64.0841,118.034,1.4405,1.079,3.6918,18.7253,25.0665,9.16,0.3915
459,0.0108,414,0.486,17.94,4.86,-5353.25,1.9955,10.8304,85.50758064,9.08145658,0.1429,1.5211,50.58274082,64.58996544,118.7660935,1.4405,1.1093,4.6948,21.1431,40.7848,8.95,0.3061
460,0.0076,2414,0.179,16.89,3.43,-5763.75,1.9805,8.9392,85.3825,9.7324,0.0543,1.0265,50.3716,64.2442,118.0668,1.4405,0.7851,1.6892,25.5242,10.7672,7.99,0.4764
461,0.0069,414,0.289,22.4,4.63,-5474.75,1.995,9.1491,85.0066,9.6938,0.1042,1.3611,50.366,64.2263,118.0446,1.4405,0.7087,2.7762,26.6396,53.5583,6.45,0.2708
462,0.011,1905,0.725,13.87,7.42,-6211.25,2.017,9.1067,85.822,9.0776,0.245,2.548,50.4667,64.059,118.0494,1.4405,1.1351,7.4264,47.0085,24.8971,10.15,0.3351
463,0.0042,299,0.187,11.6,7.55,-6252.75,1.909,9.6858,85.5528,8.9546,0.0604,2.3155,50.458,64.1864,118.6376,1.2142,0.4251,1.7969,29.476,10.2286,10.37,0.2855
464,0.0172,354,0.403,20.65,6.03,-5288.5,2.0053,11.7492,85.4112,8.6005,0.13,1.5289,50.4016,64.0546,119.239,0.8402,1.7897,3.8111,28.1088,19.5574,8.1,0.2015
465,0.0072,867,0.223,21.16,8.13,-5328,1.982,9.0432,85.1669,8.3324,0.0686,2.3558,50.4421,64.154,118.4616,1.2142,0.737,2.1412,35.0248,16.4067,9.02,0.2129
466,0.0131,588,4.985,37.98,9.41,-6334.5,1.8918,9.1266,86.8866,8.8505,1.6184,3.8898,50.4036,64.0557,118.808,0.8402,1.3557,42.584,189.7559,274.8871,234.78,0.6288
467,0.0144,424,0.347,21.12,5.91,-5711,2.0275,11.7333,83.7263,8.7867,0.1218,1.5715,50.198,64.0159,118.6914,1.2142,1.4885,3.3442,29.1922,12.6899,7.9901,0.1517
468,0.0162,822,0.556,14.77,5.81,-5662.25,1.9898,4.4308,85.7103,8.5251,0.1508,1.6635,50.3808,64.2481,118.1552,1.5604,1.6923,5.1796,22.1588,10.0895,8.39,0.3697
469,0.0055,415,0.334,17.92,10.61,-6310.25,1.885,11.3511,85.1059,8.5987,0.1157,2.8438,50.5025,64.3081,119.1156,1.2142,0.5648,3.1697,42.2937,49.0902,5.32,0.1315
470,0.0138,1308,1.261,18.48,5.99,-5686.75,2.0177,11.5257,86.3849,8.7897,0.3459,1.5032,50.1812,63.8901,118.5984,1.2142,1.4319,12.3123,32.5054,19.8304,11.11,0.1383
471,0.0047,904,0.245,19.72,3.57,-5402.5,2.0198,8.7621,85.1669,8.3324,0.0767,1.2106,50.4421,64.154,118.4616,1.4405,0.4759,2.309,41.1788,17.638,7.68,0.317
472,0.0137,427,0.923,19.42,3.86,-6539.75,1.8845,10.9334,84.8892,8.7418,0.2918,1.3836,50.2052,63.9238,118.7802,1.2304,1.4171,9.1424,17.4105,10.3621,7.3,0.2424
473,0.0039,403,0.505,17.91,4.04,-6389.5,1.8922,11.0326,83.6359,9.7836,0.1562,1.2141,50.2716,64.1163,117.9252,1.4405,0.3971,4.8246,24.274,14.1404,8.46,0.2936
474,0.0052,581,0.914,17.06,3.23,-6468,1.885,9.9152,85.822,9.0776,0.325,1.0627,50.4667,64.059,118.0494,1.3424,0.527,9.3948,13.0001,17.3346,5.55,0.1796
475,0.0164,1261,0.939,15.07,3.99,-5649.5,2.0092,11.5907,83.7738,8.6427,0.3026,1.2387,50.1799,64.2704,118.5748,1.2142,1.705,9.3775,28.7879,9.1007,5.41,0.2516
476,0.0194,444,0.247,19.17,4.79,-6505.5,1.886,9.4666,86.4541,8.5687,0.0775,1.7649,50.2843,64.0072,118.2032,1.4405,2.0235,2.248,13.3967,10.1443,7.57,0.5457
477,0.012,2987,0.976,21.5,10.03,-4599.25,2.0095,11.1626,84.7226,8.9635,0.2798,2.52,50.5609,64.2798,118.5886,1.4405,1.2322,9.3102,28.0334,20.0185,9.23,0.4078
478,0.0068,1146,0.858,21.96,16.31,-5330,1.9983,5.563,86.0936,8.5891,0.2426,4.3436,50.4484,64.1358,119.1796,1.3424,0.697,8.1111,79.3887,64.6457,7.18,0.1639
479,0.0148,186,0.91,18.36,5.18,-6456.75,1.905,10.8718,84.8892,8.7418,0.2458,1.5031,50.2052,63.9238,118.7802,1.2304,1.5403,8.968,35.788,14.675,9.37,0.3066
480,0.0115,491,0.721,15.24,4.77,-6347.75,1.8845,10.7875,85.1059,8.5987,0.226,1.5801,50.5025,64.3081,119.1156,0.9343,1.1866,7.034,25.1327,18.543,9.75,0.4187
481,0.0177,423,0.319,11.72,4.22,-6426.5,1.875,8.8509,87.4809,8.6829,0.0963,1.351,59.7711,79.2786,133.3898,1.5604,1.8197,3.0303,26.0175,11.2167,7.69,0.2934
482,0.0076,582,0.196,18.53,4.78,-6624,1.8725,9.1445,85.2764,8.7219,0.0593,1.3077,50.1373,63.8842,118.534,1.2304,0.781,1.8026,16.5682,16.83,10.17,0.4995
483,0.0072,759,0.281,15.62,4.85,-5305.5,1.9605,8.5587,85.3825,9.7324,0.0926,1.555,50.3716,64.2442,118.0668,1.5604,0.7446,2.6256,33.6776,40.7892,7.8,0.4831
484,0.0144,291,0.288,22.18,5.5,-6310.25,1.8818,9.2016,84.2999,8.6439,0.0854,1.4796,50.5795,64.4484,119.0822,0.8402,1.4873,2.826,35.0599,41.1449,7.93,0.1733
485,0.0111,546,0.788,9.33,7.95,-6406.25,1.8847,9.1321,84.2999,8.6439,0.2952,2.3209,50.5795,64.4484,119.0822,1.3424,1.1433,7.9313,52.538,22.8576,5.41,0.2516
486,0.0138,237,0.683,23.15,4.5,-6329.75,1.8855,10.9381,86.5513,8.8043,0.2302,1.2888,50.3197,64.056,119.1674,0.9343,1.4371,6.6632,32.9549,13.3046,8.4,0.3064
487,0.0151,2567,0.7,22.06,5.28,-5874.25,2.0245,11.7174,85.2227,8.5288,0.2458,1.7067,50.4747,64.1901,119.2928,1.5604,1.56,6.7504,19.976,10.8006,7.19,0.2556
488,0.0043,90,0.338,21.37,5.99,-5459,2,11.7154,84.6614,8.7994,0.1174,2.0993,50.3964,64.1107,118.921,1.4405,0.4382,3.2373,29.9019,19.9054,6.71,0.3428
489,0.0089,251,0.975,20.85,4.74,-5545.75,1.9968,10.181,85.1059,8.5987,0.2698,1.438,50.5025,64.3081,119.1156,0.9343,0.9094,9.5801,16.9789,9.7025,9.14,0.314
490,0.0114,696,0.626,25.78,9.5,-6225.75,1.8842,12.2695,84.2999,8.6439,0.1849,2.2715,50.5795,64.4484,119.0822,0.9343,1.1721,6.027,23.7748,17.3119,6.55,0.3665
491,0.0088,322,0.299,11.39,4.97,-6260.75,1.8995,9.3982,85.2626,8.4092,0.0825,1.6225,50.4562,64.2111,118.4666,1.2304,0.9092,2.8712,17.4724,9.6535,8.65,0.1435
492,0.0072,937,1.666,9.82,12.84,-5607.25,2.016,6.2683,83.7263,8.7867,0.4692,3.2904,50.198,64.0159,118.6914,0.9666,0.737,15.5905,61.4473,26.401,9.43,0.2236
493,0.0152,1692,0.456,26.44,5.45,-5723.5,2.009,11.7454,86.5513,8.8043,0.1378,1.6529,50.3197,64.056,119.1674,0.9343,1.5762,4.4211,36.6247,31.4197,7.27,0.1347
494,0.0104,1009,0.377,18.41,5.1,-5628,2.036,10.7103,86.3849,8.7897,0.1198,1.4059,50.1812,63.8901,118.5984,0.9343,1.068,3.6388,19.7191,12.1443,7.64,0.2605
495,0.0043,666,0.465,16.46,8.79,-5669.75,2.0012,9.1142,85.5528,8.9546,0.1558,2.7822,50.458,64.1864,118.6376,1.5604,0.4391,4.5141,40.0737,17.2766,8.18,0.389
496,0.0123,669,1.219,16.98,8.69,-6326,1.8842,10.9154,85.4112,8.6005,0.3531,2.4376,50.4016,64.0546,119.239,0.9343,1.2765,11.7758,21.347,9.763,7.74,0.327
497,0.0533,862,0.465,18.69,4.52,-6371,1.882,11.3435,86.5513,8.8043,0.1642,1.3367,50.3197,64.056,119.1674,1.2142,9.2069,4.5454,18.7792,9.0546,127.51,0.6676
498,0.0055,384,0.276,21.73,9.65,-6344.25,1.8775,8.0414,85.822,9.0776,0.0812,2.3588,50.4667,64.059,118.0494,1.5604,0.5582,2.6512,29.6979,23.1225,8.82,0.4281
499,0.005,330,0.439,27.08,5.9,-5409,1.9643,9.4257,84.2212,9.2047,0.1332,2.0153,50.1936,64.0841,118.034,1.4988,0.5108,4.1877,48.7202,13.7705,10.37,0.2324
500,0.0049,887,0.23,17.14,7.32,-5246.75,1.9832,6.9128,85.822,9.0776,0.072,2.3462,50.4667,64.059,118.0494,1.4988,0.4986,2.2103,32.3238,19.5625,8.39,0.3697
501,0.0196,247,0.675,18.64,7.97,-5697.5,1.9937,8.5869,84.9334,8.5459,0.2023,2.6695,50.4349,64.1179,118.4652,1.3424,2.0403,6.5152,45.2676,14.3833,8.08,0.2548
502,0.0151,992,1.105,24.09,5.99,-5933.25,2.013,11.4179,86.3849,8.7897,0.3112,1.858,50.1812,63.8901,118.5984,1.4988,1.5624,10.6859,22.9987,12.9335,9.82,0.3374
503,0.0165,352,0.447,24.03,3.86,-6338.25,1.8815,11.7374,85.4112,8.6005,0.1365,1.1481,50.4016,64.0546,119.239,0.689,1.711,4.276,18.4196,29.5989,7.05,0.2706
504,0.0045,357,0.491,16.32,3.45,-6350.25,1.8927,11.5596,85.5265,8.659,0.1603,1.0883,50.4068,64.061,118.9532,1.4988,0.4568,4.7973,28.266,11.161,7.19,0.2556
505,0.007,637,1.555,16.39,10.55,-5278,2.0158,6.3808,85.3154,8.5135,0.4514,2.9597,50.3873,64.1605,119.2382,1.5604,0.7133,14.6594,65.9245,42.5121,8.24,0.2728
506,0.015,732,0.358,18.65,2.92,-5444,1.9963,8.994,86.4465,8.6527,0.1149,0.8902,50.215,63.9211,118.102,1.4988,1.5655,3.4499,25.8305,42.7346,7.21,0.2176
507,0.0092,857,0.554,22.27,4.66,-5561,1.9905,10.8989,84.9334,8.5459,0.1962,1.2484,50.4349,64.1179,118.4652,1.4988,0.9407,5.3477,15.0228,15.5753,6.81,0.5466
508,0.015,1532,0.498,20.41,4.16,-5192.5,2.0435,11.3343,85.2227,8.5288,0.1654,1.4555,50.4747,64.1901,119.2928,0.689,1.5564,4.7812,28.9856,21.2435,7.09,0.1496
509,0.0135,480,1.625,10.77,12.5,-6461,1.8798,6.4476,85.5265,8.659,0.4465,3.2153,50.4068,64.061,118.9532,0.689,1.4002,15.1649,55.2602,26.2707,9.43,0.2236
510,0.0146,377,0.285,16.72,4.43,-6305.5,1.887,8.5404,85.3825,9.7324,0.0935,1.6102,50.3716,64.2442,118.0668,1.2142,1.5137,2.7405,20.1056,25.0005,426.69,1.1093
511,0.0047,1074,0.293,17.9803023,6.881538003,-5871.75,2.0125,8.236210548,85.7419,8.5788,0.0966,2.090223674,50.3811,64.1013,119.341,1.4918,0.4759,2.8104,30.94048594,17.9731,9.11,0.2586
512,0.0161,456,0.545052529,20.14639141,7.363769496,-6624.5,1.8758,11.5385,84.2942,8.7199,0.16777783,2.188928065,49.8696,63.8867,118.6792,1.4988,1.6595,5.363426609,33.27904659,24.03328013,10.18,0.188
513,0.0134,1948,0.608,22.91,3.84,-6736,1.8895,11.111,83.6359,9.7836,0.1615,1.0858,50.2716,64.1163,117.9252,1.4918,1.3827,5.9157,18.0869,51.0861,8.58,0.3274
514,0.0117,1053,0.332,17.97,5.77,-5232.25,1.9805,10.601,85.5265,8.659,0.0952,1.5421,50.4068,64.061,118.9532,0.689,1.2046,3.1254,15.0014,12.3421,7.74,0.327
515,0.0134,721,1.083,20.92,6.19,-5234.5,2.0132,11.5492,84.6614,8.7994,0.31,1.8601,50.3964,64.1107,118.921,0.689,1.3858,10.5708,33.6894,15.8994,10.4301,0.3025
516,0.0122,381,0.442,22.92,6.8,-6319.75,1.8838,11.598,83.6359,9.7836,0.1312,1.7373,50.2716,64.1163,117.9252,1.1609,1.2601,4.2943,30.5828,30.4332,8.74,0.2103
517,0.0153,786,0.301,19.95,3.62,-5121,1.9958,9.038,85.2227,8.5288,0.0898,1.1712,50.4747,64.1901,119.2928,1.4918,1.5908,2.9282,28.2361,9.6249,7.09,0.1496
518,0.0081,1256,1.005,10.48,4.08,-5229.25,2.0103,10.9979,86.5513,8.8043,0.2781,1.3145,50.3197,64.056,119.1674,0.689,0.8297,10.05,47.897,44.6837,9.14,0.1252
519,0.0059,213,0.298,18.51,6.54,-6183.75,1.8882,8.3876,85.9922,8.5334,0.0883,1.9397,50.2818,63.9469,118.5424,1.1609,0.6006,2.748,30.6661,8.8526,8.88,0.3358
520,0.0044,229,0.355,19.37,3.38,-5506.25,1.9973,9.6884,85.1669,8.3324,0.1155,1.0438,50.4421,64.154,118.4616,1.1609,0.4517,3.3794,25.2646,42.0458,10.3,0.2068
521,0.0096,878,1.082,16.6,7.56,-5622.5,2.0183,11.9891,86.3849,8.7897,0.3741,1.8805,50.1812,63.8901,118.5984,0.689,0.9899,10.8471,42.9292,11.2368,5.41,0.2516
522,0.0128,1066,1.297,15.19,4.43,-5046.25,1.999,11.0132,83.7738,8.6427,0.3577,1.0747,50.1799,64.2704,118.5748,1.4988,1.3253,12.6257,22.3254,16.6001,7.19,0.2556
523,0.005,1531,0.809,20.07,16.17,-5530,1.987,5.9872,84.7007,8.7283,0.2265,4.267,49.884,63.9335,118.793,1.1609,0.5054,7.5186,69.8343,17.2719,9.21,0.2491
524,0.0119,392,0.479,24.87,7.01,-6339,1.8873,11.769,86.5513,8.8043,0.1291,1.7854,50.3197,64.056,119.1674,1.4918,1.2276,4.614,20.8706,20.4497,445.32,1.1669
525,0.0141,400,0.328,20.2,6.16,-6626.5,1.8765,11.3902,85.8823,8.7851,0.12,1.6214,50.1652,63.8402,118.92,0.689,1.4645,3.2163,33.483,13.5805,9.17,0.2759
526,0.0048,1799,0.998,16.43,4.99,-7148,1.8875,8.8613,85.8748,8.8132,0.3489,1.3946,49.8348,63.6886,118.8018,1.1609,0.4856,10.1526,24.0355,53.8564,8.05,0.3213
527,0.0045,721,0.588,17.4,9.75,-6235.25,1.8873,5.9937,86.2857,8.5855,0.1606,2.6715,50.3174,63.9733,118.8308,1.4918,0.4541,5.5405,56.1932,29.7709,7.84,0.258
528,0.0039,422,0.755,11.11,14.11,-6233.5,1.905,5.5307,103.1082,23.1583,0.2098,3.7857,57.7421,74.8511,127.3944,1.1609,0.4001,7.0612,72.3277,30.1589,8.2,0.229
529,0.006,1019,0.831,20.42,6.91,-5394.75,2.019,11.4562,86.0936,8.5891,0.2746,1.86,50.4484,64.1358,119.1796,1.4918,0.6155,8.1691,21.5805,28.9412,6.93,0.399
530,0.0086,237,0.318,28.23,4.6,-6273.75,1.8963,11.1274,84.0746,9.3335,0.1001,1.2731,50.4357,64.3729,118.0092,1.4988,0.8839,3.0633,15.5032,10.0758,8.28,0.2158
531,0.0099,469,0.304,23.55,3.75,-6368.5,1.8872,10.1967,83.6359,9.7836,0.0816,1.1525,50.2716,64.1163,117.9252,1.4918,1.0139,2.8999,19.0702,27.5679,7.99,0.2536
532,0.0053,1161,0.267,26.14,6.13,-5319.25,1.9968,11.4262,85.3154,8.5135,0.0762,1.6024,50.3873,64.1605,119.2382,1.4918,0.5412,2.5819,39.0861,20.6914,5.17,0.1427
533,0.0098,356,0.453,29.8,6.34,-6366,1.8988,11.4766,84.2212,9.2047,0.1403,1.9749,50.1936,64.0841,118.034,1.3131,1.0019,4.4079,35.1178,33.8367,9.85,0.4535
534,0.006,574,0.9,19.92,5.18,-5651.25,2.015,11.1455,85.5528,8.9546,0.2419,1.6186,50.458,64.1864,118.6376,1.1609,0.6081,8.7277,42.9858,20.3606,6.37,0.2423
535,0.0058,328,0.463,18.97,4.27,-5397.5,1.9798,10.267,85.7419,8.5788,0.1279,1.3313,50.3811,64.1013,119.341,1.3131,0.5896,4.4687,18.9379,24.0095,8.15,0.3154
536,0.0053,610,0.737,9.39,11.14,-5451.25,2.014,5.5879,85.3154,8.5135,0.1998,2.7646,50.3873,64.1605,119.2382,1.4988,0.5423,7.0479,66.1889,57.9253,7.24,0.2395
537,0.0089,518,1.157,11.39,4.14,-6358.25,1.8878,11.0923,85.0066,9.6938,0.3698,1.2451,50.366,64.2263,118.0446,1.3131,0.9146,11.3176,24.1126,52.6789,451.69,0.8108
