,Time,Pass/Fail,F1,F2,F3,F4,F6,F7,F8,F9,F10,F11,F12,F14,F15,F16,F17,F18,F19,F20,F22,F23,F24,F25,F28,F29,F30,F31,F36,F37,F38,F40,F41,F43,F44,F45,F46,F47,F48,F50,F51,F53,F54,F55,F56,F58,F59,F60,F61,F62,F63,F64,F65,F66,F68,F70,F71,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F86,F87,F88,F89,F90,F91,F96,F98,F99,F102,F107,F108,F109,F110,F111,F113,F115,F116,F117,F118,F119,F120,F121,F122,F125,F126,F127,F128,F129,F130,F132,F133,F134,F136,F137,F138,F139,F144,F145,F146,F150,F151,F152,F155,F156,F160,F161,F162,F166,F167,F168,F170,F171,F173,F175,F176,F181,F182,F183,F184,F187,F188,F195,F206,F209,F210,F211,F212,F213,F214,F215,F216,F217,F218,F222,F223,F224,F227,F228,F244,F246,F248,F249,F252,F254,F255,F268,F270,F272,F274,F277,F280,F281,F285,F286,F287,F290,F295,F296,F297,F303,F304,F305,F306,F308,F311,F316,F317,F318,F320,F321,F324,F342,F344,F346,F347,F348,F349,F350,F351,F352,F353,F354,F355,F356,F361,F382,F383,F385,F389,F390,F405,F406,F416,F418,F419,F423,F432,F433,F460,F468,F472,F473,F478,F480,F482,F483,F484,F485,F486,F487,F488,F489,F491,F496,F499,F500,F510,F511,F521,F526,F545,F546,F547,F548,F558,F559,F562,F563,F564,F570,F571,F573,F574,F575,F577,F579,F581,F586,F587,F589
392,2008-08-22 1:04,1,2488.76,2167.5,1068.4521,1.3719,102.1733,0.1223,1.5523,-0.011,0.0096,0.9496,199.158,7.2777,412.9145,10.5503,0.968,188.6077,12.4753,1.3795,2478.5,-3932.0,-6910.3333,1.3077,70.6444,2.0,0.1389,3.4529,49.5334,65.7014,86.3482,84.98,1.88,366.5909,9.7635,129.7645,732.2325,1.0245,137.1691,633.5245,48.7259,4.657,4.896,2861.0,0.9242,4.6911,5.0473,361.9836,10.4124,114.8118,12.1605,14.9527,20.2979,711.9345,146.0409,622.8364,80.1635,461.7057,0.0,-0.0095,0.0306,0.0249,-0.0258,0.0183,-0.009,-0.0243,-0.042,6.3871,0.135,2.3605,0.9899,1850.6233,0.1984,8667.56,0.0867,0.0842,0.2806,0.0177,-0.0396,0.1997,0.0466,,,,0.9476,750.6866,0.9912,57.7808,0.5993,0.9667,6.2946,15.84,4.429,1.39,2.634,0.706,3.108,0.4258,0.752,2.2948,1006.3928,37.8041,76.2,105.7,42.2,311.329,0.1181,0.0493,0.0531,3.59,20.467,0.758,0.64,0.2026,214.0,781.0,11050.0,3.9,1.4,0.112,0.4812,0.2553,0.6521,0.8823,0.2206,0.892,10.78,36.028,0.1311,23.74,15.587,0.276,0.0,0.0,0.177,0.0537,0.0347,0.0142,0.1665,0.0871,0.0783,0.0577,4.2752,0.001,98.8339,0.0446,0.0311,0.0124,,,0.0105,0.0,2.2984,0.0244,0.4168,12.465,36.4136,31.323,103.4064,2.4447,0.0146,0.017,1.1059,5.7764,0.2207,0.1819,103.6613,329.6796,6041.8568,0.034,0.1061,0.1883,0.1051,0.2317,0.0857,5.2693,0.287,3.2462,0.0381,2.2591,5.3828,0.0,17.3646,3.7864,0.0,0.0472,0.0236,0.0163,0.0068,0.0448,0.0427,0.0435,0.0302,1.2133,33.4964,,,,0.0003,0.6425,0.0234,4.1983,2.8621,448.1818,550.2591,49.3286,19.8627,159.9055,31.9891,115.5079,171.2921,38.9895,0.0,67.5656,0.0,175.4902,139.3574,55.0921,907.9755,970.4735,322.8866,137.4628,3.4803,22.4579,0.0,467.9245,48.1046,0.0,0.0,2.5263,7.116,1.6074,398.598,83.016,1.0206,0.5414,264.272,0.5671,4.98,532.7,2.3601,0.1936,3.7087,0.0595,8.2046,,,0.0104,0.0083,79.8045
406,2008-08-22 6:00,1,2518.96,2213.7556,1113.5599,0.7217,104.1667,0.1211,1.4628,0.0163,-0.0264,0.9502,201.146,10.4777,417.8509,10.3872,0.9703,190.7588,12.6278,1.4275,2782.25,-5749.3333,328.75,1.271,67.4889,2.7111,0.2124,3.3621,49.6757,66.2377,86.9247,76.97,4.019,354.9836,9.9685,136.7809,732.7662,1.3661,137.4809,629.2455,217.1607,4.608,4.85,2829.0,0.9337,4.5304,10.9955,353.1318,10.7197,107.7764,20.9055,29.0045,37.4668,695.2994,147.4318,608.34,103.406,,0.0,0.0053,-0.0533,0.0552,-0.0568,0.0194,-0.1139,-0.038,-0.0367,6.6704,0.1306,2.3988,0.9636,1881.9657,0.1602,8783.23,0.0359,0.2005,-0.1463,-0.0195,-0.1327,0.031,-0.0529,,,,0.9528,761.2689,0.9907,58.4879,0.606,0.9763,6.2355,15.77,4.348,1.239,2.486,0.6881,3.091,-0.0473,0.6586,2.3073,998.4948,37.7156,88.6,134.1,53.9001,415.735,0.0773,0.0977,0.0871,5.97,12.043,0.7665,0.55,0.061,483.0,3367.0,256.0,1.4,1.1,0.143,1.0039,0.0452,0.5476,0.7709,0.1964,0.436,8.58,31.224,0.0845,17.14,59.21,0.264,0.0,0.0,0.0993,0.0463,0.124,0.0359,0.0518,0.0825,0.0581,0.0356,4.048,0.0131,138.3851,0.0474,0.0177,0.0186,,,0.024,0.0,2.591,0.0035,0.527,13.265,27.7474,44.287,159.8244,3.1379,0.025,0.025,1.7561,2.9206,0.2199,0.1672,233.637,1778.9076,122.2903,0.0506,0.1933,0.3668,0.0207,0.2099,0.0807,5.4651,0.1473,2.3599,0.0244,2.1414,16.3236,0.0,11.885,,0.0,0.0306,0.0194,0.0553,0.0155,0.0191,0.0454,0.0271,0.0154,1.239,49.5449,,,0.008,0.0003,0.6847,0.0217,4.3521,3.2218,600.9996,329.3784,56.978,58.5633,77.8707,27.2655,97.7677,114.611,37.0632,0.0,34.2688,0.0,86.9076,224.536,63.2321,267.6138,72.4161,152.8947,96.9367,8.0405,29.5969,0.0,246.971,64.6204,0.0,0.0,0.3623,7.116,0.656,400.748,72.488,0.9927,0.1741,,,,537.6618,2.2127,0.2784,2.5383,0.0925,12.5829,,,0.0061,0.0141,233.2441
424,2008-08-22 19:14,1,2297.3,2218.0555,1517.4371,0.8579,105.8133,0.1206,1.4849,-0.002,0.0082,0.9601,196.4381,11.0801,406.0418,11.0543,0.9683,185.3838,12.4616,1.4237,2627.5,-3855.5,6476.0,1.264,71.2333,1.9,0.139,3.3491,49.5334,65.7014,86.3482,84.98,1.88,351.4273,9.9423,130.8782,717.8685,0.9977,137.4055,619.7109,55.2319,4.61,4.849,2802.0,0.9366,4.6801,-5.7182,349.0073,10.805,105.16,20.0191,25.7182,31.4501,686.4185,145.5245,599.6918,94.7971,462.4653,0.0,-0.0239,0.0122,0.0387,-0.0293,-0.0139,-0.008,-0.0221,0.0508,7.4191,0.1311,2.3347,0.9891,1815.6927,0.1886,8552.3599,-0.0094,0.167,0.2534,0.0623,0.0377,0.115,0.0622,,,,0.9431,740.1718,0.9909,59.3036,0.5991,0.9699,6.2525,15.87,3.165,1.035,2.746,0.5609,3.275,-0.2365,0.8117,2.3672,1006.3086,38.8115,69.7,142.4,70.5,340.8611,0.0492,0.0448,0.0472,14.357,6.744,0.4452,0.51,0.0244,438.0,846.0,21016.0,3.3,1.6,0.178,0.4812,0.2553,0.6521,0.8823,0.2206,0.754,8.57,33.922,0.129,18.17,18.515,0.296,0.0,0.0,0.0566,0.0457,0.039,0.0753,0.0358,0.1188,0.0765,0.0989,4.9945,0.0028,155.6282,0.0342,0.0272,0.0109,,,0.0188,0.0,3.7525,0.0155,0.4286,17.313,22.6063,45.3903,115.7327,1.6024,0.013,0.0129,4.1461,2.0626,0.1301,0.1588,188.4277,385.2597,9243.8117,0.0589,0.1411,0.1883,0.1051,0.2317,0.0857,4.4785,0.2541,2.2137,0.0332,2.8903,5.4372,0.0,25.0255,3.3641,0.0,0.0144,0.0209,0.0177,0.0356,0.0107,0.062,0.0398,0.0541,1.5896,50.874,,,,0.0004,1.226,0.0277,5.452,2.985,0.0,577.8118,129.5748,21.9427,324.5213,33.5223,107.9014,88.9652,23.9908,0.0,92.6505,236.8201,376.1317,100.7752,257.2161,256.861,0.0,345.7627,194.685,1.9829,18.1146,0.0,512.9412,49.0251,465.6716,0.0,1.602,7.116,1.159,400.74,74.374,0.9325,0.2569,264.272,0.5671,4.98,530.6027,2.397,0.2709,2.3928,0.0895,11.3021,,,0.0005,0.0115,0.0
441,2008-08-23 15:29,1,2514.95,2196.0889,1277.8592,1.8246,95.6322,0.1224,1.4727,-0.0005,-0.0076,0.9646,203.9804,8.5539,401.3223,9.2908,0.9618,194.6896,12.6006,1.4092,3386.5,-3594.0,-535.25,1.315,70.3889,2.6444,0.2214,3.4209,49.4975,66.236,86.7807,79.98,3.312,351.5136,10.0834,136.6827,731.3372,1.4273,143.4509,631.6473,192.0281,4.518,4.764,2873.0,0.9247,4.6104,2.4173,350.3764,10.367,119.1,13.9918,17.5827,26.1512,705.186,148.1791,617.6555,68.7715,468.0183,0.0,-0.0084,-0.0205,-0.024,-0.083,-0.0101,-0.1077,-0.0227,-0.0075,7.0552,0.1366,2.4021,0.9897,1660.6167,0.1904,8825.4101,-0.1791,-0.1047,0.4148,-0.0558,0.1282,0.0892,-0.0129,,,,0.9611,759.4872,0.9908,57.6042,0.5955,0.9671,6.3219,15.78,3.175,0.9413,2.773,0.5406,3.124,1.088,0.8361,2.3695,1004.3856,38.7158,104.1,37.0,59.2,560.981,0.131,0.0458,0.0344,13.832,13.173,0.9093,0.62,0.0749,3472.0,822.0,1843.0,1.2,1.2,0.21,0.7495,0.1266,0.7112,0.6115,0.3487,0.721,10.38,34.177,0.2154,21.56,34.213,0.232,0.0,0.0,0.0525,0.0505,0.0396,0.0588,0.065,0.0807,0.1193,0.0425,2.9891,0.0017,109.6056,0.0254,0.0182,0.0215,,,0.0105,0.0,2.1427,0.0265,0.4733,12.7,34.7928,13.7278,162.2555,2.5669,0.0133,0.0096,3.7798,3.8646,0.2691,0.1013,1712.782,357.3486,786.9707,0.0619,0.158,0.2959,0.0469,0.2593,0.1246,4.6886,0.196,3.0559,0.056,1.7958,8.8165,0.0,33.8173,4.9818,0.0,0.0142,0.0213,0.0168,0.027,0.0158,0.0408,0.0573,0.0202,1.1727,42.2978,,,0.0063,0.0003,0.6218,0.0288,4.7805,3.5948,0.0,453.751,161.7039,22.8715,344.3251,17.8167,255.66,195.2565,35.1481,0.0,155.3872,626.3982,246.3415,164.8283,70.822,642.7689,74.9478,525.5507,566.6667,3.2208,13.3201,175.7393,321.7961,40.4949,320.0,0.0,2.7448,7.116,,,,0.9552,0.2197,,,,532.1854,2.2439,0.3075,3.1309,0.1085,13.705,,,0.0329,0.0055,16.6695
448,2008-08-24 13:03,1,2523.71,2207.0444,1269.6078,1.7571,97.0189,0.1221,1.5272,0.0181,0.0022,0.9519,198.4701,7.8206,406.6101,9.778,0.9622,188.6922,12.6278,1.3857,2689.0,-3943.0,-10366.333,1.2683,69.0111,1.8,0.1527,3.4393,49.7157,66.3241,87.032,79.03,3.186,351.6627,10.0905,147.6009,742.6692,1.0224,128.6018,627.8655,54.528,4.623,4.845,2831.0,0.9331,4.5634,1.9482,354.3964,10.6254,109.5491,16.3328,38.0518,45.3921,697.2771,147.5873,611.5327,88.3704,,0.0,-0.0015,-0.029,-0.0168,-0.0595,0.0324,0.0048,-0.023,-0.0347,7.6607,0.1332,2.3992,0.9717,1830.7683,0.1564,8738.47,0.016,0.0472,0.0367,0.0121,0.0052,-0.0576,-0.0637,,,,0.9485,749.6408,0.9912,57.4901,0.6077,0.9738,6.0229,15.77,3.067,1.248,2.792,0.5494,3.31,0.0,0.8217,2.3735,1003.61,40.3057,86.6,62.6,54.5,449.78,0.0466,0.0626,0.0537,2.908,13.994,0.8118,0.55,0.044,392.0,1521.0,11997.0,1.4,1.8,0.114,0.7108,0.0714,0.4659,0.7245,0.2901,0.46,12.89,34.794,0.1237,18.34,11.289,0.272,0.0,0.0,0.1212,0.057,0.0269,0.0479,0.0738,0.0318,0.1108,0.0369,2.2858,0.0089,218.5775,0.0249,0.0172,0.0188,,,0.029,0.0,2.6655,0.0149,0.3408,7.92,28.3307,23.0253,149.7834,3.3728,0.0212,0.0143,0.9874,3.9002,0.2159,0.1672,176.7182,775.1174,6015.8812,0.0327,0.1592,0.2833,0.0273,0.1882,0.1231,5.8213,0.1524,3.3547,0.0367,3.4266,3.6713,0.0,14.8112,,0.0,0.0381,0.0263,0.011,0.0223,0.022,0.0135,0.0519,0.0159,0.8055,65.521,,,0.0044,0.0002,0.8379,0.0284,2.9225,3.439,345.737,0.0,37.1837,38.5747,115.7304,20.7031,684.2277,145.9027,35.0312,0.0,56.545,0.0,196.2134,160.597,80.4366,227.9537,659.0674,482.2633,106.4935,2.1014,15.9315,781.8182,0.0,91.9861,0.0,0.0,1.5341,7.116,1.6297,407.35,81.71,0.9073,0.3144,261.168,0.7139,1.7,534.8673,2.1953,0.227,2.9771,0.0734,10.3402,,,0.0235,0.0355,150.7761
495,2008-08-28 20:39,1,2536.48,2235.0556,1302.6607,1.6347,109.9856,0.123,1.4969,-0.0098,-0.0134,0.9713,197.8825,10.5555,404.7087,10.3503,0.9811,187.5323,12.448,1.4007,2729.5,-4129.5,-2502.0,1.278,69.7111,2.1444,0.1782,3.4048,49.542,66.2016,86.9821,78.38,1.831,352.3291,9.7934,137.9845,726.0147,1.0347,130.3136,620.6273,50.4426,4.598,4.87,2824.0,0.9338,4.5389,1.0045,349.7927,10.3011,118.9891,8.0984,18.9955,23.2147,702.8,146.2291,615.0109,100.6796,,0.0,0.0029,-0.0487,-0.0089,-0.0157,0.0203,0.058,-0.0029,0.0222,7.4675,0.1337,2.4297,0.9896,1803.2516,0.2227,8777.9,0.0096,0.0892,0.0723,0.0642,-0.0674,-0.1227,-0.1043,,,,0.965,641.4075,0.9903,58.8773,0.6116,0.9754,6.3106,15.81,4.019,1.116,2.497,0.6206,2.887,0.7569,0.7025,2.2909,1000.9047,43.8385,61.4,96.1,52.7002,340.736,0.1218,0.0462,0.0417,6.354,10.531,0.7404,0.33,0.0973,494.0,1061.0,8105.0,2.2,1.0,0.089,0.76,0.0593,0.6347,0.6944,0.2679,0.702,12.92,29.919,0.1294,26.84,12.0,0.291,0.0,0.0,0.11,0.0116,0.0474,0.0987,0.0893,0.0606,0.0924,0.0665,3.1349,0.0011,98.3363,0.1816,0.0191,0.0217,,,0.0233,0.0,3.23,0.0058,0.413,34.47,34.8872,33.027,102.5782,1.8399,0.0124,0.0133,2.0313,3.2188,0.2134,0.0877,212.7871,456.6198,3825.6122,0.0316,0.1313,0.3021,0.0227,0.2297,0.1049,6.8,0.2352,3.6891,0.0366,3.9978,3.7989,0.0,24.7192,,0.0,0.0264,0.0051,0.0222,0.043,0.0259,0.0281,0.0468,0.0331,1.0397,37.5749,,,0.0069,0.0003,1.033,0.0096,13.3817,2.601,472.3323,310.47,60.1964,25.6932,323.9408,23.7894,875.0226,203.2498,46.2742,0.0,70.7879,0.0,23.8193,529.6089,627.663,440.037,104.4377,0.0,299.8873,2.6169,81.5793,0.0,0.0,49.5495,591.3043,0.0,0.5976,7.116,0.787,402.964,79.83,0.9518,0.1454,249.896,0.6195,8.42,534.4918,2.3933,0.389,2.8777,0.1072,16.256,,,0.0255,0.026,102.1652
508,2008-08-29 4:55,1,2527.25,2163.5889,1448.3869,1.7014,104.8333,0.1256,1.524,-0.0016,0.0061,0.9549,199.9288,6.5965,408.7776,10.832,0.9628,189.0968,12.4998,1.4198,2793.25,-5336.0,-1327.75,1.2555,67.5,2.5333,0.2107,3.3488,49.5254,66.0973,86.6692,78.52,3.182,355.7091,10.0528,135.7718,732.486,0.918,137.1155,628.5964,116.4941,4.588,4.834,2857.0,0.9261,4.5454,5.4991,357.9436,10.4158,121.2709,11.9794,14.5009,17.5983,714.8877,138.9373,618.1518,97.7746,467.0915,0.0,-0.0146,-0.0837,0.0312,-0.0493,-0.0124,0.0374,-0.0126,0.0395,5.9468,0.1398,2.345,0.9871,1762.7554,0.2054,8564.1802,-0.0301,0.14,-0.1362,-0.0372,-0.0166,0.0359,-0.0301,,,,0.94,729.4385,0.9658,56.4388,0.589,0.9754,6.1296,15.94,5.261,1.418,3.955,0.8522,3.278,-0.5677,0.6786,2.2773,1009.9188,40.8046,109.2,56.0,56.8999,288.1161,0.0727,0.0465,0.0395,4.116,15.72,0.4309,0.17,0.0482,796.0,5790.0,2684.0,2.5,1.4,0.15,0.7978,0.0929,0.6767,0.7542,0.3844,0.558,11.96,37.589,0.0919,25.56,31.942,0.254,0.0,0.0,0.0556,0.2762,0.0472,0.0468,0.0428,0.1104,0.0897,0.0909,6.8852,0.0018,160.7245,0.0395,0.021,0.0118,,,0.0399,0.0,2.5332,0.0102,0.3057,33.151,24.4949,14.4648,86.4638,1.3812,0.0162,0.0119,1.2234,4.1301,0.1281,0.0473,346.775,2483.2759,1241.4399,0.0558,0.0913,0.2868,0.0384,0.2651,0.1474,6.5321,0.187,3.4726,0.0308,2.4408,8.4419,0.0,29.6591,3.0306,0.0,0.0172,0.1206,0.0205,0.0214,0.0107,0.0497,0.0468,0.0498,2.2474,49.4774,,,0.0067,0.0028,0.7999,0.0117,12.7224,2.6284,0.0,646.2168,62.3963,108.5082,202.1465,27.4194,75.6489,170.3759,28.6879,0.0,97.6092,379.8463,329.791,151.4034,94.8809,345.8586,295.3846,710.495,229.981,2.0749,19.246,551.7241,0.0,29.4537,760.0,0.0,1.0477,7.116,1.5743,411.0,78.44,1.0501,0.5711,265.306,0.7538,6.07,538.8482,2.2732,0.1496,2.454,0.0482,6.5829,,,0.0048,0.0226,474.0812
518,2008-08-29 6:45,1,2384.19,2170.9667,1600.3858,1.043,104.9756,0.1249,1.4867,-0.0091,0.0005,0.9616,199.8174,11.3399,422.1476,10.708,0.9758,189.1094,12.5478,1.4233,2558.0,-4063.5,260.5,1.2975,68.9111,2.8778,0.2302,3.3838,49.6803,66.2008,86.7995,13.69,5.044,355.7391,10.0447,139.2764,739.2181,1.3704,143.6491,638.6645,185.9695,4.586,4.822,2859.0,0.9247,4.5068,13.3709,354.5773,10.0,132.6473,3.7778,6.6291,12.0446,727.1735,149.6009,636.8255,68.0936,474.0224,0.0,0.0083,-0.0584,-0.0103,-0.0931,-0.0125,0.0065,-0.0164,-0.039,8.3965,0.1259,2.4048,0.9899,1764.543,0.1642,8213.75,-0.0452,0.0241,0.0722,0.0474,0.0083,0.0134,0.0349,,,,0.943,701.3914,0.9657,56.6647,0.5932,0.9699,6.5296,15.94,5.261,1.418,3.955,0.8522,3.278,-0.5677,0.6786,2.2773,1009.9188,40.8046,169.3,158.9,47.0,377.083,0.0619,0.0685,0.0594,5.414,7.268,0.3947,0.23,0.0846,491.0,1225.0,768.0,1.8,1.0,0.15,0.6332,0.0727,0.5321,0.8126,0.273,0.376,11.36,36.793,0.1324,22.8,43.092,0.277,0.0,0.0,0.0459,0.2225,0.0381,0.0344,0.0475,0.0445,0.0855,0.1254,2.2501,0.0049,144.3723,0.0339,0.0164,0.0133,,,0.0152,0.0,2.3441,0.0034,0.2872,33.151,30.2504,64.2691,141.8322,2.265,0.0216,0.0186,1.8924,2.3508,0.1154,0.0716,206.9412,506.4389,345.9099,0.0533,0.2916,0.2673,0.033,0.2088,0.1135,5.5776,0.1113,3.1566,0.0332,2.0262,13.8158,0.0,36.114,5.781,0.0,0.0116,0.0918,0.0161,0.0159,0.0124,0.0182,0.0453,0.0532,0.932,47.8253,,,0.0056,0.0025,0.7575,0.0117,12.7224,4.5648,750.6849,0.0,47.7429,30.1464,294.8177,23.1715,30.5141,277.4078,61.5471,0.0,166.7131,554.2642,380.8301,369.0073,36.9396,380.0,681.9923,520.5479,321.7447,1.7471,20.6439,0.0,950.0,46.4912,627.451,0.0,0.3489,7.116,2.1487,407.38,72.364,0.9518,0.1031,,,,537.0373,2.0049,0.1252,3.1241,0.0395,6.244,,,0.0331,0.021,63.2615
576,2008-08-30 9:45,1,2425.46,2155.6333,1070.0439,0.8024,101.4333,0.1241,1.4756,0.0125,-0.0096,0.9816,198.4986,10.1323,414.9614,9.4603,0.9814,189.0383,12.448,1.3964,2726.25,-4816.0,-858.5,1.2888,65.3778,1.8889,0.2851,3.4612,49.5651,66.2647,86.6954,77.72,2.013,350.9955,9.8815,136.2991,724.8676,1.0184,134.0464,621.3409,55.247,4.598,4.87,2824.0,0.9338,4.5389,1.9245,349.2055,10.3481,118.2236,9.5869,18.0755,22.7319,702.1357,145.6355,613.0645,90.114,,0.0,0.0005,-0.0787,0.023,-0.008,-0.0081,-0.0824,-0.0229,0.0234,7.239,0.1378,2.3783,0.9685,1823.8228,0.19,8363.76,0.0807,0.0283,0.2371,0.093,-0.0698,-0.013,-0.0466,,,,0.9339,705.4618,0.9903,57.9313,0.5914,0.9661,6.3092,15.92,4.567,1.338,2.803,0.6982,3.019,0.2365,0.7287,2.2728,1008.7232,39.0136,67.9,96.8,55.2,330.043,0.1285,0.0712,0.1064,6.991,7.161,0.5126,0.33,0.1099,340.0,2945.0,4264.0,21.1,8.4,0.365,0.9273,0.1506,0.5927,0.5986,0.3631,0.99,9.32,28.799,0.2209,25.63,17.776,0.291,0.0,0.0,0.0483,0.0563,0.0886,0.1394,0.0644,0.0664,0.0608,0.0469,4.3983,0.0069,58.3865,0.021,0.0125,0.0168,,,0.0269,0.0,3.0983,0.0233,0.3934,30.558,34.5365,28.0162,116.5224,2.2388,0.0174,0.0245,2.3267,2.533,0.1589,0.0877,158.7123,1321.6931,1944.2046,0.1071,0.2277,0.3312,0.0536,0.236,0.1319,6.8691,0.3244,2.9683,0.0614,4.6163,4.9239,0.0,18.8515,,0.0,0.0136,0.0278,0.0386,0.0608,0.0165,0.0333,0.0277,0.0247,1.6564,17.7745,,,0.0084,0.0003,1.0545,0.0106,11.6371,2.6581,571.8876,0.0,68.9974,61.1503,496.6803,32.1755,600.6613,201.1081,63.9541,0.0,61.4178,0.0,71.5375,386.0566,0.0,796.9064,80.6315,265.5022,200.6417,1.3787,11.0496,607.9027,398.2222,54.9102,392.0,0.0,2.4098,7.116,0.9959,407.498,81.576,0.9772,0.0926,250.11,0.6282,10.4,534.72,2.3705,0.2603,2.6664,0.0868,10.9822,0.0139,76.6094,0.0182,0.0139,76.6094
583,2008-08-30 14:10,1,2497.56,2173.4556,1433.6732,1.0304,110.5422,0.1245,1.4031,0.0027,0.0017,0.9544,204.03,7.3062,402.2922,10.6914,0.9632,193.3385,12.5553,1.4065,2678.75,-4364.0,-5136.3333,1.3048,67.4222,2.3,0.1983,3.3652,49.6036,66.1349,86.7297,2.332,0.9273,350.6364,9.9477,143.8973,737.9779,1.3452,139.3945,633.9282,202.0043,4.605,4.869,2828.0,0.9332,4.5483,11.2909,351.1773,9.8475,135.1882,5.6007,8.7091,13.8957,724.0822,145.0527,631.4182,83.8469,470.0934,0.0,0.0001,-0.0163,-0.0347,-0.0617,-0.0233,-0.0025,-0.0203,0.0401,8.0603,0.134,2.3745,0.9904,1768.4421,0.1718,8617.3398,-0.0156,0.0849,-0.024,-0.0177,-0.0606,0.1103,0.0998,,,,0.9335,748.9609,0.9646,55.7648,0.6129,0.9759,6.4871,15.9,4.062,1.135,2.467,0.6128,2.824,-0.7096,0.6802,2.2697,1002.4074,42.266,73.7,77.8,52.5,143.6,0.1221,0.0454,0.0381,4.213,10.892,0.4713,0.2,0.0836,517.0,2433.0,10428.0,1.8,1.4,0.143,0.7141,0.0833,0.4138,0.7448,0.2588,0.483,9.97,31.759,0.0763,17.63,28.76,0.27,0.0,0.0,0.0908,0.0402,0.0592,0.0534,0.0516,0.0792,0.1068,0.0927,2.7412,0.0011,126.1924,0.0369,0.02,0.0159,,,0.006,0.0,3.0534,0.0056,0.4901,37.635,31.1763,22.2754,50.6681,1.6246,0.0113,0.0101,1.2684,3.8395,0.1371,0.0511,232.944,1009.0289,5958.954,0.0468,0.1516,0.2553,0.0341,0.1585,0.108,5.594,0.1641,2.5448,0.0261,2.3438,9.6287,0.0,26.8117,3.0443,0.0,0.021,0.0191,0.0253,0.0267,0.016,0.0389,0.0527,0.0483,1.0294,42.031,,,0.0084,0.0012,0.7881,0.0114,12.8334,2.3289,0.0,0.0,57.6635,55.7516,203.0242,14.2373,50.1289,248.1834,64.9897,0.0,111.5712,0.0,246.6258,170.4824,86.5829,221.8758,0.0,526.7571,231.1721,2.7617,21.5027,0.0,0.0,39.5062,0.0,0.0,0.5761,7.116,1.5429,409.45,72.944,0.9859,0.1732,265.432,0.8062,7.5,535.8155,2.3326,0.247,2.5583,0.0854,10.5902,,,0.0332,0.0216,65.1043
601,2008-08-31 4:46,1,2369.95,2201.8222,1288.0857,1.6769,95.9789,0.1209,1.4542,-0.0002,-0.0007,0.9585,202.0761,7.8831,417.1031,9.5423,0.9561,192.5337,12.4469,1.416,2820.25,-3927.75,-494.25,1.2617,69.5889,2.4111,0.191,3.3383,49.785,66.1517,86.9642,77.24,2.914,362.2991,10.0689,131.1955,735.719,1.3371,143.6809,637.1755,200.8532,4.633,4.886,2866.0,0.9227,4.6862,15.3073,360.1136,10.7922,106.5027,25.3082,24.6927,33.4962,702.2228,145.2509,611.8673,94.6665,,0.0,0.0154,-0.0538,0.0002,-0.0795,0.0023,-0.1012,-0.0061,-0.0311,7.185,0.1291,2.391,0.9876,1846.8055,0.1975,9105.23,0.0538,0.0341,-0.0561,0.0251,-0.0608,0.0406,-0.0089,,,,0.9491,786.812,0.9904,58.6987,0.6024,0.966,6.3219,15.95,4.41,1.447,2.875,0.6809,3.118,-0.5204,0.7232,2.2771,1007.4808,38.3809,223.4,196.9,59.2,532.019,0.091,0.0299,0.0471,6.094,7.747,0.9678,0.49,0.0386,782.0,1882.0,1362.0,2.9,0.9,0.144,1.026,0.1637,0.489,0.8246,0.2952,0.477,9.81,35.723,0.099,20.8,83.26,0.275,0.0,0.0,0.079,0.0419,0.0926,0.0389,0.0386,0.1185,0.0782,0.047,3.5486,0.0017,118.2354,0.0913,0.0086,0.0155,,,0.0207,0.0,2.102,0.0241,0.5829,31.723,28.0674,66.8272,153.1415,2.5903,0.0108,0.0136,2.0166,2.7121,0.2596,0.1635,333.294,851.7446,626.4739,0.0483,0.0778,0.3774,0.0609,0.1862,0.1092,6.1786,0.1459,2.6354,0.0348,1.7877,21.9803,0.0,12.4622,,0.0,0.0232,0.0182,0.0404,0.0173,0.01,0.0606,0.0347,0.0228,1.4479,40.3438,,,0.0046,0.0004,0.6175,0.0135,11.4372,3.8045,0.0,0.0,77.3047,47.9155,275.569,41.4532,37.5638,78.9466,23.2862,0.0,40.7979,512.3632,77.9172,0.0,48.9001,0.0,117.1238,0.0,151.004,1.3169,46.2333,887.7419,0.0,69.8851,0.0,0.0,2.4992,7.116,,,,0.959,0.2813,,,,529.7309,2.2346,0.5424,2.7061,0.1565,24.2733,,,0.0225,0.0193,85.7175
