,F153,F159,F198,F200,F201,F21,F252,F26,F319,F32,F33,F334,F34,F334.1,F35,F39,F407,F426,F470,F471,F474,F476,F524,F574
384,0.0226,1368,0.308,14.79,6.65,-5047.75,3.5075,1.9925,11.1333,92.072,8.9416,0.0942,59.3488,0.0942,78.254,132.5378,0.8846,2.3637,2.926,8.9545,37.546,19.4568,5.8543,3.849
385,0.0398,318,1.032,21.57,10.64,-5448,2.6078,1.9965,5.3969,85.5361,8.536,0.3312,50.3421,0.3312,63.9167,118.4394,1.6404,4.1746,10.2879,6.4209,39.2892,14.6182,4.5219,3.2524
386,0.0109,1352,0.227,14.88,6.16,-5046.25,3.4845,1.9867,9.4989,92.072,8.9416,0.0758,59.3488,0.0758,78.254,132.5378,0.8846,1.12,2.1407,6.4942,26.7092,11.1222,5.8134,3.4272
387,0.018,3492,0.222,9.11,7.53,-4778.5,2.9092,1.9885,4.6577,83.9167,9.4043,0.0619,50.4181,0.0619,64.4134,118.1592,1.5465,1.8688,2.0565,5.6917,17.3344,18.6827,4.9785,2.3152
388,0.0197,1018,0.434,15.9,6.62,-6408.25,3.7848,1.8908,10.8356,85.3625,8.5952,0.1198,50.3491,0.1198,64.0145,118.227,1.5465,2.051,4.161,7.0914,23.7414,9.8746,6.3078,3.1416
389,0.0062,1735,1.02,20.57,5.81,-5631.75,2.8456,2.0112,6.0541,83.9167,9.4043,0.3355,50.4181,0.3355,64.4134,118.1592,0.9168,0.636,10.0185,6.8584,21.1336,15.5485,4.8771,3.364
390,0.0077,2016,0.345,13.71,10.29,-6894.25,3.4724,1.8998,8.8845,85.5983,8.5232,0.1201,50.4559,0.1201,64.0577,118.5342,1.1348,0.7916,3.3575,11.6053,51.8905,15.3042,5.8652,2.9893
391,0.0141,1919,0.294,23.2,8.64,-6203.25,2.8911,2.0083,10.076,86.4465,8.6527,0.0775,50.215,0.0775,63.9211,118.102,1.1348,1.4515,2.7468,7.6383,16.877,13.1504,4.9762,2.6763
392,0.0161,237,0.573,20.83,5.83,-4929.5,2.2984,1.9483,11.1439,85.4465,9.1855,0.1564,50.4666,0.1564,63.7996,118.579,0.9168,1.662,5.5031,8.3702,18.391,25.0945,3.9778,3.7087
393,0.014,244,0.207,15.61,5.03,-6250.25,2.7296,1.9108,8.8415,85.5455,9.2655,0.0652,50.3358,0.0652,63.8677,117.4194,1.5465,1.4441,1.9071,5.9061,30.884,6.3566,4.696,61.4165
394,0.0187,158,0.48,24.29,7.56,-6382,2.5626,1.8867,9.3598,86.4863,8.828,0.1615,50.2667,0.1615,63.9349,118.039,1.6071,1.934,4.6039,11.557,36.6088,17.2182,4.4623,3.5665
395,0.0061,795,0.519,17.02,13.21,-5226.5,2.7428,2.0223,5.726,85.5361,8.536,0.1991,50.3421,0.1991,63.9167,118.4394,1.6678,0.6269,4.992,5.1163,49.7623,10.7344,4.7169,3.5314
396,0.0121,358,0.29,19.83,5.36,-6411.75,2.592,1.8767,9.2864,84.5551,9.9964,0.0816,50.4757,0.0816,64.3827,118.022,1.6071,1.2486,2.7126,7.9443,16.1315,15.8701,4.4721,3.3165
397,0.005,806,0.412,15.71,6.77,-5453.5,2.057,2.0213,9.4832,85.3825,9.7324,0.1246,50.3716,0.1246,64.2442,118.0668,1.1348,0.5063,3.8868,7.8836,18.0148,23.3677,3.4254,2.2968
398,0.0177,667,0.488,17.16,4.88,-6487.25,3.7472,1.8855,9.9969,83.9167,9.4043,0.1342,50.4181,0.1342,64.4134,118.1592,1.5465,1.8404,4.6309,7.7206,19.1242,8.257,6.2655,2.6942
399,0.0066,365,0.252,10.74,4.52,-6465,2.8665,1.8933,8.4149,84.0746,9.3335,0.0698,50.4357,0.0698,64.3729,118.0092,1.6404,0.6777,2.3929,5.3573,33.3005,13.5791,5.0358,3.0029
400,0.006,577,0.307,19.2,3.49,-5220.25,2.7499,2.0088,9.1395,84.9715,8.6013,0.0947,50.3243,0.0947,64.0262,118.2548,1.1348,0.6183,2.9161,6.5945,22.1153,9.7424,4.7202,2.5493
401,0.0051,379,0.348,22.54,5.2,-6400.25,3.9713,1.898,9.3846,85.5983,8.5232,0.1037,50.4559,0.1037,64.0577,118.5342,1.6404,0.5176,3.3251,6.2177,37.9388,39.3867,6.8567,3.2619
402,0.0056,456,0.357,20.17,4.9,-5566.75,2.8137,2.006,9.4701,84.7529,9.0622,0.1213,50.4373,0.1213,64.2906,118.1142,1.6678,0.5748,3.4697,8.1441,23.3548,30.8985,4.9058,2.7336
403,0.0048,200,0.356,13.18,5.15,-5655.25,2.9653,1.9845,8.6033,85.5983,8.5232,0.115,50.4559,0.115,64.0577,118.5342,1.6404,0.4907,3.4144,7.7218,25.8792,28.6856,4.9901,2.6886
404,0.006,328,0.222,17.14,7.34,-6501.5,4.3026,1.8662,10.3572,84.7297,8.5177,0.0809,50.4695,0.0809,64.1615,118.2112,1.5465,0.6136,2.1311,8.7742,34.5422,7.7197,7.6137,3.0585
405,0.0091,248,0.921,16.25,7.41,-5583.25,2.6287,2.001,9.6135,86.0209,9.2328,0.2748,50.3586,0.2748,63.7799,117.7358,1.5465,0.9256,9.3434,8.4249,28.3784,41.9454,4.4791,2.7336
406,0.0145,789,0.471,23.96,10.75,-5633.25,2.591,2.008,9.2144,84.9715,8.6013,0.1515,50.3243,0.1515,64.0262,118.2548,1.6404,1.4978,4.3938,12.3125,42.7445,7.2705,4.43,2.5383
407,0.0098,288,0.352,17.97,3.85,-6572.75,2.3426,1.882,10.9374,84.5743,9.396,0.108,50.3131,0.108,63.9428,117.5134,1.4396,1.0161,3.3464,9.665,17.8406,10.3101,4.0184,2.4837
408,0.0057,324,0.942,18.35,8.39,-6271,3.8663,1.9018,4.9397,85.1712,8.5405,0.3025,50.2488,0.3025,64.1314,118.4904,1.6678,0.5832,9.3245,5.6964,41.0679,42.2854,6.7604,2.0911
409,0.0052,431,0.376,22.14,7.4,-6259.5,3.7315,1.896,8.2932,86.3857,8.8513,0.125,50.1431,0.125,63.7749,118.0906,1.1348,0.5311,3.5742,8.4806,33.98,18.2926,6.2757,3.4139
410,0.0194,344,0.288,20.8,6.8,-6418.25,2.1651,1.85,10.3183,86.106,8.7879,0.0994,49.9276,0.0994,63.9266,117.7078,1.5465,2.0182,2.7964,12.1679,38.3689,18.1478,3.6187,3.5141
411,0.0051,674,0.128,20.79,3.32,-5487.25,2.9297,2.0015,8.7938,85.5573,8.6915,0.0456,50.465,0.0456,64.1145,118.8908,1.4396,0.5238,1.1975,7.1447,38.4662,7.1441,5.1011,3.2468
412,0.0108,298,0.273,19.04,6.39,-6282.5,2.8092,1.888,9.9524,85.1712,8.5405,0.0793,50.2488,0.0793,64.1314,118.4904,1.6678,1.1136,2.58,6.9416,24.4157,29.3085,4.8218,3.9678
413,0.0119,821,0.209,15.22,6.51,-5595.75,2.4636,1.9627,9.8113,85.5361,8.536,0.0625,50.3421,0.0625,63.9167,118.4394,1.5465,1.2252,1.9868,6.3838,27.6349,19.6591,4.2162,2.5273
414,0.0101,250,1.262,18.42,5.53,-5349.75,3.3645,2.0025,11.6339,85.5265,8.659,0.3414,50.4068,0.3414,64.061,118.9532,1.4396,1.0352,12.2791,10.6145,26.5847,48.4093,5.9177,3.1343
415,0.0049,446,0.305,18.7,3.5,-5679,3.1248,2.022,8.7948,85.5573,8.6915,0.095,50.465,0.095,64.1145,118.8908,1.4396,0.5052,2.9075,5.4137,45.6256,79.3758,5.2778,3.8083
416,0.0141,413,0.251,15.9,5.47,-6449.25,3.7652,1.8815,8.6089,86.0209,9.2328,0.0741,50.3586,0.0741,63.7799,117.7358,1.6404,1.4611,2.3922,5.0422,24.8691,14.8026,6.3351,2.595
417,0.0225,953,0.428,24.67,3.97,-5469.75,3.3803,1.974,9.8218,85.5983,8.5232,0.1226,50.4559,0.1226,64.0577,118.5342,1.4396,2.3473,4.0673,9.0013,25.1472,39.3925,5.685,2.5563
418,0.0089,721,0.418,21.59,4.05,-5532.25,3.3075,1.9812,10.0347,84.2999,8.6439,0.1234,50.5795,0.1234,64.4484,119.0822,1.4396,0.9138,3.9587,10.5908,14.5663,5.5333,5.8177,2.9698
419,0.0088,271,0.982,15.4,4.99,-6554.75,1.7009,1.8817,11.5645,85.8823,8.7851,0.2834,50.1652,0.2834,63.8402,118.92,1.5147,0.9007,9.7843,11.9966,34.9571,53.2762,2.9644,3.3294
420,0.0142,490,0.437,29.22,5.98,-6489.25,3.0349,1.8862,11.3756,84.5743,9.396,0.1202,50.3131,0.1202,63.9428,117.5134,1.4396,1.4777,4.1646,8.3634,30.8174,22.4824,5.0909,2.9163
421,0.0145,472,0.986,19.33,9.06,-5563.5,3.6633,1.9992,10.8264,86.1197,9.043,0.2523,50.36,0.2523,63.8744,117.6784,1.6404,1.4959,9.7473,8.0817,13.8324,26.1411,6.1701,2.5268
422,0.0155,352,0.281,19.38,4.26,-6506.75,3.9419,1.8887,11.0891,85.8823,8.7851,0.0844,50.1652,0.0844,63.8402,118.92,1.5147,1.6145,2.7347,9.0127,35.3669,57.5692,6.6406,2.8553
423,0.0125,731,0.531,19.63,4.23,-5142.25,3.6249,1.9792,10.7662,83.8879,9.1757,0.1339,50.4244,0.1339,64.3159,118.2554,1.5147,1.2893,4.9258,9.5783,16.8203,29.962,6.0358,2.1771
424,0.0148,470,0.349,17.81,6.17,-5282.75,3.7525,1.9572,10.0673,85.4465,9.1855,0.0968,50.4666,0.0968,63.7996,118.579,1.4396,1.5308,3.23,8.5489,14.9316,14.7744,6.3277,2.3928
425,0.0097,2525,0.663,26.86,5.08,-6047,2.3805,2.0313,11.2091,85.2296,8.4421,0.2211,50.2731,0.2211,64.0899,118.4058,1.0391,0.9968,6.4369,8.6677,27.2031,8.5245,4.0941,3.1597
426,0.0111,432,0.639,10.13,6.14,-6336,2.468,1.892,11.0611,86.931,8.8384,0.1777,50.3353,0.1777,64.0776,118.7636,1.0391,1.1405,6.2226,7.7899,23.3695,27.1455,4.2412,21.2391
427,0.0112,2085,0.527,19.68,8.31,-5932,3.0568,2.0377,11.6452,84.6614,8.7994,0.1858,50.3964,0.1858,64.1107,118.921,1.0391,1.1539,5.134,9.9092,34.0058,36.306,5.3472,1.9273
428,0.0114,800,0.427,19.86,6.44,-5427.75,2.9376,1.986,11.0799,84.6614,8.7994,0.157,50.3964,0.157,64.1107,118.921,1.0391,1.1766,4.154,6.929,28.0864,38.9198,4.974,2.9624
429,0.0134,216,0.828,11.38,7.19,-6467.25,4.6301,1.8962,11.525,85.8823,8.7851,0.1973,50.1652,0.1973,63.8402,118.92,1.5016,1.3839,8.1833,8.5163,34.0384,37.7123,7.8463,2.8553
430,0.01,449,0.364,23.12,5.92,-6313.25,2.2713,1.8935,11.7629,84.2999,8.6439,0.1199,50.5795,0.1199,64.4484,119.0822,1.0391,1.0274,3.4468,9.9344,26.2992,9.8059,3.9275,2.8896
431,0.0205,243,0.112,16.34,6.39,-5471.25,2.7285,1.9777,9.0891,86.4465,8.6527,0.0378,50.215,0.0378,63.9211,118.102,1.0391,2.1387,1.0246,4.0863,18.6696,14.0055,4.6972,83.8355
432,0.0119,853,0.463,24.79,3.63,-5493.25,3.8137,1.985,10.9764,86.3849,8.7897,0.1484,50.1812,0.1484,63.8901,118.5984,1.5016,1.2304,4.3911,9.2942,17.7996,16.6927,6.5615,3.3719
433,0.0172,417,0.317,26.81,4.34,-6374.75,5.9458,1.8958,9.4417,84.0746,9.3335,0.0921,50.4357,0.0921,64.3729,118.0092,1.5016,1.7746,3.0028,8.4927,27.7469,9.6957,10.1801,2.4693
434,0.017,549,0.366,20.18,7.34,-6381.5,4.8692,1.8905,10.7618,86.1197,9.043,0.1137,50.36,0.1137,63.8744,117.6784,1.5016,1.7536,3.4408,7.5465,44.5635,12.4853,8.305,2.9018
435,0.006,508,0.316,24.42,3.51,-5313.5,2.6777,2.0235,10.4099,83.9167,9.4043,0.0973,50.4181,0.0973,64.4134,118.1592,1.5016,0.6164,2.9044,7.9464,17.69,15.1983,4.6137,2.5136
436,0.0192,993,0.186,19.07,9.29,-5474.25,2.6635,2.0275,8.9437,86.0209,9.2328,0.0595,50.3586,0.0595,63.7799,117.7358,1.5016,1.9967,1.7062,7.7469,25.903,15.3576,4.583,2.3928
437,0.0619,640,0.73,16.12,11.04,-5587.25,4.4547,2.0122,11.8,85.2764,8.7219,0.198,50.1373,0.198,63.8842,118.534,1.2918,6.4771,7.1203,8.4617,46.521,34.7905,7.5127,2.4837
438,0.0151,258,0.975,12.19,8.29,-5421.5,2.4545,1.9963,11.8497,84.2999,8.6439,0.2805,50.5795,0.2805,64.4484,119.0822,1.2918,1.5732,9.5721,11.2103,33.9002,47.8971,4.1916,51.2299
439,0.0187,381,0.377,14.08,5.06,-6256.5,2.9894,1.889,10.4232,85.1059,8.5987,0.1145,50.5025,0.1145,64.3081,119.1156,1.2918,1.9578,3.6735,8.6654,21.9121,17.7634,5.1035,64.8263
440,0.018,202,0.359,14.04,4.85,-6370.75,2.9685,1.9007,10.543,85.2296,8.4421,0.1213,50.2731,0.1213,64.0899,118.4058,1.2918,1.8707,3.4913,7.0534,22.7775,30.059,5.0397,170.0204
441,0.0155,485,0.388,27.32,6.18,-5311.5,2.1427,1.9535,10.4452,85.1059,8.5987,0.1305,50.5025,0.1305,64.3081,119.1156,1.2918,1.6072,3.7426,6.8514,22.7792,40.5725,3.7197,3.1309
442,0.0134,713,0.206,11.45,5.1,-6264,3.5446,1.8932,8.5549,86.8866,8.8505,0.0611,50.4036,0.0611,64.0557,118.808,1.2479,1.3776,1.8883,5.9176,19.1584,25.4847,5.9978,2.5651
443,0.0127,1454,0.345,14.68,10.46,-4750.75,3.763,1.992,11.0518,85.5573,8.6915,0.099,50.465,0.099,64.1145,118.8908,0.9471,1.3155,3.3282,7.9976,43.623,18.6817,6.3493,60.9374
444,0.0133,1216,1.063,19.6,16.76,-5879.75,3.931,1.9888,10.8794,85.5265,8.659,0.3029,50.4068,0.3029,64.061,118.9532,1.2479,1.375,10.3728,15.0743,79.365,79.8723,6.7555,3.5751
445,0.0129,295,1.126,11.94,7.7,-5433.25,3.227,2.025,10.9643,85.2296,8.4421,0.4506,50.2731,0.4506,64.0899,118.4058,1.2479,1.332,11.3534,8.7683,30.3533,57.3869,5.6271,3.3051
446,0.023,286,1.11,11.37,6.49,-6443.5,2.1072,1.882,9.4743,84.7228,9.5689,0.3627,50.4579,0.3627,64.0806,117.4208,1.2918,2.3988,11.0249,7.9218,18.7045,22.8082,3.5583,2.4528
447,0.0143,634,0.412,20.55,6.26,-5468.75,2.5676,2.0068,11.4061,86.3849,8.7897,0.1204,50.1812,0.1204,63.8901,118.5984,0.9471,1.4735,3.9681,8.5093,17.5474,16.8649,4.3127,3.4848
448,0.0194,909,0.555,23.83,13.33,-5410.5,2.6655,1.9875,9.9818,86.4541,8.5687,0.1501,50.2843,0.1501,64.0072,118.2032,1.2479,2.02,5.2234,13.4643,34.5324,13.8483,4.6364,2.9771
449,0.0065,742,0.341,18.9,5.82,-6375.75,5.0419,1.8735,9.6326,85.5573,8.6915,0.0981,50.465,0.0981,64.1145,118.8908,1.2479,0.6628,3.167,6.9517,19.2828,16.4183,8.7281,2.7261
450,0.0165,384,1.107,13.26,9.11,-6421,2.7155,1.8915,9.255,84.0746,9.3335,0.4516,50.4357,0.4516,64.3729,118.0092,1.0391,1.6959,11.2605,8.9114,24.1289,61.3449,4.6602,3.4423
451,0.0122,347,0.462,18.22,5.78,-6507.5,1.835,1.8755,11.8933,85.7103,8.5251,0.1536,50.3808,0.1536,64.2481,118.1552,1.6323,1.267,4.5312,10.7752,36.2756,15.4905,3.2022,3.4041
452,0.0137,132,0.564,17.33,4.16,-6461,3.3584,1.8702,10.6789,85.7103,8.5251,0.1762,50.3808,0.1762,64.2481,118.1552,1.6323,1.4277,5.4293,8.9522,19.7171,8.7525,5.6383,3.4041
453,0.0132,574,0.257,21.01,6.24,-5411.5,3.3492,2.0008,10.3068,85.7103,8.5251,0.0788,50.3808,0.0788,64.2481,118.1552,1.6323,1.3733,2.4835,7.2873,45.8916,15.1578,5.6531,3.4041
454,0.0148,400,0.528,10.66,5.7,-6409.5,1.9135,1.8835,4.4974,85.7103,8.5251,0.157,50.3808,0.157,64.2481,118.1552,1.6323,1.5321,5.0458,9.25,33.6622,11.2202,3.2633,2.5516
455,0.0083,790,1.132,18.05,5.16,-5546.5,2.0987,1.9945,5.2507,85.7103,8.5251,0.3428,50.3808,0.3428,64.2481,118.1552,1.7398,0.8588,11.0913,9.2295,35.6821,14.751,3.5852,2.2021
456,0.0078,347,0.483,12.79,4.95,-6466.25,3.5694,1.883,4.5995,85.4112,8.6005,0.1506,50.4016,0.1506,64.0546,119.239,0.8402,0.7993,4.6231,8.8766,37.684,17.3173,6.1555,2.6016
457,0.0109,816,6.541,21.63,5.02,-5430,15.5844,2.0072,12.2044,84.6614,8.7994,2.6566,50.3964,2.6566,64.1107,118.921,0.8402,1.1257,62.5666,135.8589,354.4169,137.4644,27.6461,2.996
458,0.0105,318,0.386,15.21,4.32,-5183,3.32,1.9852,11.522,84.2212,9.2047,0.109,50.1936,0.109,64.0841,118.034,1.4405,1.079,3.6918,8.1291,18.7253,25.0665,5.6743,3.1515
459,0.0108,414,0.486,17.94,4.86,-5353.25,3.2089,1.9955,10.8304,85.47965271,9.040155156,0.1429,50.57716365,0.1429,64.58373857,118.7536639,1.4405,1.1093,4.6948,7.8786,21.1431,40.7848,5.4265,3.2663
460,0.0076,2414,0.179,16.89,3.43,-5763.75,3.1319,1.9805,8.9392,85.3825,9.7324,0.0543,50.3716,0.0543,64.2442,118.0668,1.4405,0.7851,1.6892,7.0856,25.5242,10.7672,5.4855,2.8107
461,0.0069,414,0.289,22.4,4.63,-5474.75,3.3127,1.995,9.1491,85.0066,9.6938,0.1042,50.366,0.1042,64.2263,118.0446,1.4405,0.7087,2.7762,9.4397,26.6396,53.5583,5.8273,2.1987
462,0.011,1905,0.725,13.87,7.42,-6211.25,1.9426,2.017,9.1067,85.822,9.0776,0.245,50.4667,0.245,64.059,118.0494,1.4405,1.1351,7.4264,7.8432,47.0085,24.8971,3.3208,3.3373
463,0.0042,299,0.187,11.6,7.55,-6252.75,1.8929,1.909,9.6858,85.5528,8.9546,0.0604,50.458,0.0604,64.1864,118.6376,1.2142,0.4251,1.7969,7.0155,29.476,10.2286,3.2241,3.5425
464,0.0172,354,0.403,20.65,6.03,-5288.5,2.1877,2.0053,11.7492,85.4112,8.6005,0.13,50.4016,0.13,64.0546,119.239,0.8402,1.7897,3.8111,8.816,28.1088,19.5574,3.6737,2.7255
465,0.0072,867,0.223,21.16,8.13,-5328,3.8667,1.982,9.0432,85.1669,8.3324,0.0686,50.4421,0.0686,64.154,118.4616,1.2142,0.737,2.1412,9.2581,35.0248,16.4067,6.6056,3.2322
466,0.0131,588,4.985,37.98,9.41,-6334.5,2.3711,1.8918,9.1266,86.8866,8.8505,1.6184,50.4036,1.6184,64.0557,118.808,0.8402,1.3557,42.584,78.762,189.7559,274.8871,4.1001,53.3553
467,0.0144,424,0.347,21.12,5.91,-5711,3.0673,2.0275,11.7333,83.7263,8.7867,0.1218,50.198,0.1218,64.0159,118.6914,1.2142,1.4885,3.3442,9.529,29.1922,12.6899,5.45,2.8686
468,0.0162,822,0.556,14.77,5.81,-5662.25,1.8846,1.9898,4.4308,85.7103,8.5251,0.1508,50.3808,0.1508,64.2481,118.1552,1.5604,1.6923,5.1796,12.7829,22.1588,10.0895,3.2251,2.7962
469,0.0055,415,0.334,17.92,10.61,-6310.25,2.0792,1.885,11.3511,85.1059,8.5987,0.1157,50.5025,0.1157,64.3081,119.1156,1.2142,0.5648,3.1697,9.5734,42.2937,49.0902,3.5402,1.8645
470,0.0138,1308,1.261,18.48,5.99,-5686.75,3.1682,2.0177,11.5257,86.3849,8.7897,0.3459,50.1812,0.3459,63.8901,118.5984,1.2142,1.4319,12.3123,8.2315,32.5054,19.8304,5.5395,3.9453
471,0.0047,904,0.245,19.72,3.57,-5402.5,1.8845,2.0198,8.7621,85.1669,8.3324,0.0767,50.4421,0.0767,64.154,118.4616,1.4405,0.4759,2.309,5.0131,41.1788,17.638,3.3698,2.5429
472,0.0137,427,0.923,19.42,3.86,-6539.75,2.4454,1.8845,10.9334,84.8892,8.7418,0.2918,50.2052,0.2918,63.9238,118.7802,1.2304,1.4171,9.1424,9.4625,17.4105,10.3621,4.2402,2.582
473,0.0039,403,0.505,17.91,4.04,-6389.5,2.2045,1.8922,11.0326,83.6359,9.7836,0.1562,50.2716,0.1562,64.1163,117.9252,1.4405,0.3971,4.8246,8.8586,24.274,14.1404,3.7611,2.9117
474,0.0052,581,0.914,17.06,3.23,-6468,2.3135,1.885,9.9152,85.822,9.0776,0.325,50.4667,0.325,64.059,118.0494,1.3424,0.527,9.3948,7.4637,13.0001,17.3346,3.978,1.819
475,0.0164,1261,0.939,15.07,3.99,-5649.5,2.0635,2.0092,11.5907,83.7738,8.6427,0.3026,50.1799,0.3026,64.2704,118.5748,1.2142,1.705,9.3775,9.291,28.7879,9.1007,3.5288,1.8131
476,0.0194,444,0.247,19.17,4.79,-6505.5,2.8427,1.886,9.4666,86.4541,8.5687,0.0775,50.2843,0.0775,64.0072,118.2032,1.4405,2.0235,2.248,10.8129,13.3967,10.1443,4.8349,2.7239
477,0.012,2987,0.976,21.5,10.03,-4599.25,1.924,2.0095,11.1626,84.7226,8.9635,0.2798,50.5609,0.2798,64.2798,118.5886,1.4405,1.2322,9.3102,7.238,28.0334,20.0185,3.436,3.2464
478,0.0068,1146,0.858,21.96,16.31,-5330,1.94,1.9983,5.563,86.0936,8.5891,0.2426,50.4484,0.2426,64.1358,119.1796,1.3424,0.697,8.1111,29.3735,79.3887,64.6457,3.3583,2.6016
479,0.0148,186,0.91,18.36,5.18,-6456.75,3.242,1.905,10.8718,84.8892,8.7418,0.2458,50.2052,0.2458,63.9238,118.7802,1.2304,1.5403,8.968,6.2661,35.788,14.675,5.8047,3.4013
480,0.0115,491,0.721,15.24,4.77,-6347.75,3.5568,1.8845,10.7875,85.1059,8.5987,0.226,50.5025,0.226,64.3081,119.1156,0.9343,1.1866,7.034,8.9584,25.1327,18.543,6.0027,3.3423
481,0.0177,423,0.319,11.72,4.22,-6426.5,2.8201,1.875,8.8509,87.4809,8.6829,0.0963,59.7711,0.0963,79.2786,133.3898,1.5604,1.8197,3.0303,5.3927,26.0175,11.2167,4.77,2.595
482,0.0076,582,0.196,18.53,4.78,-6624,2.7152,1.8725,9.1445,85.2764,8.7219,0.0593,50.1373,0.0593,63.8842,118.534,1.2304,0.781,1.8026,5.2855,16.5682,16.83,4.5993,3.6555
483,0.0072,759,0.281,15.62,4.85,-5305.5,2.684,1.9605,8.5587,85.3825,9.7324,0.0926,50.3716,0.0926,64.2442,118.0668,1.5604,0.7446,2.6256,7.0014,33.6776,40.7892,4.6823,2.719
484,0.0144,291,0.288,22.18,5.5,-6310.25,2.9246,1.8818,9.2016,84.2999,8.6439,0.0854,50.5795,0.0854,64.4484,119.0822,0.8402,1.4873,2.826,7.6789,35.0599,41.1449,5.1981,2.7238
485,0.0111,546,0.788,9.33,7.95,-6406.25,2.2366,1.8847,9.1321,84.2999,8.6439,0.2952,50.5795,0.2952,64.4484,119.0822,1.3424,1.1433,7.9313,6.1672,52.538,22.8576,3.8063,1.8131
486,0.0138,237,0.683,23.15,4.5,-6329.75,2.5814,1.8855,10.9381,86.5513,8.8043,0.2302,50.3197,0.2302,64.056,119.1674,0.9343,1.4371,6.6632,7.4056,32.9549,13.3046,4.4259,2.8915
487,0.0151,2567,0.7,22.06,5.28,-5874.25,2.6523,2.0245,11.7174,85.2227,8.5288,0.2458,50.4747,0.2458,64.1901,119.2928,1.5604,1.56,6.7504,12.7828,19.976,10.8006,4.4996,2.2021
488,0.0043,90,0.338,21.37,5.99,-5459,2.1781,2,11.7154,84.6614,8.7994,0.1174,50.3964,0.1174,64.1107,118.921,1.4405,0.4382,3.2373,6.7682,29.9019,19.9054,3.7036,2.4428
489,0.0089,251,0.975,20.85,4.74,-5545.75,2.9576,1.9968,10.181,85.1059,8.5987,0.2698,50.5025,0.2698,64.3081,119.1156,0.9343,0.9094,9.5801,7.8352,16.9789,9.7025,5.1246,3.1437
490,0.0114,696,0.626,25.78,9.5,-6225.75,2.1159,1.8842,12.2695,84.2999,8.6439,0.1849,50.5795,0.1849,64.4484,119.0822,0.9343,1.1721,6.027,8.4524,23.7748,17.3119,3.5461,2.252
491,0.0088,322,0.299,11.39,4.97,-6260.75,2.9572,1.8995,9.3982,85.2626,8.4092,0.0825,50.4562,0.0825,64.2111,118.4666,1.2304,0.9092,2.8712,5.6176,17.4724,9.6535,5.1265,3.1242
492,0.0072,937,1.666,9.82,12.84,-5607.25,3.3558,2.016,6.2683,83.7263,8.7867,0.4692,50.198,0.4692,64.0159,118.6914,0.9666,0.737,15.5905,28.7871,61.4473,26.401,5.7379,3.2845
493,0.0152,1692,0.456,26.44,5.45,-5723.5,3.1132,2.009,11.7454,86.5513,8.8043,0.1378,50.3197,0.1378,64.056,119.1674,0.9343,1.5762,4.4211,10.3255,36.6247,31.4197,5.2575,2.598
494,0.0104,1009,0.377,18.41,5.1,-5628,2.6836,2.036,10.7103,86.3849,8.7897,0.1198,50.1812,0.1198,63.8901,118.5984,0.9343,1.068,3.6388,9.538,19.7191,12.1443,4.6227,2.6151
495,0.0043,666,0.465,16.46,8.79,-5669.75,3.23,2.0012,9.1142,85.5528,8.9546,0.1558,50.458,0.1558,64.1864,118.6376,1.5604,0.4391,4.5141,9.2614,40.0737,17.2766,5.4859,2.8777
496,0.0123,669,1.219,16.98,8.69,-6326,2.0688,1.8842,10.9154,85.4112,8.6005,0.3531,50.4016,0.3531,64.0546,119.239,0.9343,1.2765,11.7758,9.9486,21.347,9.763,3.5334,2.8605
497,0.0533,862,0.465,18.69,4.52,-6371,1.9166,1.882,11.3435,86.5513,8.8043,0.1642,50.3197,0.1642,64.056,119.1674,1.2142,9.2069,4.5454,9.7068,18.7792,9.0546,3.256,64.0858
498,0.0055,384,0.276,21.73,9.65,-6344.25,2.0056,1.8775,8.0414,85.822,9.0776,0.0812,50.4667,0.0812,64.059,118.0494,1.5604,0.5582,2.6512,5.1888,29.6979,23.1225,3.4512,3.0053
499,0.005,330,0.439,27.08,5.9,-5409,2.1807,1.9643,9.4257,84.2212,9.2047,0.1332,50.1936,0.1332,64.0841,118.034,1.4988,0.5108,4.1877,8.7105,48.7202,13.7705,3.7857,3.535
500,0.0049,887,0.23,17.14,7.32,-5246.75,3.0294,1.9832,6.9128,85.822,9.0776,0.072,50.4667,0.072,64.059,118.0494,1.4988,0.4986,2.2103,6.428,32.3238,19.5625,5.2285,2.7962
501,0.0196,247,0.675,18.64,7.97,-5697.5,2.0013,1.9937,8.5869,84.9334,8.5459,0.2023,50.4349,0.2023,64.1179,118.4652,1.3424,2.0403,6.5152,10.6541,45.2676,14.3833,3.3906,2.8935
502,0.0151,992,1.105,24.09,5.99,-5933.25,2.5707,2.013,11.4179,86.3849,8.7897,0.3112,50.1812,0.3112,63.8901,118.5984,1.4988,1.5624,10.6859,7.0627,22.9987,12.9335,4.4038,3.4983
503,0.0165,352,0.447,24.03,3.86,-6338.25,1.8662,1.8815,11.7374,85.4112,8.6005,0.1365,50.4016,0.1365,64.0546,119.239,0.689,1.711,4.276,9.1209,18.4196,29.5989,3.2506,2.5286
504,0.0045,357,0.491,16.32,3.45,-6350.25,3.1386,1.8927,11.5596,85.5265,8.659,0.1603,50.4068,0.1603,64.061,118.9532,1.4988,0.4568,4.7973,11.6435,28.266,11.161,5.5407,2.2021
