,F153,F159,F198,F200,F201,F21,F26,F273,F319,F32,F33,F334,F337,F34,F35,F39,F4,F407,F411,F426,F470,F474,F476,F525,F550,F551,F553,F554,F556,F557,F569,F572,F573
267,0.0189,426,0.246,17.82,3.62,-6198.5,1.916,19.2121,8.802,85.5455,9.2655,0.0855,1.0987,50.3358,63.8677,117.4194,1.3714,1.846,2.3881,1.9672,2.3268,19.1289,20.631,5.5832,16.64,2.3,8.1278,0.8589,4.1511,2.8233,18.0015,6.97,0.2079
268,0.0219,571,0.397,11.79,4.1,-5711,2.0155,23.3716,5.5373,85.3625,8.5952,0.1223,1.4096,50.3491,64.0145,118.227,1.816,0.848,3.3069,2.2858,3.8056,18.436,18.2185,3.7695,18.81,0.98,8.728,0.4486,4.5993,1.2883,,10.5,0.2966
269,0.0196,3548,0.385,9.73,5.08,-5657.5,1.886,23.3716,9.3644,86.3239,9.5642,0.1107,1.6887,50.3645,63.9038,117.5064,1.816,1.2353,3.3069,2.0383,3.7205,33.0555,24.781,4.5193,,,,,,,,7.43,0.1953
270,0.0189,891,0.348,15.09,3.78,-6528.5,1.8877,20.3003,9.5249,85.1712,8.5405,0.0878,1.2686,50.2488,64.1314,118.4904,1.705,1.846,2.8119,1.9653,3.3271,18.0509,11.3249,6.5248,21.17,1.41,9.3655,0.6123,5.1637,1.7856,,9.88,0.3116
271,0.0153,345,0.302,17.87,7.67,-6363,1.8893,18.6341,10.0419,86.3239,9.5642,0.1079,2.3942,50.3645,63.9038,117.5064,0.9197,0.848,2.4197,1.5739,2.8367,22.4783,8.3401,9.5739,15.11,0.83,7.5048,0.4136,3.7787,0.9991,,10.32,0.169
272,0.0058,292,0.306,19.64,6.77,-6334.25,1.8987,17.9394,9.2067,85.6608,9.5713,0.0981,2.0387,50.3999,64.1016,118.0156,0.7367,1.846,2.1618,0.5936,2.9461,41.7428,46.3167,3.2952,,,,,,,,8.85,0.2376
273,0.0175,524,0.503,17.66,6.91,-6431.75,1.8763,23.3716,5.3233,83.9167,9.4043,0.1547,2.1899,50.4181,64.4134,118.1592,1.816,1.846,3.3069,1.8196,4.7822,24.9371,48.6252,4.2766,13.83,1.8,6.3704,0.7505,3.4182,2.2389,,8.02,0.3561
274,0.0199,921,0.59,14.11,4.85,-5410,1.9998,18.6341,10.0918,85.6608,9.5713,0.1617,1.3225,50.3999,64.1016,118.0156,0.9197,1.846,2.4197,2.073,5.7151,24.2123,40.2102,7.1268,17.4,1.32,7.8393,0.6415,4.2938,1.6917,,8.88,0.3556
275,0.0188,833,10.017,199.62,25.06,-5677.5,2.0337,18.6341,4.9342,83.8879,9.1757,3.4125,11.1972,50.4244,64.3159,118.2554,0.9197,0.848,2.4197,1.9481,87.1347,211.5006,157.1088,3.6919,21.39,1.97,9.5487,0.731,5.1924,2.5913,,274.87,1.6228
276,0.0049,1065,0.375,22.85,8.02,-5848.5,2.0257,23.3716,9.5452,86.4863,8.828,0.1018,2.3183,50.2667,63.9349,118.039,1.816,0.848,3.3069,0.5011,3.6411,42.1613,16.5601,3.2614,21.03,1.46,8.9078,0.6784,5.2496,1.8248,15.4662,10.41,0.2227
277,0.007,1310,0.878,22.45,9.83,-5392.25,2.0088,17.9394,5.3055,85.1817,8.6211,0.2415,2.9479,50.2667,63.9846,118.4106,0.7367,1.846,2.1618,0.723,8.6354,27.4153,17.4445,4.8923,15.2,1.25,6.4626,0.4576,3.7361,1.6066,31.0204,9.79,0.4351
278,0.0226,522,0.138,16.4,5.26,-6350.5,1.9058,19.2121,10.8329,85.4451,8.5788,0.0481,1.5955,50.2484,63.9261,118.3794,1.3714,1.3798,2.3881,2.3585,1.2743,20.5682,24.5359,2.3467,14.29,1.39,6.9752,0.5968,3.5086,1.8006,7.65,6.5,0.3882
279,0.0163,379,0.89,18.2,9.15,-6277.75,1.9095,23.3716,5.0657,85.4451,8.5788,0.2646,2.6557,50.2484,63.9261,118.3794,1.816,1.6097,3.3069,1.687,8.6517,33.3307,23.2068,5.3118,13.46,1.12,6.1877,0.5344,3.3049,1.3989,24.523,7.51,0.3486
280,0.0211,882,0.382,17.7,7.7,-5421.5,2.0107,19.0836,9.672,85.5455,9.2655,0.1051,2.2509,50.3358,63.8677,117.4194,0.7679,1.3798,2.4482,2.1957,3.5591,20.3493,5.3981,7.6501,16.96,0.57,7.6146,0.2163,4.1392,0.7698,,6.96,0.1517
281,0.0073,5081,0.241,20.15,4.13,-5316.75,1.9845,23.3716,8.8665,92.072,8.9416,0.0815,1.053,59.3488,78.254,132.5378,1.816,1.3798,3.3069,0.7516,2.3262,18.5361,31.0719,3.225,16.97,2.31,8.1118,1.0041,4.1745,3.0095,,9.81,0.2603
282,0.018,839,0.332,15.96,4.13,-5242.25,2.0135,18.4995,8.8703,83.8879,9.1757,0.0939,1.0836,50.4244,64.3159,118.2554,1.3101,1.6097,2.1311,1.8575,3.1624,15.9242,18.1271,2.6321,,,,,,,,7.07,0.3547
283,0.0067,712,0.229,17.75,6.21,-5751.5,1.9952,17.221,9.4802,84.533,8.872,0.0823,1.7197,50.3074,64.1215,118.0124,1.3259,0.8411,2.1461,0.6843,2.1824,29.5798,11.4557,3.8947,,,,,,,40.1714,7.83,0.1777
284,0.0206,178,0.38,24.79,3.16,-6459.75,1.9085,29.201,9.5494,85.0841,8.6406,0.1116,1.1073,50.0757,63.7959,118.563,1.5899,1.5939,4.294,2.1467,3.6306,27.9264,20.2733,4.8544,,,,,,,,9.62,0.3258
285,0.0197,572,0.386,18.73,4.73,-5328.25,2.0165,17.221,9.3081,86.3416,9.219,0.1187,1.5726,50.5347,64.0969,117.4196,1.3259,1.5939,2.1461,2.0481,3.6119,22.5961,10.1554,4.9393,11.81,0.4,4.9058,0.1679,2.9788,0.5423,,5.8,0.2288
286,0.0159,326,0.783,17.37,7.07,-6345,1.9065,17.221,5.0149,85.9034,9.2171,0.2788,2.2355,50.4176,64.0491,117.3928,1.3259,0.8411,2.1461,1.6454,7.6548,24.9638,13.5788,5.2534,11.76,1.35,5.494,0.5358,2.8431,1.857,,7.56,0.3092
287,0.0092,635,0.273,17.65,4.14,-5302.75,1.993,29.201,9.0653,86.106,8.7879,0.0857,1.3982,49.9276,63.9266,117.7078,1.5899,1.5939,4.294,0.948,2.5911,20.0985,12.1741,5.1342,23.96,0.7,10.8987,0.2765,5.8886,0.8475,44.1228,8.88,0.2485
288,0.0174,439,0.186,20.6,3.46,-5413,2.0245,29.201,8.7029,84.533,8.872,0.0616,1.0201,50.3074,64.1215,118.0124,1.5899,0.8411,4.294,1.7945,1.7587,18.5526,16.4223,6.937,21.72,0.78,10.2191,0.3679,5.3767,0.9781,14.8211,7.91,0.2073
289,0.0065,899,0.31,22.02,2.81,-5228.25,2.0128,24.3718,9.8143,84.3232,8.5218,0.0894,0.8894,50.3583,64.2803,118.102,0.8396,1.3597,3.4346,0.6689,2.9721,15.7615,52.8998,4.936,19.75,0.62,9.5199,0.2773,4.8328,0.8165,24.6737,11.68,0.3384
290,0.0194,456,0.555,11.34,10.42,-6322,1.898,17.9394,5.0896,85.0856,8.6324,0.1639,2.633,50.0906,64.1658,117.802,0.7367,0.8411,2.1618,2.0058,5.4037,38.3401,24.5866,4.5054,19.69,1.27,8.1373,0.5428,4.8166,1.6041,,7.18,0.3771
291,0.018,570,0.22,18.45,6.67,-6278.5,1.8873,18.6341,10.4152,85.5455,9.2655,0.0564,1.8195,50.3358,63.8677,117.4194,0.9197,1.6097,2.4197,1.8646,2.1038,16.6801,10.1597,5.7538,15.08,2.24,6.4433,0.8682,3.7725,2.7583,,6.98,0.164
292,0.0062,524,0.314,17.3,6.1,-5485.25,1.98,29.201,9.3399,86.4465,8.6527,0.1041,1.9011,50.215,63.9211,118.102,1.5899,0.8411,4.294,0.6342,3.0034,32.3435,18.0981,4.2932,,,,,,,18.5256,6.8,0.2055
293,0.0239,1172,0.413,21.47,8.86,-5429,2.018,17.221,10.6709,83.8879,9.1757,0.1391,2.554,50.4244,64.3159,118.2554,1.3259,0.9231,2.1461,2.4973,3.899,31.1119,9.7245,4.4695,15.56,0.75,7.5372,0.2924,3.8031,1.0186,26.5913,9.2,0.2181
294,0.0171,238,0.276,14.95,3.84,-5278,2.002,19.0836,9.2578,84.3232,8.5218,0.073,1.1382,50.3583,64.2803,118.102,0.7679,1.6097,2.4482,1.7694,2.6705,41.3896,6.1709,4.9449,17.08,0.76,8.3167,0.3386,4.2622,1.021,,5.32,0.1566
295,0.0253,401,0.459,15,9.87,-5143.5,1.9975,29.201,5.1048,86.3239,9.5642,0.1595,2.9013,50.3645,63.9038,117.5064,1.5899,0.9231,4.294,2.649,4.4466,43.4972,23.8203,4.7601,18.75,1.12,8.6266,0.4747,4.613,1.4774,,7.06,0.5551
296,0.0226,219,0.213,9.38,3.52,-6483.75,1.8942,19.9141,9.5327,85.0841,8.6406,0.0617,1.1787,50.0757,63.7959,118.563,1.5611,1.5939,2.5,2.3645,2.0567,27.2251,16.6131,2.8026,17.83,1.29,8.0073,0.4795,4.4545,1.7681,,10.44,0.27
297,0.0161,361,0.271,21.02,7.91,-6338.75,1.8965,19.2121,9.8556,86.0209,9.2328,0.0784,2.4154,50.3586,63.7799,117.7358,1.3714,1.3366,2.3881,1.6655,2.4896,14.7285,14.0901,4.0363,,,,,,,15.4662,9.5,0.2715
298,0.0244,1444,0.238,13.68,5.7,-5486.25,1.994,24.3718,8.8142,85.564,9.7484,0.0783,1.687,50.0781,63.7678,118.244,0.8396,0.9231,3.4346,2.5527,2.2783,31.7735,15.5441,5.1003,11.77,0.71,4.7492,0.2964,2.9484,0.8659,,8.26,0.3934
299,0.0055,286,0.189,17.62,5.51,-6463.25,1.8912,24.3718,10.319,84.742,9.2291,0.0611,1.5489,50.4582,64.3409,118.0744,0.8396,,3.4346,0.5652,1.8489,18.4316,12.5411,5.7406,16.61,1.38,6.5212,0.5464,4.0033,1.8721,16.6766,8.65,0.1435
300,0.0195,722,0.349,23.8,2.98,-5398.5,2.039,19.4284,8.8135,86.3416,9.219,0.1155,0.9286,50.5347,64.0969,117.4196,1.6025,1.2963,2.8014,2.0216,3.3131,14.0371,63.2242,4.2116,,,,,,,55.2842,9.5,0.2715
301,0.007,436,0.366,27.96,4.22,-6294.25,1.8905,19.0836,8.4406,85.1712,8.5405,0.1012,1.4516,50.2488,64.1314,118.4904,0.7679,0.9045,2.4482,0.7148,3.4466,19.8329,23.8072,3.7596,23.45,0.35,10.2173,0.1283,5.8327,0.4786,33.5237,8.21,0.245
302,0.0162,303,0.189,16.57,6.59,-6380,1.9027,20.7648,9.0519,85.2666,9.2433,0.0638,1.9167,50.4042,64.0385,117.422,1.4292,0.9045,2.5324,1.6653,1.7327,26.7932,5.6207,5.4077,,,,,,,11.0648,129.12,0.6282
303,0.0238,620,0.312,27.17,4.91,-6205,1.8885,23.7238,10.3383,85.1817,8.6211,0.0949,1.18,50.2667,63.9846,118.4106,0.901,0.9045,3.5827,2.4842,2.9471,21.1752,12.6624,4.6206,17.85,0.65,7.8481,0.2993,4.4372,0.8892,,12.4,0.1699
304,0.0127,2467,0.278,21.9,6.18,-6349,2.0055,19.9141,9.441,84.9334,8.5459,0.0873,1.6402,50.4349,64.1179,118.4652,1.5611,0.9045,2.5,1.3064,2.6737,34.1272,28.4292,5.5023,12.6,1.08,5.5119,0.5391,3.114,1.3525,28.1054,8.43,0.3138
305,0.018,355,0.125,17.95,10.94,-6237.25,1.8985,19.0836,8.6219,84.533,8.872,0.0413,3.6748,50.3074,64.1215,118.0124,0.7679,0.9045,2.4482,1.8717,1.1258,24.0456,15.869,6.2825,21.98,1.29,10.8511,0.5619,5.4262,1.7511,,7.35,0.3731
306,0.0221,974,0.214,13.86,4.79,-5523.75,1.997,20.7648,9.4058,86.106,8.7879,0.0759,1.5431,49.9276,63.9266,117.7078,1.4292,0.9045,2.5324,2.3045,2.0398,29.6613,19.937,2.9467,17.84,0.76,8.064,0.2928,4.4072,0.9556,18.5608,9.48,0.3483
307,0.0069,1106,0.619,13.97,14.83,-5418,1.9828,29.201,5.8709,85.3625,8.5952,0.218,4.4283,50.3491,64.0145,118.227,1.5899,0.9045,4.294,0.7137,6.0135,54.3506,17.7641,6.3558,,,,,,,,8.35,0.3425
308,0.0059,370,0.329,19.3,6.03,-5255.75,2.0223,29.201,9.445,85.5361,8.536,0.1037,1.8461,50.3421,63.9167,118.4394,1.5899,0.9045,4.294,0.6021,3.1217,14.8104,17.2292,7.0269,,,,,,,,11.78,0.2684
309,0.0061,518,0.552,10.39,10.95,-6406.25,1.8885,17.9394,4.9354,85.1712,8.5405,0.163,2.9671,50.2488,64.1314,118.4904,0.7367,1.3597,2.1618,0.6224,5.1954,25.1766,7.7212,5.4659,,,,,,,21.2623,8.37,0.4917
310,0.021,436,0.205,24.56,3.47,-6314,1.8807,29.201,8.5666,85.1817,8.6211,0.0765,1.0743,50.2667,63.9846,118.4106,1.5899,0.9231,4.294,2.1849,1.9483,19.798,26.2429,5.1173,13.82,0.91,5.7444,0.3745,3.3806,1.1725,22.0298,9.78,0.4203
311,0.0178,779,0.222,18.93,4.59,-5745,1.969,29.201,9.3868,87.4809,8.6829,0.0557,1.5912,59.7711,79.2786,133.3898,1.5899,0.9889,4.294,1.8366,2.0993,21.9815,8.0635,6.1657,26.62,1.32,11.2556,0.5697,6.4908,1.7362,24.2943,10.08,0.3476
312,0.0217,396,0.249,17.56,8.2,-6470,1.8868,23.7238,9.0224,85.564,9.7484,0.0952,2.6233,50.0781,63.7678,118.244,0.901,1.076,3.5827,2.2697,2.3013,21.7808,14.7358,3.0087,11.73,1.11,5.5326,0.4604,2.851,1.495,33.5018,6.79,0.4113
313,0.0228,1841,0.773,17.12,13.01,-5324,2.0208,23.7238,5.1863,92.072,8.9416,0.2429,3.6513,59.3488,78.254,132.5378,0.901,1.076,3.5827,2.3801,7.5909,47.1286,20.4062,5.7004,,,,,,,25.5291,7.3,0.1571
314,0.0234,608,0.18,19.39,7.85,-5613.5,1.9855,19.8332,10.6637,83.8879,9.1757,0.0576,2.1368,50.4244,64.3159,118.2554,1.5925,1.076,2.7496,2.448,1.6413,13.0793,11.7703,4.2781,22.32,0.71,9.9319,0.3283,5.4587,0.9263,10.2763,9.62,0.4845
315,0.0204,486,0.278,18.04,2.96,-6312.25,1.8965,19.8332,8.5557,85.482,9.3998,0.0768,0.9556,50.4069,64.2033,118.3028,1.5925,1.076,2.7496,2.1254,2.6166,25.8454,35.0417,5.7115,21.37,0.93,10.098,0.3668,5.2149,1.201,22.0854,8.38,0.1945
316,0.0044,749,0.607,20.2,4.75,-5516.75,1.9828,24.3718,9.9311,84.7529,9.0622,0.2208,1.5973,50.4373,64.2906,118.1142,0.8396,1.3597,3.4346,0.454,5.9833,37.5554,29.4104,3.7344,17.9,1.05,7.7858,0.4993,4.4321,1.2721,11.7694,7.55,0.44
317,0.0232,487,0.297,18.28,4.26,-5411.25,1.9995,18.3784,9.2578,86.3857,8.8513,0.1052,1.6382,50.1431,63.7749,118.0906,1.3886,1.5939,2.4074,2.4264,2.8767,23.1151,17.964,2.5568,,,,,,,15.4662,6.3,0.2759
318,0.0079,505,0.416,14.63,6.57,-5194,2.005,19.9141,10.7059,92.072,8.9416,0.1309,2.0131,59.3488,78.254,132.5378,1.5611,1.325,2.5,0.8101,4.0346,46.0699,18.6758,5.6033,15.4,0.47,6.7612,0.2143,3.7716,0.6403,39.2062,6.62,0.3094
319,0.0141,583,0.397,16.37,5.01,-5742.25,2.0143,18.6343,9.9001,84.8399,8.5266,0.1138,1.3741,50.2925,64.0317,117.918,1.399,0.9231,2.2605,1.4487,3.8316,18.4898,8.8421,5.6306,22.54,1.67,9.041,0.6641,5.509,2.199,14.4055,6.3,0.2759
320,0.0103,515,0.263,13.93,3.72,-6253.5,1.8887,19.8332,9.5783,84.3575,8.531,0.0715,1.2465,50.4338,64.2467,117.9108,1.5925,1.0342,2.7496,1.053,2.5076,26.7459,22.8856,9.802,,,,,,,11.5759,277.11,0.7443
321,0.0193,1359,0.919,14.05,10.95,-5387.5,1.9928,19.8332,4.8072,85.564,9.7484,0.2815,3.3783,50.0781,63.7678,118.244,1.5925,1.0342,2.7496,2.0131,9.1025,48.8546,9.6257,4.1444,,,,,,,,286.82,0.5586
322,0.0213,340,0.417,16.73,5.32,-5394.75,2.043,23.7238,9.2387,92.072,8.9416,0.1135,1.6461,59.3488,78.254,132.5378,0.901,1.325,3.5827,2.2218,4.1254,23.7684,30.5192,7.412,,,,,,,,11.24,0.2313
323,0.0058,681,0.519,18.54,8.14,-5033,1.98,23.7238,5.1674,85.1817,8.6211,0.1572,2.1187,50.2667,63.9846,118.4106,0.901,1.0342,3.5827,0.5952,4.8865,27.8029,15.2723,7.0446,14.06,0.95,5.7936,0.3672,3.5128,1.3073,,10.32,0.5133
324,0.0196,250,0.276,15.03,4.22,-6404.5,1.889,19.9141,10.3833,84.87,9.4832,0.0735,1.3582,50.381,64.23,118.205,1.5611,1.0342,2.5,2.0412,2.6043,43.7574,39.2956,3.7621,22.04,0.69,9.6547,0.2737,5.4071,0.9053,,10.26,0.3655
325,0.0176,1038,0.585,20,9.68,-5407.75,1.9992,14.868,9.2771,85.5528,8.9546,0.1668,2.6434,50.458,64.1864,118.6376,1.5119,0.9168,1.8548,1.8176,5.6217,51.3105,48.0854,3.712,17.95,1.71,7.344,0.7587,4.4123,2.104,,8.61,0.319
326,0.0168,588,0.302,17.75,4.86,-6390,1.8872,18.4995,9.4814,84.3575,8.531,0.0833,1.6169,50.4338,64.2467,117.9108,1.3101,1.3342,2.1311,1.7394,2.9024,20.4065,20.7864,6.0747,,,,,,,,9.3,0.2149
327,0.0198,327,0.26,8.77,5.42,-6383.75,1.8925,23.7238,9.1487,85.6608,9.5713,0.0827,1.6847,50.3999,64.1016,118.0156,0.901,1.0342,3.5827,2.0544,2.5156,40.238,25.5496,6.3496,,,,,,,,10.89,0.2317
328,0.0058,916,0.247,15.91,4.39,-6280.75,1.8598,18.5915,9.7086,85.2626,8.4092,0.0783,1.4342,50.4562,64.2111,118.4666,1.3076,1.076,2.4966,0.6011,2.3773,18.7335,6.4236,6.8396,12.2,0.45,5.5763,0.1747,3.0818,0.5624,,8.92,0.3104
329,0.0078,1992,1.017,12.91,3.99,-5624.25,2.003,22.5539,10.8019,85.2764,8.7219,0.2561,1.3172,50.1373,63.8842,118.534,1.4633,1.7372,3.2967,0.7974,9.9432,21.8458,22.651,5.0995,,,,,,,,7.18,0.3327
330,0.0215,663,0.115,18.93,5.29,-6266.25,1.8815,19.0207,10.6399,85.1817,8.6211,0.0361,1.5478,50.2667,63.9846,118.4106,1.3168,1.7874,2.5755,2.2394,1.1061,32.5983,19.2638,5.0952,,,,,,,21.3087,12.66,0.2022
331,0.006,341,0.434,22.2,6.87,-5469.5,1.9905,17.7343,9.3587,84.8399,8.5266,0.121,1.9982,50.2925,64.0317,117.918,0.7665,1.1454,2.2097,0.6104,4.1956,40.4093,8.6938,1.54,9.95,0.94,4.6195,0.3699,2.4792,1.288,15.5375,6.8,0.2055
332,0.0189,455,0.153,10.52,6.31,-6308.75,1.881,19.8332,8.9081,85.1712,8.5405,0.0436,1.907,50.2488,64.1314,118.4904,1.5925,1.325,2.7496,1.9645,1.3945,19.0855,21.8166,4.9141,17.93,1.6,8.3998,0.704,4.4254,1.9849,6.2864,9.27,0.2948
333,0.0045,542,0.264,17.44,4.79,-6395.5,1.895,18.4305,9.4115,86.4863,8.828,0.0791,1.7047,50.2667,63.9349,118.039,1.4053,0.6222,2.4725,0.4635,2.4929,35.8549,15.9791,2.3748,11.65,1.96,5.232,0.7505,2.921,2.5758,18.8809,10.24,0.1243
334,0.0054,510,0.3,17.17,5.49,-6326.25,1.8962,19.9141,9.0052,84.3575,8.531,0.0857,1.9277,50.4338,64.2467,117.9108,1.5611,1.7874,2.5,0.547,2.9002,30.2437,13.8145,7.9418,12.37,2.61,5.719,0.9749,3.084,3.5464,26.7415,8.98,0.1636
335,0.0218,241,0.114,15.45,8.56,-6439,1.8685,18.5915,10.6012,84.7297,8.5177,0.0453,2.3899,50.4695,64.1615,118.2112,1.3076,1.1454,2.4966,2.2773,1.0365,21.6308,16.6973,4.5938,,,,,,,,280.66,0.4971
336,0.0229,,0.161,20.29,10.28,,,19.0836,9.4097,86.106,8.7879,0.0433,3.5775,49.9276,63.9266,117.7078,0.7679,0.8411,2.4482,2.3928,1.4477,21.2374,13.4498,5.116,22.73,1.58,10.7442,0.6502,5.5941,1.9535,27.5994,8.42,0.3121
337,0.0066,363,0.268,12.93,5.99,-6316.5,1.907,17.7074,9.6563,86.8866,8.8505,0.0791,2.0973,50.4036,64.0557,118.808,0.974,1.7372,2.3757,0.6813,2.5758,36.1176,35.9214,5.158,17.63,2.41,7.5986,0.968,4.3404,3.0411,,4.92,0.2724
338,0.0082,660,0.178,19.73,6.06,-6214.5,1.8953,17.7074,9.1489,86.8866,8.8505,0.06,1.635,50.4036,64.0557,118.808,0.974,1.7372,2.3757,0.8476,1.6594,22.5086,12.0191,5.7205,14.62,0.91,7.1037,0.3643,3.5943,1.1682,,8.21,0.3867
339,0.0089,767,0.262,15.6,2.85,-6330,1.8962,17.7074,8.8338,86.8866,8.8505,0.0774,1.0915,50.4036,64.0557,118.808,0.974,1.7372,2.3757,0.9192,2.5,30.6968,36.4926,4.5669,12.65,1.18,6.2055,0.4995,3.0911,1.4243,,8.49,0.36
340,0.0217,454,0.182,10.53,6.24,-6224.75,1.898,18.6343,8.7063,85.2626,8.4092,0.0539,2.205,50.4562,64.2111,118.4666,1.399,1.076,2.2605,2.2649,1.7514,30.8785,7.967,2.0874,15.66,0.58,7.7619,0.2224,3.8877,0.7783,20.9456,8.65,0.1435
341,0.0087,940,0.304,20.16,4.8,-5504.25,2.011,19.0207,9.0318,84.9798,8.3754,0.0935,1.4007,50.2413,63.8874,118.0962,1.3168,0.6222,2.5755,0.896,2.8052,25.1984,11.3577,4.2789,,,,,,,31.1505,12.88,0.5922
342,0.0054,397,0.421,20.84,6.94,-6420.25,1.8688,22.7433,9.4013,84.742,9.2291,0.1207,2.2228,50.4582,64.3409,118.0744,0.8579,1.4555,3.1785,0.5565,4,28.4311,11.5001,6.1727,24.71,1.06,10.7596,0.5246,6.0296,1.3917,23.0851,7.84,0.3613
343,0.0057,491,0.354,19.56,5.37,-5300.5,1.998,18.6343,9.8524,84.8399,8.5266,0.0872,1.5218,50.2925,64.0317,117.918,1.399,0.9889,2.2605,0.5812,3.3866,25.2451,11.8747,6.7454,13.15,2.49,5.4747,0.9299,3.2877,3.0344,15.4662,8.65,0.1435
344,0.0216,2198,0.53,19.9,9.35,-6124.75,2.009,19.0207,5.0748,85.3625,8.5952,0.1618,3.0607,50.3491,64.0145,118.227,1.3168,1.7874,2.5755,2.2587,5.1208,25.4732,37.4547,4.6831,,,,,,,,10.44,0.4549
345,0.0201,480,0.772,27.45,11.34,-5558.25,1.9945,14.868,10.3879,85.1669,8.3324,0.2264,3.5849,50.4421,64.154,118.4616,1.5119,1.7874,1.8548,2.0904,7.7536,42.975,10.952,2.2991,15.75,0.57,7.7982,0.2625,3.8498,0.7332,22.7436,10.7,0.3286
346,0.0075,3388,0.552,18.19,4.66,-5750.5,1.8967,17.7074,10.877,85.2764,8.7219,0.1556,1.7214,50.1373,63.8842,118.534,0.974,1.6071,2.3757,0.7741,5.341,25.7183,32.4383,2.8738,,,,,,,,10.56,0.4457
347,0.0191,668,0.299,22.29,2.04,-5307.75,1.9943,23.7238,9.5189,85.0856,8.6324,0.0811,0.75,50.0906,64.1658,117.802,0.901,1.7874,3.5827,1.9957,2.8233,27.3264,22.6702,6.1663,21.35,1.09,11.1081,0.4298,5.156,1.3337,13.2824,152.87,1.4024
348,0.0226,376,0.533,17.68,11.93,-6367,1.9023,24.3718,5.5484,84.742,9.2291,0.1971,3.5031,50.4582,64.3409,118.0744,0.8396,0.9889,3.4346,2.3536,5.2403,48.4643,15.7562,5.3441,14.92,1.51,7.2179,0.6233,3.7163,1.863,15.4662,10.03,0.1762
349,0.0189,691,0.314,20.79,5.97,-5433,1.9888,19.7183,10.3026,84.7228,9.5689,0.0956,1.6523,50.4579,64.0806,117.4208,0.9374,1.7874,2.6606,1.9706,3.0056,26.5119,10.5213,5.8708,17.56,1.2,7.8291,0.474,4.2864,1.6221,17.607,272.41,0.2813
350,0.0178,698,0.749,20.32,6.23,-5635,2.0017,17.5459,9.7588,86.3857,8.8513,0.2425,1.8492,50.1431,63.7749,118.0906,1.439,0.9889,2.0778,1.8384,7.5007,29.859,18.4703,4.9795,23.62,1.37,10.6507,0.6817,5.8633,1.6821,15.4662,9.02,0.1652
351,0.0079,672,0.289,21.17,3.95,-5222.5,2.0017,19.8332,9.1262,85.564,9.7484,0.0936,1.3223,50.0781,63.7678,118.244,1.5925,1.6678,2.7496,0.8075,2.6837,16.0051,38.0473,2.9141,12.67,1.02,5.8062,0.4903,3.0673,1.2453,20.5556,11.54,0.4945
352,0.0182,195,0.26,19.42,5.45,-6310.5,1.9007,17.7343,9.3553,86.3857,8.8513,0.0763,1.9063,50.1431,63.7749,118.0906,0.7665,1.076,2.2097,1.8924,2.4796,33.772,9.2405,2.2758,14.12,1.53,6.2505,0.572,3.3562,1.8523,14.3483,9.33,0.1854
353,0.0068,303,0.282,14.88,4.28,-6378.5,1.9005,17.7343,9.1325,84.742,9.2291,0.1013,1.3055,50.4582,64.3409,118.0744,0.7665,0.9168,2.2097,0.7009,2.7666,23.5742,13.7185,6.3508,12.57,0.84,6.2108,0.3701,3.1093,1.0875,15.4662,8.65,0.1435
354,0.021,582,0.38,19.29,5.46,-6401.25,1.889,19.3948,9.0472,84.87,9.4832,0.112,2.0248,50.381,64.23,118.205,1.2981,1.6678,2.4188,2.1857,3.6264,23.051,15.3553,4.3694,,,,,,,29.3034,7.49,0.3229
355,0.0157,646,0.505,19.43,15.99,-5307.5,2.04,22.7433,5.4334,84.7872,9.0859,0.1582,4.3043,50.4255,64.2991,118.0526,0.8579,1.6071,3.1785,1.6172,4.9078,62.6964,32.977,5.1064,11.07,1.74,5.3047,0.6459,2.7795,2.1313,18.1045,7.49,0.2494
356,0.0188,935,0.24,19.76,5.14,-5436,2.0187,22.7433,11.4232,86.0209,9.2328,0.0673,1.6488,50.3586,63.7799,117.7358,0.8579,1.4555,3.1785,1.9569,2.1746,13.3502,16.4301,4.3146,20.75,1.4,10.418,0.561,5.3104,1.9445,11.6889,7.11,0.2709
357,0.0191,360,0.497,18.86,4.34,-5487.75,2.015,22.7433,10.4251,86.0209,9.2328,0.1359,1.176,50.3586,63.7799,117.7358,0.8579,1.4555,3.1785,1.9923,4.7221,8.8547,15.0027,3.7648,11.86,0.94,4.6168,0.3878,2.9654,1.2915,15.4662,9.02,0.1652
358,0.0165,473,0.243,22.49,4.69,-6374.75,1.8753,19.9141,10.7666,84.7297,8.5177,0.0648,1.2864,50.4695,64.1615,118.2112,1.5611,0.9889,2.5,1.697,2.2304,14.6867,16.3819,5.9386,,,,,,,30.5987,276.52,0.57
359,0.0055,406,0.203,11.12,8.18,-6363,1.8873,19.0207,9.2772,85.2626,8.4092,0.0721,2.0553,50.4562,64.2111,118.4666,1.3168,1.7874,2.5755,0.5671,1.9699,36.0967,14.7696,3.777,13.65,0.84,6.486,0.3503,3.3697,1.1452,15.4662,8.07,0.3153
360,0.0215,1544,1.055,12.08,5.49,-5227,1.977,24.3718,10.2465,84.7529,9.0622,0.4166,1.7109,50.4373,64.2906,118.1142,0.8396,1.076,3.4346,2.242,10.8132,22.6005,44.6391,1.8338,17.69,0.96,7.4204,0.42,4.4447,1.2753,15.4662,7.49,0.2494
