,F153,F157,F159,F198,F200,F201,F21,F252,F26,F273,F292,F319,F32,F33,F334,F34,F345,F35,F39,F407,F411,F426,F470,F471,F474,F476,F524,F525,F550,F551,F553,F554,F556,F557,F569,F574,F578,F72
330,0.0215,,663.0,0.115,18.93,5.29,-6266.25,3.3615,1.8815,19.0207,,10.6399,85.1817,8.6211,0.0361,50.2667,6.1713,63.9846,118.4106,1.7874,2.5755,2.2394,1.1061,7.1245,32.5983,19.2638,5.683,5.0952,,,,,,,21.3087,4.0334,,161.7514
331,0.006,,341.0,0.434,22.2,6.87,-5469.5,3.4993,1.9905,17.7343,,9.3587,84.8399,8.5266,0.121,50.2925,5.7387,64.0317,117.918,1.1454,2.2097,0.6104,4.1956,7.1375,40.4093,8.6938,6.0138,1.54,9.95,0.94,4.6195,0.3699,2.4792,1.288,15.5375,2.3023,,150.2343
332,0.0189,,455.0,0.153,10.52,6.31,-6308.75,3.5482,1.881,19.8332,,8.9081,85.1712,8.5405,0.0436,50.2488,8.1336,64.1314,118.4904,1.325,2.7496,1.9645,1.3945,5.8483,19.0855,21.8166,5.9183,4.9141,17.93,1.6,8.3998,0.704,4.4254,1.9849,6.2864,3.1526,,128.8686
333,0.0045,,542.0,0.264,17.44,4.79,-6395.5,1.9729,1.895,18.4305,,9.4115,86.4863,8.828,0.0791,50.2667,5.5977,63.9349,118.039,0.6222,2.4725,0.4635,2.4929,7.5118,35.8549,15.9791,3.3681,2.3748,11.65,1.96,5.232,0.7505,2.921,2.5758,18.8809,3.5111,0.014,140.9869
334,0.0054,,510.0,0.3,17.17,5.49,-6326.25,4.9817,1.8962,19.9141,,9.0052,84.3575,8.531,0.0857,50.4338,7.7181,64.2467,117.9108,1.7874,2.5,0.547,2.9002,7.6879,30.2437,13.8145,8.4733,7.9418,12.37,2.61,5.719,0.9749,3.084,3.5464,26.7415,3.2613,,143.1628
335,0.0218,,241.0,0.114,15.45,8.56,-6439.0,2.4864,1.8685,18.5915,,10.6012,84.7297,8.5177,0.0453,50.4695,23.3719,64.1615,118.2112,1.1454,2.4966,2.2773,1.0365,6.5088,21.6308,16.6973,4.2897,4.5938,,,,,,,,112.5998,0.0416,121.2182
336,0.0229,,,0.161,20.29,10.28,,3.166,,19.0836,,9.4097,86.106,8.7879,0.0433,49.9276,5.9507,63.9266,117.7078,0.8411,2.4482,2.3928,1.4477,14.5949,21.2374,13.4498,5.6215,5.116,22.73,1.58,10.7442,0.6502,5.5941,1.9535,27.5994,2.9466,0.0353,115.8995
337,0.0066,,363.0,0.268,12.93,5.99,-6316.5,4.0325,1.907,17.7074,,9.6563,86.8866,8.8505,0.0791,50.4036,6.8163,64.0557,118.808,1.7372,2.3757,0.6813,2.5758,5.3348,36.1176,35.9214,6.7959,5.158,17.63,2.41,7.5986,0.968,4.3404,3.0411,,1.7884,0.0077,143.0084
338,0.0082,,660.0,0.178,19.73,6.06,-6214.5,2.5289,1.8953,17.7074,,9.1489,86.8866,8.8505,0.06,50.4036,4.473,64.0557,118.808,1.7372,2.3757,0.8476,1.6594,5.8231,22.5086,12.0191,4.3496,5.7205,14.62,0.91,7.1037,0.3643,3.5943,1.1682,,2.7953,0.027,133.35
339,0.0089,,767.0,0.262,15.6,2.85,-6330.0,2.9078,1.8962,17.7074,,8.8338,86.8866,8.8505,0.0774,50.4036,4.2593,64.0557,118.808,1.7372,2.3757,0.9192,2.5,6.8116,30.6968,36.4926,5.2475,4.5669,12.65,1.18,6.2055,0.4995,3.0911,1.4243,,2.8977,,141.0545
340,0.0217,0.0344,454.0,0.182,10.53,6.24,-6224.75,3.0612,1.898,18.6343,0.0115,8.7063,85.2626,8.4092,0.0539,50.4562,4.914,64.2111,118.4666,1.076,2.2605,2.2649,1.7514,6.9089,30.8785,7.967,5.2786,2.0874,15.66,0.58,7.7619,0.2224,3.8877,0.7783,20.9456,3.1242,-0.0014,142.6405
341,0.0087,,940.0,0.304,20.16,4.8,-5504.25,3.846,2.011,19.0207,,9.0318,84.9798,8.3754,0.0935,50.2413,137.2989,63.8874,118.0962,0.6222,2.5755,0.896,2.8052,6.5022,25.1984,11.3577,6.4005,4.2789,,,,,,,31.1505,4.1417,,72.9911
342,0.0054,0.0387,397.0,0.421,20.84,6.94,-6420.25,2.8638,1.8688,22.7433,0.0108,9.4013,84.742,9.2291,0.1207,50.4582,4.7807,64.3409,118.0744,1.4555,3.1785,0.5565,4.0,9.2906,28.4311,11.5001,4.9524,6.1727,24.71,1.06,10.7596,0.5246,6.0296,1.3917,23.0851,2.7259,0.0358,139.0398
343,0.0057,,491.0,0.354,19.56,5.37,-5300.5,2.3502,1.998,18.6343,,9.8524,84.8399,8.5266,0.0872,50.2925,9.5681,64.0317,117.918,0.9889,2.2605,0.5812,3.3866,6.7208,25.2451,11.8747,4.0027,6.7454,13.15,2.49,5.4747,0.9299,3.2877,3.0344,15.4662,3.1242,,149.4503
344,0.0216,,2198.0,0.53,19.9,9.35,-6124.75,2.7553,2.009,19.0207,,5.0748,85.3625,8.5952,0.1618,50.3491,5.3833,64.0145,118.227,1.7874,2.5755,2.2587,5.1208,7.4149,25.4732,37.4547,4.7493,4.6831,,,,,,,,3.3998,,161.7834
345,0.0201,,480.0,0.772,27.45,11.34,-5558.25,2.8656,1.9945,14.868,,10.3879,85.1669,8.3324,0.2264,50.4421,,64.154,118.4616,1.7874,1.8548,2.0904,7.7536,12.9804,42.975,10.952,4.9394,2.2991,15.75,0.57,7.7982,0.2625,3.8498,0.7332,22.7436,3.4023,,
346,0.0075,,3388.0,0.552,18.19,4.66,-5750.5,2.8057,1.8967,17.7074,,10.877,85.2764,8.7219,0.1556,50.1373,,63.8842,118.534,1.6071,2.3757,0.7741,5.341,8.3664,25.7183,32.4383,4.6889,2.8738,,,,,,,,3.6489,,
347,0.0191,,668.0,0.299,22.29,2.04,-5307.75,2.8376,1.9943,23.7238,,9.5189,85.0856,8.6324,0.0811,50.0906,141.0364,64.1658,117.802,1.7874,3.5827,1.9957,2.8233,6.8859,27.3264,22.6702,4.8068,6.1663,21.35,1.09,11.1081,0.4298,5.156,1.3337,13.2824,51.7939,-0.0012,-59.4777
348,0.0226,,376.0,0.533,17.68,11.93,-6367.0,2.6678,1.9023,24.3718,,5.5484,84.742,9.2291,0.1971,50.4582,4.8805,64.3409,118.0744,0.9889,3.4346,2.3536,5.2403,7.4026,48.4643,15.7562,4.6286,5.3441,14.92,1.51,7.2179,0.6233,3.7163,1.863,15.4662,3.3391,,172.6195
349,0.0189,0.0237,691.0,0.314,20.79,5.97,-5433.0,3.5558,1.9888,19.7183,0.0074,10.3026,84.7228,9.5689,0.0956,50.4579,4.8971,64.0806,117.4208,1.7874,2.6606,1.9706,3.0056,6.7688,26.5119,10.5213,6.0268,5.8708,17.56,1.2,7.8291,0.474,4.2864,1.6221,17.607,81.6568,,146.4385
350,0.0178,,698.0,0.749,20.32,6.23,-5635.0,3.2535,2.0017,17.5459,,9.7588,86.3857,8.8513,0.2425,50.1431,7.7977,63.7749,118.0906,0.9889,2.0778,1.8384,7.5007,6.7919,29.859,18.4703,5.4896,4.9795,23.62,1.37,10.6507,0.6817,5.8633,1.6821,15.4662,2.9018,0.0275,149.3244
351,0.0079,,672.0,0.289,21.17,3.95,-5222.5,3.3341,2.0017,19.8332,,9.1262,85.564,9.7484,0.0936,50.0781,7.73,63.7678,118.244,1.6678,2.7496,0.8075,2.6837,7.7068,16.0051,38.0473,5.7851,2.9141,12.67,1.02,5.8062,0.4903,3.0673,1.2453,20.5556,4.001,,145.1377
352,0.0182,,195.0,0.26,19.42,5.45,-6310.5,2.7292,1.9007,17.7343,,9.3553,86.3857,8.8513,0.0763,50.1431,4.8581,63.7749,118.0906,1.076,2.2097,1.8924,2.4796,7.9478,33.772,9.2405,4.6842,2.2758,14.12,1.53,6.2505,0.572,3.3562,1.8523,14.3483,3.3165,,143.6237
353,0.0068,,303.0,0.282,14.88,4.28,-6378.5,2.48,1.9005,17.7343,,9.1325,84.742,9.2291,0.1013,50.4582,7.673,64.3409,118.0744,0.9168,2.2097,0.7009,2.7666,7.5526,23.5742,13.7185,4.2761,6.3508,12.57,0.84,6.2108,0.3701,3.1093,1.0875,15.4662,3.1242,,149.3284
354,0.021,,582.0,0.38,19.29,5.46,-6401.25,4.7453,1.889,19.3948,,9.0472,84.87,9.4832,0.112,50.381,5.1591,64.23,118.205,1.6678,2.4188,2.1857,3.6264,9.0706,23.051,15.3553,8.1381,4.3694,,,,,,,29.3034,2.5085,0.0484,145.0587
355,0.0157,0.0197,646.0,0.505,19.43,15.99,-5307.5,3.7924,2.04,22.7433,0.0063,5.4334,84.7872,9.0859,0.1582,50.4255,9.6253,64.2991,118.0526,1.6071,3.1785,1.6172,4.9078,7.2098,62.6964,32.977,6.4469,5.1064,11.07,1.74,5.3047,0.6459,2.7795,2.1313,18.1045,2.691,,167.6675
356,0.0188,,935.0,0.24,19.76,5.14,-5436.0,2.772,2.0187,22.7433,,11.4232,86.0209,9.2328,0.0673,50.3586,6.1452,63.7799,117.7358,1.4555,3.1785,1.9569,2.1746,8.707,13.3502,16.4301,4.6678,4.3146,20.75,1.4,10.418,0.561,5.3104,1.9445,11.6889,2.3928,,145.3508
357,0.0191,,360.0,0.497,18.86,4.34,-5487.75,3.6543,2.015,22.7433,,10.4251,86.0209,9.2328,0.1359,50.3586,7.4592,63.7799,117.7358,1.4555,3.1785,1.9923,4.7221,7.379,8.8547,15.0027,6.1606,3.7648,11.86,0.94,4.6168,0.3878,2.9654,1.2915,15.4662,2.9018,,154.8004
358,0.0165,,473.0,0.243,22.49,4.69,-6374.75,4.7929,1.8753,19.9141,,10.7666,84.7297,8.5177,0.0648,50.4695,5.1246,64.1615,118.2112,0.9889,2.5,1.697,2.2304,7.8198,14.6867,16.3819,8.1345,5.9386,,,,,,,30.5987,110.9809,,145.7634
359,0.0055,,406.0,0.203,11.12,8.18,-6363.0,3.0012,1.8873,19.0207,,9.2772,85.2626,8.4092,0.0721,50.4562,6.2625,64.2111,118.4666,1.7874,2.5755,0.5671,1.9699,9.42,36.0967,14.7696,5.122,3.777,13.65,0.84,6.486,0.3503,3.3697,1.1452,15.4662,3.0118,0.0071,141.9651
360,0.0215,0.1644,1544.0,1.055,12.08,5.49,-5227.0,2.849,1.977,24.3718,0.049,10.2465,84.7529,9.0622,0.4166,50.4373,10.4935,64.2906,118.1142,1.076,3.4346,2.242,10.8132,9.9636,22.6005,44.6391,4.941,1.8338,17.69,0.96,7.4204,0.42,4.4447,1.2753,15.4662,2.691,0.0094,158.7489
361,0.0049,,179.0,0.278,17.5,6.99,-6457.75,2.7854,1.9047,19.7183,,8.7817,84.742,9.2291,0.0954,50.4582,7.4084,64.3409,118.0744,1.7874,2.6606,0.499,2.682,6.298,26.7951,30.5363,4.784,2.5619,17.51,1.41,7.8968,0.5949,4.4014,1.7221,15.4662,2.7049,0.0226,142.851
362,0.0159,,1048.0,0.195,18.57,6.25,-5775.0,2.5391,1.9938,19.9141,,9.476,87.4809,8.6829,0.0533,59.7711,,79.2786,133.3898,0.6222,2.5,1.6422,1.7912,8.7939,14.4599,13.8955,4.3565,4.2652,22.13,1.45,10.9767,0.6069,5.4362,1.7854,,3.6888,0.0284,
363,0.0111,,546.0,0.223,19.23,7.08,-6295.75,3.0227,1.898,19.3948,,8.8037,86.8866,8.8505,0.0621,50.4036,3.2984,64.0557,118.808,1.6678,2.4188,1.1364,2.1081,8.294,33.4551,13.7341,5.1038,5.727,20.13,1.59,9.288,0.7202,4.9357,2.1076,4.2725,3.3165,,142.2796
364,0.0057,,675.0,1.084,21.17,11.05,-5319.25,2.9275,2.0097,19.3948,,4.3717,85.3625,8.5952,0.3123,50.3491,6.0383,64.0145,118.227,0.8846,2.4188,0.5794,10.6876,3.7049,38.387,11.6927,5.0685,3.6116,,,,,,,24.5842,3.0937,0.0203,160.7996
365,0.0135,,745.0,0.321,16.29,3.52,-5415.0,4.8977,2.0065,23.6616,,10.8728,84.5743,9.396,0.0924,50.3131,7.3776,63.9428,117.5134,1.5465,2.9016,1.3887,3.0742,8.1552,24.4313,14.8925,8.4058,5.5148,13.37,0.66,5.8854,0.3029,3.4352,0.8525,15.4662,2.4837,0.0291,157.7334
366,0.0061,,935.0,0.298,19.27,9.32,-5467.5,2.2346,1.9903,17.7343,,9.7285,84.8399,8.5266,0.0919,50.2925,4.7965,64.0317,117.918,0.9168,2.2097,0.6189,2.8375,8.033,46.8153,11.7133,3.8181,3.528,23.5,1.05,11.156,0.3869,6.0108,1.4603,20.4313,3.3391,0.0046,153.5304
367,0.0187,0.2876,498.0,0.341,19.65,18.18,-6261.75,4.891,1.8723,19.3948,0.0831,10.1162,83.9167,9.4043,0.0897,50.4181,3.9725,64.4134,118.1592,0.8846,2.4188,1.9395,3.2145,7.9945,24.599,10.8637,8.4929,4.8676,21.62,0.8,10.4069,0.3217,5.3578,1.0681,29.994,2.7049,,139.3637
368,0.0158,,294.0,0.26,16.3,4.31,-6393.5,3.015,1.8758,19.3948,,8.86,85.482,9.3998,0.0713,50.4069,6.553,64.2033,118.3028,1.6678,2.4188,1.6318,2.4354,5.7595,42.1135,21.1349,5.1397,4.8707,19.09,0.8,7.5474,0.3079,4.6545,0.9662,51.0455,4.1489,,137.8246
369,0.018,,779.0,0.329,15.0,6.04,-5493.0,2.5303,1.9962,19.7183,,9.4201,84.8399,8.5266,0.0911,50.2925,4.2926,64.0317,117.918,1.6071,2.6606,1.863,3.1531,7.002,32.0933,8.9628,4.3734,4.3847,,,,,,,15.4662,2.3023,,145.8038
370,0.0186,,475.0,0.424,15.26,6.43,-6270.5,4.0213,1.8855,19.0207,,10.4891,85.2626,8.4092,0.1172,50.4562,5.1464,64.2111,118.4666,0.9168,2.5755,1.9299,4.0746,10.5098,25.1526,18.3963,6.7222,3.231,20.6,1.18,9.1278,0.4833,4.9956,1.555,12.0777,2.7336,-0.0042,154.7491
371,0.0696,,683.0,0.308,17.29,7.89,-6362.25,3.8221,1.8798,23.7238,,10.42,86.3239,9.5642,0.0933,50.3645,7.0508,63.9038,117.5064,0.6222,3.5827,7.3407,2.9563,8.2476,32.4215,23.5319,6.4489,5.0345,13.98,0.81,6.6321,0.3461,3.4486,1.0273,12.3437,3.1819,0.0121,156.8907
372,0.0057,,157.0,0.469,19.44,2.55,-6408.75,3.2804,1.8923,18.201,,9.5051,86.931,8.8384,0.1389,50.3353,7.8873,64.0776,118.7636,1.6678,2.1713,0.587,4.4878,7.6103,18.4045,13.0047,5.7764,4.5947,,,,,,,,3.0147,0.0075,138.715
373,0.016,,225.0,0.164,17.84,4.93,-5120.0,3.0283,1.9497,17.5459,,8.999,85.4465,9.1855,0.0516,50.4666,5.0244,63.7996,118.579,0.9889,2.0778,1.6453,1.5443,4.822,28.746,11.0357,5.1211,4.3777,,,,,,,15.4662,81.6568,,141.4538
374,0.0047,0.0435,436.0,0.858,17.45,10.17,-6453.75,4.4954,1.8745,22.7433,0.0127,5.0498,84.5551,9.9964,0.2973,50.4757,3.6414,64.3827,118.022,1.6071,3.1785,0.4832,8.6718,5.3164,44.544,15.2637,7.8219,5.1794,,,,,,,15.4662,3.3391,,173.3258
375,0.0053,,365.0,0.094,15.24,8.76,-6402.75,4.308,1.8855,19.0207,,8.8235,85.1712,8.5405,0.0362,50.2488,3.867,64.1314,118.4904,1.7372,2.5755,0.5426,0.8687,6.3905,20.8526,13.7921,7.4893,5.3828,,,,,,,,2.9316,,131.5694
376,0.0047,,638.0,0.229,14.07,5.55,-6279.5,3.6639,1.8885,22.5539,,8.7801,86.8866,8.8505,0.0766,50.4036,5.4627,64.0557,118.808,0.8846,3.2967,0.4833,2.1517,5.1519,19.4632,11.6344,6.4035,4.7046,17.3,1.53,8.2673,0.7194,4.2568,1.8799,,2.5967,,135.3069
377,0.0061,0.0286,683.0,0.477,29.19,5.21,-5435.5,3.6428,2.001,19.7183,0.0109,10.231,84.4995,9.0695,0.1452,50.2895,9.3119,64.2187,124.6244,1.7874,2.6606,0.627,4.6388,10.7378,35.2174,65.9965,6.1672,3.5207,13.17,0.63,6.6072,0.2449,3.2938,0.8469,15.4662,2.7336,,157.029
378,0.0138,0.033,463.0,0.445,21.78,10.55,-6253.5,3.3644,1.8932,18.5915,0.0103,8.4751,85.2626,8.4092,0.1381,50.4562,5.5581,64.2111,118.4666,1.7874,2.4966,1.416,4.2517,10.3119,56.0351,15.1558,5.681,4.0566,17.14,1.12,7.0897,0.4285,4.1992,1.5278,,3.1585,,142.94
379,0.0131,,267.0,0.372,19.16,8.44,-5593.75,2.8089,2.0122,17.7074,,9.5902,84.533,8.872,0.1085,50.3074,5.3986,64.1215,118.0124,0.8846,2.3757,1.3533,3.4848,4.027,23.9198,14.9395,4.7611,5.1923,17.74,1.08,7.4652,0.4223,4.3915,1.4556,,2.2036,0.0159,140.6004
380,0.0156,0.023,625.0,0.532,14.73,11.16,-5384.75,2.2418,1.9805,17.7074,0.0065,4.9486,83.8879,9.1757,0.1449,50.4244,5.1529,64.3159,118.2554,0.8846,2.3757,1.6165,5.0829,4.7824,46.6942,35.5485,3.7573,3.7313,24.8,1.08,11.7337,0.4028,6.0001,1.3038,32.8837,2.4919,0.0165,161.243
381,0.0187,,1827.0,0.39,10.85,11.35,-6915.0,2.2596,1.8777,18.201,,4.8745,85.4451,8.5788,0.1225,50.2484,4.4286,63.9261,118.3794,1.5465,2.1713,1.9412,3.8003,4.0401,56.0015,23.627,3.8972,3.4891,20.98,1.85,10.0455,0.748,5.192,2.4779,21.2855,2.3003,,160.0165
382,0.0052,,1463.0,0.207,15.96,8.1,-5468.0,3.1943,2.0118,18.5853,,9.238,85.5573,8.6915,0.0585,50.465,2.7975,64.1145,118.8908,1.6404,2.4348,0.5344,1.9546,8.3064,30.2327,46.8076,5.4092,6.448,,,,,,,17.8764,3.0031,,139.8483
383,0.017,,209.0,0.29,15.57,4.82,-6391.5,2.2427,1.8932,19.3948,,8.9882,85.6608,9.5713,0.0981,50.3999,4.1506,64.1016,118.0156,1.6678,2.4188,1.7597,2.7807,6.7911,22.2023,7.1079,3.7832,4.8579,,,,,,,,136.0771,0.0536,145.4132
384,0.0226,,1368.0,0.308,14.79,6.65,-5047.75,3.5075,1.9925,19.7183,,11.1333,92.072,8.9416,0.0942,59.3488,6.0912,78.254,132.5378,0.8846,2.6606,2.3637,2.926,8.9545,37.546,19.4568,5.8543,5.494,,,,,,,,3.849,,154.0393
385,0.0398,,318.0,1.032,21.57,10.64,-5448.0,2.6078,1.9965,18.201,,5.3969,85.5361,8.536,0.3312,50.3421,5.5115,63.9167,118.4394,1.6404,2.1713,4.1746,10.2879,6.4209,39.2892,14.6182,4.5219,5.6109,21.41,1.59,9.6884,0.6333,5.2565,2.1387,18.9263,3.2524,0.0056,165.8195
386,0.0109,,1352.0,0.227,14.88,6.16,-5046.25,3.4845,1.9867,22.5539,,9.4989,92.072,8.9416,0.0758,59.3488,4.4701,78.254,132.5378,0.8846,3.2967,1.12,2.1407,6.4942,26.7092,11.1222,5.8134,5.3467,,,,,,,30.6027,3.4272,,139.7362
387,0.018,0.0462,3492.0,0.222,9.11,7.53,-4778.5,2.9092,1.9885,23.894,0.0141,4.6577,83.9167,9.4043,0.0619,50.4181,3.5501,64.4134,118.1592,1.5465,3.0139,1.8688,2.0565,5.6917,17.3344,18.6827,4.9785,4.0225,16.11,1.47,7.1629,0.6063,3.9885,1.887,,2.3152,,151.0992
388,0.0197,0.0348,1018.0,0.434,15.9,6.62,-6408.25,3.7848,1.8908,19.3948,0.0093,10.8356,85.3625,8.5952,0.1198,50.3491,5.1738,64.0145,118.227,1.5465,2.4188,2.051,4.161,7.0914,23.7414,9.8746,6.3078,4.8537,,,,,,,,3.1416,,155.3228
389,0.0062,,1735.0,1.02,20.57,5.81,-5631.75,2.8456,2.0112,19.0207,,6.0541,83.9167,9.4043,0.3355,50.4181,5.6907,64.4134,118.1592,0.9168,2.5755,0.636,10.0185,6.8584,21.1336,15.5485,4.8771,6.2486,22.17,1.82,10.6745,0.8049,5.436,2.2427,18.0661,3.364,0.0104,163.5935
390,0.0077,,2016.0,0.345,13.71,10.29,-6894.25,3.4724,1.8998,19.3893,,8.8845,85.5983,8.5232,0.1201,50.4559,,64.0577,118.5342,1.1348,2.555,0.7916,3.3575,11.6053,51.8905,15.3042,5.8652,5.6186,17.13,0.87,7.3144,0.4207,4.1894,1.1666,12.9491,2.9893,,
391,0.0141,,1919.0,0.294,23.2,8.64,-6203.25,2.8911,2.0083,18.5853,,10.076,86.4465,8.6527,0.0775,50.215,,63.9211,118.102,1.1348,2.4348,1.4515,2.7468,7.6383,16.877,13.1504,4.9762,5.4929,12.83,0.96,6.2073,0.3986,3.1682,1.3198,,2.6763,,
392,0.0161,,237.0,0.573,20.83,5.83,-4929.5,2.2984,1.9483,17.0475,,11.1439,85.4465,9.1855,0.1564,50.4666,9.2749,63.7996,118.579,0.9168,1.9469,1.662,5.5031,8.3702,18.391,25.0945,3.9778,5.127,16.49,1.19,7.9725,0.4538,4.137,1.4335,15.4662,3.7087,,161.1306
393,0.014,,244.0,0.207,15.61,5.03,-6250.25,2.7296,1.9108,22.5539,,8.8415,85.5455,9.2655,0.0652,50.3358,5.7013,63.8677,117.4194,1.5465,3.2967,1.4441,1.9071,5.9061,30.884,6.3566,4.696,4.3227,21.71,1.42,10.2814,0.5877,5.2927,1.7168,30.4867,61.4165,0.0157,138.3665
394,0.0187,,158.0,0.48,24.29,7.56,-6382.0,2.5626,1.8867,19.7183,,9.3598,86.4863,8.828,0.1615,50.2667,5.5885,63.9349,118.039,1.6071,2.6606,1.934,4.6039,11.557,36.6088,17.2182,4.4623,5.2384,23.46,1.49,10.3594,0.6724,5.7002,1.9571,13.4038,3.5665,,141.5548
395,0.0061,,795.0,0.519,17.02,13.21,-5226.5,2.7428,2.0223,18.201,,5.726,85.5361,8.536,0.1991,50.3421,3.4255,63.9167,118.4394,1.6678,2.1713,0.6269,4.992,5.1163,49.7623,10.7344,4.7169,4.1809,13.13,2.21,5.3617,0.8773,3.213,2.9274,17.2918,3.5314,,153.7899
396,0.0121,0.027,358.0,0.29,19.83,5.36,-6411.75,2.592,1.8767,19.7183,0.0089,9.2864,84.5551,9.9964,0.0816,50.4757,6.4454,64.3827,118.022,1.6071,2.6606,1.2486,2.7126,7.9443,16.1315,15.8701,4.4721,4.0699,16.1,2.03,6.4066,0.8038,4.0044,2.5151,18.0932,3.3165,0.012,140.9528
397,0.005,,806.0,0.412,15.71,6.77,-5453.5,2.057,2.0213,18.5853,,9.4832,85.3825,9.7324,0.1246,50.3716,,64.2442,118.0668,1.1348,2.4348,0.5063,3.8868,7.8836,18.0148,23.3677,3.4254,4.1302,,,,,,,,2.2968,,
398,0.0177,0.0318,667.0,0.488,17.16,4.88,-6487.25,3.7472,1.8855,17.7074,0.0102,9.9969,83.9167,9.4043,0.1342,50.4181,6.4134,64.4134,118.1592,1.5465,2.3757,1.8404,4.6309,7.7206,19.1242,8.257,6.2655,2.9426,9.97,1.01,4.0971,0.3824,2.5041,1.3494,19.6766,2.6942,,154.3059
399,0.0066,,365.0,0.252,10.74,4.52,-6465.0,2.8665,1.8933,20.6032,,8.4149,84.0746,9.3335,0.0698,50.4357,,64.3729,118.0092,1.6404,2.6883,0.6777,2.3929,5.3573,33.3005,13.5791,5.0358,4.3618,15.22,1.04,7.2333,0.4777,3.751,1.2515,,3.0029,,
400,0.006,,577.0,0.307,19.2,3.49,-5220.25,2.7499,2.0088,20.6032,,9.1395,84.9715,8.6013,0.0947,50.3243,,64.0262,118.2548,1.1348,2.6883,0.6183,2.9161,6.5945,22.1153,9.7424,4.7202,3.5088,17.07,1.83,8.0912,0.7598,4.2638,2.2349,9.6101,2.5493,0.0219,
401,0.0051,,379.0,0.348,22.54,5.2,-6400.25,3.9713,1.898,18.5853,,9.3846,85.5983,8.5232,0.1037,50.4559,,64.0577,118.5342,1.6404,2.4348,0.5176,3.3251,6.2177,37.9388,39.3867,6.8567,3.2902,16.97,1.09,7.3824,0.4312,4.1728,1.4582,,3.2619,0.0061,
402,0.0056,0.0237,456.0,0.357,20.17,4.9,-5566.75,2.8137,2.006,24.3718,0.0088,9.4701,84.7529,9.0622,0.1213,50.4373,9.3506,64.2906,118.1142,1.6678,3.4346,0.5748,3.4697,8.1441,23.3548,30.8985,4.9058,5.0952,10.51,1.8,4.9969,0.703,2.6195,2.2909,30.8595,2.7336,,155.566
403,0.0048,,200.0,0.356,13.18,5.15,-5655.25,2.9653,1.9845,18.5853,,8.6033,85.5983,8.5232,0.115,50.4559,,64.0577,118.5342,1.6404,2.4348,0.4907,3.4144,7.7218,25.8792,28.6856,4.9901,3.8302,21.35,1.31,10.0809,0.5189,5.3104,1.6196,,2.6886,,
404,0.006,,328.0,0.222,17.14,7.34,-6501.5,4.3026,1.8662,22.7433,,10.3572,84.7297,8.5177,0.0809,50.4695,5.8033,64.1615,118.2112,1.5465,3.1785,0.6136,2.1311,8.7742,34.5422,7.7197,7.6137,3.5365,13.21,1.02,6.6531,0.4484,3.2882,1.3088,28.4922,3.0585,,141.6094
405,0.0091,,248.0,0.921,16.25,7.41,-5583.25,2.6287,2.001,22.7433,,9.6135,86.0209,9.2328,0.2748,50.3586,6.6693,63.7799,117.7358,1.5465,3.1785,0.9256,9.3434,8.4249,28.3784,41.9454,4.4791,2.8287,,,,,,,11.0972,2.7336,,165.5888
406,0.0145,,789.0,0.471,23.96,10.75,-5633.25,2.591,2.008,18.5853,,9.2144,84.9715,8.6013,0.1515,50.3243,,64.0262,118.2548,1.6404,2.4348,1.4978,4.3938,12.3125,42.7445,7.2705,4.43,3.4928,15.49,0.89,7.4357,0.3757,3.8653,1.2278,,2.5383,,
407,0.0098,,288.0,0.352,17.97,3.85,-6572.75,2.3426,1.882,18.3171,,10.9374,84.5743,9.396,0.108,50.3131,7.0075,63.9428,117.5134,1.4396,2.7907,1.0161,3.3464,9.665,17.8406,10.3101,4.0184,5.1481,,,,,,,24.7583,2.4837,,156.5953
408,0.0057,,324.0,0.942,18.35,8.39,-6271.0,3.8663,1.9018,17.7074,,4.9397,85.1712,8.5405,0.3025,50.2488,101.0863,64.1314,118.4904,1.6678,2.3757,0.5832,9.3245,5.6964,41.0679,42.2854,6.7604,4.7546,15.26,1.3,6.9021,0.4602,3.7609,1.6675,19.9079,2.0911,,133.4234
409,0.0052,,431.0,0.376,22.14,7.4,-6259.5,3.7315,1.896,22.7433,,8.2932,86.3857,8.8513,0.125,50.1431,3.6293,63.7749,118.0906,1.1348,3.1785,0.5311,3.5742,8.4806,33.98,18.2926,6.2757,5.8867,18.08,0.85,8.6704,0.3034,4.6204,1.1606,15.4662,3.4139,,139.3696
410,0.0194,,344.0,0.288,20.8,6.8,-6418.25,2.1651,1.85,19.3948,,10.3183,86.106,8.7879,0.0994,49.9276,4.3739,63.9266,117.7078,1.5465,2.4188,2.0182,2.7964,12.1679,38.3689,18.1478,3.6187,4.4008,18.78,1.26,8.3629,0.4652,4.5748,1.6949,,3.5141,0.0145,147.9911
411,0.0051,,674.0,0.128,20.79,3.32,-5487.25,2.9297,2.0015,18.3171,,8.7938,85.5573,8.6915,0.0456,50.465,7.5669,64.1145,118.8908,1.4396,2.7907,0.5238,1.1975,7.1447,38.4662,7.1441,5.1011,6.7245,17.42,1.58,8.0693,0.5904,4.2515,2.1805,11.841,3.2468,,135.0379
412,0.0108,,298.0,0.273,19.04,6.39,-6282.5,2.8092,1.888,17.7074,,9.9524,85.1712,8.5405,0.0793,50.2488,4.757,64.1314,118.4904,1.6678,2.3757,1.1136,2.58,6.9416,24.4157,29.3085,4.8218,5.3416,13.71,0.78,7.1919,0.3351,3.3751,1.0141,20.824,3.9678,,159.5051
